PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1632517.68,x,59609.19,17688.02,0,8712.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35201.23,28800.45,57081.03,13690.38,c,60273.01,0,0,0,0,0,44484.37,334.86,2447.52,4039.93,1136.8,0,27184.89,540.1,0,0,1993741.47,201389.64
Imports,x,x,3310.88,111128.81,1310246.25,0,520,0,9177.01,0,83.82,340.01,0,0,0,0,0,1136509,x,2230519.92,301796.02,0,28732,0,0,0,218914,441452.01,0,0,132182.01,9245,695615.38,1543200.01,701139.99,61912.01,66317.99,7176.01,5120,39135.99,58040.02,0,7005.65,5731.9,3749.28,0,6156.02,0,0,0,1380.01,0,0,0,0,0,0,0,0,0,0,110755.93,0,9246592.89,18290.96
Exports,x,x,-1816.61,0,-901340.25,0,-99.98,0,-13395,0,-3519.59,0,0,0,0,0,0,-1528651.3,x,-12468.42,-1495.99,0,-12759.98,0,0,0,-84087.98,-916212.01,-3608.02,0,-280230.98,-23865.01,-1137718.18,-1434719.98,-537635.99,-29865.99,-82404.01,-19188.02,-6760.01,-39488.01,-39920.01,0,-1444.74,-1181.77,-11486.78,0,-270.01,-53242.99,0,0,-1110,0,0,0,0,0,0,0,0,0,0,-79257.46,0,-7259245.08,-67554.52
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-83538.59,-428599.99,0,0,-3192.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-515330.6,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-158369.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-158369.02,0
Stock changes,x,x,-468.8,17030.56,-75952.74,0,420.02,0,2137.49,0,0,0,0,0,0,0,0,-30073.91,x,-23655.8,-3432,0,-1848.01,0,0,0,-3496.02,-3827.99,-44,0,-11781.99,472.98,-90567.6,-2720,16103.98,-3836.78,1386,390,160.02,0,-3120,0,0,0,0,0,54.01,444.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-216226.57,498.02
Total primary energy supply,x,x,1025.51,128159.37,332953.26,0,840,0,-2080.5,0,-3435.81,340.01,0,0,0,0,0,1210301.43,x,2254004.89,314556,0,22835.98,0,0,0,131329.99,-478588,-3652.02,0,-318199.98,-14146.99,-616209,-322840,179607.98,28209.19,-17892,-11622.01,-1479.99,-351.98,15000.01,0,40762.18,33350.58,49343.53,13690.38,5939.98,7473.98,0,0,270.01,0,0,44484.37,334.86,2447.52,4039.93,1136.8,0,27184.89,540.1,31498.47,0,3091162.92,152624.06
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,-3432,44,0,0,111820.51,0,-4646.01,402644.01,0,0,-472.98,-4815.99,-39575.39,-25799.98,-326215.99,-34749.18,420.02,-312,439.99,-2207.99,-36760.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36380.99,0
Statistical differences,x,x,-58.62,0,5673.16,0,-20.01,0,0,0,0,0,0,124.18,4.98,0,0,-24745.62,x,0,0,0,0,0,0,0,-644.01,88.01,-264.02,0,0,0,-3024.59,39.98,-88.01,0,-83.99,-38.98,-39.98,0,-2040.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1847.13,300.95,-26663.72,0
