GemeentecodeGM,Gemeentenaam,train_share_in_nl,has_tram_metro,buildings_total,arable_land_km2,number_of_vans_data,number_of_trucks_data,number_of_busses_data,greenhouse_scaled,arable_land_scaled,wet_biomass_potential,dry_biomass_potential,oily_biomass_potential,number_of_cars_data,total_land_area_km2,coast_line_km,households_roof_pv_potential,buildings_roof_pv_potential
GM1680,Aa en Hunze,0,0,3169.492385,187.4884265,1826,101,3,0,0.008405869,0.395372289,0.206608931,0.01542359,15568,276.0603232,0,1.62186,1.151709
GM0358,Aalsmeer,0,0,3228.845692,7.632990341,1963,181,17,0.011068605,0.000342218,0.192870071,0.083722821,0.019276754,17396,20.09898193,0,1.678781,2.585545
GM0197,Aalten,0.000606244,0,2507.548923,80.46467765,1763,91,2,0,0.003607559,0.246520725,0.117792762,0.01641088,14912,96.53035212,0,1.14036,1.670153
GM0059,Achtkarspelen,0,0,2582.520923,85.16322254,2554,152,40,8.09E-05,0.003818214,0.206593892,0.150534262,0.01692184,15604,102.2059571,0,1.289278,1.40414
GM0482,Alblasserdam,0,0,721.3655385,2.9173258,1210,83,28,0,0.000130796,0.041201929,0.051742699,0.012193179,9531,8.77263863,0,0.455858,0.633341
GM0613,Albrandswaard,0,0,1756.400615,10.91289856,908,49,4,0.000300939,0.00048927,0.068674876,0.074128048,0.01535372,12936,21.6650857,0,0.726905,0.631015
GM0361,Alkmaar,0.007443618,0,7617.277462,77.92901551,6290,479,20,0.000336227,0.003493875,0.405458657,0.317042207,0.065955807,58882,110.3126522,0,2.968289,2.729409
GM0141,Almelo,0.002663356,0,6098.748385,35.39650102,3787,201,5,0,0.001586969,0.218592151,0.22426839,0.044260345,36279,67.18069867,0,2.415293,3.387203
GM0034,Almere,0.019053728,0,7798.133615,32.41344006,31940,658,21,0.008903587,0.001453226,0.588570111,0.610690855,0.126314744,258677,129.1794566,0,5.056762,4.066546
GM0484,Alphen aan den Rijn,0.004930733,0,6147.308154,93.38531518,6214,557,33,0.004711181,0.004186844,0.406048468,0.318283439,0.067430969,55413,125.9255187,0,2.945701,4.13769
GM1723,Alphen-Chaam,0,0,1764.123,65.50847044,966,56,0,0.001165676,0.002937011,0.204470469,0.10702505,0.006166155,6532,92.98024005,0,0.58342,1.24945
GM1959,Altena,0,0,4052.545692,154.7411416,4893,424,19,0.002324989,0.006937675,0.643295204,0.232172565,0.033650475,31112,199.7398076,0,2.105131,2.755114
GM0060,Ameland,0,0,2037.894769,19.24565036,412,35,0,0,0.000862861,0.095491631,0.017046558,0.002231578,2007,56.59198168,211.1466093,0.207338,0.367899
GM0307,Amersfoort,0.020565577,0,8849.396077,19.36891231,17202,343,613,0,0.000868387,0.301800759,0.412153354,0.094953566,124805,62.49184907,0,3.795124,3.052996
GM0362,Amstelveen,0,1,5357.144308,15.80299847,2105,139,18,0.007902791,0.000708513,0.199839884,0.24417787,0.055189793,39013,41.11371518,0,1.906968,2.305208
GM0363,Amsterdam,0.156696504,1,51828.12308,44.15268849,21249,978,301,0.001803388,0.001979545,1.726492962,2.194338857,0.524305465,249771,188.1222888,0,12.090522,13.429495
GM0200,Apeldoorn,0.005660127,0,11557.44462,82.73647372,8563,961,55,0.000334386,0.003709413,0.533224598,0.609853198,0.098695545,84942,339.8610131,0,5.109693,5.378241
GM0202,Arnhem,0.020056744,0,11445.25885,15.72113804,4725,607,4,8.98E-05,0.000704843,0.33621995,0.460656596,0.096763495,69313,97.73996426,0,3.751564,3.019719
GM0106,Assen,0.002988851,0,4709.594769,39.64712256,2659,180,48,0,0.001777542,0.176288465,0.203385757,0.041291793,34450,81.8774776,0,2.267864,1.742116
