key,query
transport_final_demand_for_rail_electricity_transport_freight_train_using_electricity_parent_share,mq_transport_final_demand_for_rail_electricity_transport_freight_train_using_electricity_parent_share
transport_final_demand_for_rail_electricity_transport_tram_using_electricity_parent_share,mq_transport_final_demand_for_rail_electricity_transport_tram_using_electricity_parent_share
transport_final_demand_for_rail_electricity_transport_passenger_train_using_electricity_parent_share,mq_transport_final_demand_for_rail_electricity_transport_passenger_train_using_electricity_parent_share
transport_rail_mixer_diesel_transport_freight_train_using_diesel_mix_parent_share,mq_transport_rail_mixer_diesel_transport_freight_train_using_diesel_mix_parent_share
transport_rail_mixer_diesel_transport_passenger_train_using_diesel_mix_parent_share,mq_transport_rail_mixer_diesel_transport_passenger_train_using_diesel_mix_parent_share
transport_road_mixer_gasoline_transport_car_using_gasoline_mix_parent_share,mq_transport_road_mixer_gasoline_transport_car_using_gasoline_mix_parent_share
transport_road_mixer_gasoline_transport_van_using_gasoline_mix_parent_share,mq_transport_road_mixer_gasoline_transport_van_using_gasoline_mix_parent_share
transport_road_mixer_gasoline_transport_bus_using_gasoline_mix_parent_share,mq_transport_road_mixer_gasoline_transport_bus_using_gasoline_mix_parent_share
transport_road_mixer_gasoline_transport_truck_using_gasoline_mix_parent_share,mq_transport_road_mixer_gasoline_transport_truck_using_gasoline_mix_parent_share
transport_road_mixer_gasoline_transport_motorcycle_using_gasoline_mix_parent_share,mq_transport_road_mixer_gasoline_transport_motorcycle_using_gasoline_mix_parent_share
transport_road_mixer_diesel_transport_car_using_diesel_mix_parent_share,mq_transport_road_mixer_diesel_transport_car_using_diesel_mix_parent_share
transport_road_mixer_diesel_transport_van_using_diesel_mix_parent_share,mq_transport_road_mixer_diesel_transport_van_using_diesel_mix_parent_share
transport_road_mixer_diesel_transport_bus_using_diesel_mix_parent_share,mq_transport_road_mixer_diesel_transport_bus_using_diesel_mix_parent_share
transport_road_mixer_diesel_transport_truck_using_diesel_mix_parent_share,mq_transport_road_mixer_diesel_transport_truck_using_diesel_mix_parent_share
transport_final_demand_for_road_electricity_transport_car_using_electricity_parent_share,mq_transport_final_demand_for_road_electricity_transport_car_using_electricity_parent_share
transport_final_demand_for_road_electricity_transport_van_using_electricity_parent_share,mq_transport_final_demand_for_road_electricity_transport_van_using_electricity_parent_share
transport_final_demand_for_road_electricity_transport_bus_using_electricity_parent_share,mq_transport_final_demand_for_road_electricity_transport_bus_using_electricity_parent_share
transport_final_demand_for_road_electricity_transport_motorcycle_using_electricity_parent_share,mq_transport_final_demand_for_road_electricity_transport_motorcycle_using_electricity_parent_share
transport_final_demand_for_road_electricity_transport_bicycle_using_electricity_parent_share,mq_transport_final_demand_for_road_electricity_transport_bicycle_using_electricity_parent_share
transport_final_demand_for_road_electricity_transport_truck_using_electricity_parent_share,mq_transport_final_demand_for_road_electricity_transport_truck_using_electricity_parent_share
