,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,0.00000000000000E+00,-,0.00000000000000E+00,1.15872071230855E+05,1.81224160000000E+05,0.00000000000000E+00,4.75908500000000E+04,5.43229700000000E+04,0.00000000000000E+00
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,3.18440000000000E+03,-,0.00000000000000E+00,8.19063300000000E+04,5.21441360000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
