,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,#DIV/0!,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,#DIV/0!,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,2.74129906299000E-03,1.19500293565558E-03,0.00000000000000E+00,0.00000000000000E+00,2.43945488809238E-19,1.02017239658394E-03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,4.06666666666667E-03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.70320000000000E-02,0.00000000000000E+00
Industry - Other metals,0.00000000000000E+00,-,-,1.61551473833040E+03,8.85900000000000E+01,0.00000000000000E+00,1.53990000000000E+02,1.60915194782760E+03,0.00000000000000E+00
