party,category,classification,measure,gas,unit,year,numberValue,stringValue
LUX,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"CS,D,M"
LUX,1.  Energy,Total for category,Emission factor information,CH4,no unit,2019,,"CS,D,M"
LUX,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D"
LUX,1.  Energy,Total for category,Emission factor information,CO2,no unit,2019,,"CS,D,PS"
LUX,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"D,M"
LUX,1.  Energy,Total for category,Emission factor information,N2O,no unit,2019,,"D,M"
LUX,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,,NO
LUX,1.  Energy,Total for category,Indirect emissions,CO2,kt,2019,,NO
LUX,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,,NO
LUX,1.  Energy,Total for category,Indirect emissions,N2O,kt,2019,,NO
LUX,1.  Energy,Total for category,Method,CH4,no unit,1990,,"CS,T1,T3"
LUX,1.  Energy,Total for category,Method,CH4,no unit,2019,,"CS,T1,T3"
LUX,1.  Energy,Total for category,Method,CO2,no unit,1990,,"CS,T1,T2"
LUX,1.  Energy,Total for category,Method,CO2,no unit,2019,,"CS,T1,T2,T3"
LUX,1.  Energy,Total for category,Method,N2O,no unit,1990,,"T1,T3"
LUX,1.  Energy,Total for category,Method,N2O,no unit,2019,,"T1,T2,T3"
LUX,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,10296.283305785966,
LUX,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,9292.377126979041,
LUX,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,1.92987881347735,
LUX,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2019,2.05750053770068,
LUX,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,469.0111190792538,
LUX,1.  Energy,Total for category,Net emissions/removals,CO,kt,2019,21.44522829148043,
LUX,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,10211.042675215416,
LUX,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2019,9155.714600134013,
LUX,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,0.05997789434696,
LUX,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2019,0.37515144803827,
LUX,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,19.60196213310471,
LUX,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,2019,2.46198210427619,
LUX,1.  Energy,Total for category,Net emissions/removals,NOx,kt,1990,39.22521911931537,
LUX,1.  Energy,Total for category,Net emissions/removals,NOx,kt,2019,17.10041295901443,
LUX,1.  Energy,Total for category,Net emissions/removals,N2O,kt,1990,0.11775103318183,
LUX,1.  Energy,Total for category,Net emissions/removals,N2O,kt,2019,0.29831136524305,
LUX,1.  Energy,Total for category,Net emissions/removals,SO2,kt,1990,16.34518636147423,
LUX,1.  Energy,Total for category,Net emissions/removals,SO2,kt,2019,0.91172977911298,
LUX,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,1990,1.92987881347735,
LUX,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,2019,2.05750053770068,
LUX,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,1990,0.11775103318183,
LUX,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,2019,0.29831136524305,
LUX,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,1990,,NO
LUX,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,2019,,NO
LUX,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,1990,,NO
LUX,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,2019,,NO
LUX,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,1990,916.1724295159165,
LUX,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,2019,3169.7929720513075,
LUX,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,1990,30.00000000000273,
LUX,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,2019,25.09358953814114,
LUX,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,1990,98.63108007316984,
LUX,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,2019,95.74754146754005,
LUX,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,1990,3.999999999996,
LUX,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,2019,3.34017238616321,
LUX,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,92.10380387249425,
LUX,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,308.5327741434242,
LUX,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,1990,0.02748517288548,
LUX,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,2019,0.07954148376154,
LUX,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,1990,90.36307625641491,
