utc_timestamp,cet_cest_timestamp,NL_wind_offshore_generation_actual,NL_wind_onshore_generation_actual
2016-12-31T23:00:00Z,2017-01-01T00:00:00+0100,891,1345
2017-01-01T00:00:00Z,2017-01-01T01:00:00+0100,892,1344
2017-01-01T01:00:00Z,2017-01-01T02:00:00+0100,909,1357
2017-01-01T02:00:00Z,2017-01-01T03:00:00+0100,897,1402
2017-01-01T03:00:00Z,2017-01-01T04:00:00+0100,914,1475
2017-01-01T04:00:00Z,2017-01-01T05:00:00+0100,919,1468
2017-01-01T05:00:00Z,2017-01-01T06:00:00+0100,922,1309
2017-01-01T06:00:00Z,2017-01-01T07:00:00+0100,919,1227
2017-01-01T07:00:00Z,2017-01-01T08:00:00+0100,918,1295
2017-01-01T08:00:00Z,2017-01-01T09:00:00+0100,912,1255
2017-01-01T09:00:00Z,2017-01-01T10:00:00+0100,914,1131
2017-01-01T10:00:00Z,2017-01-01T11:00:00+0100,906,986
2017-01-01T11:00:00Z,2017-01-01T12:00:00+0100,851,971
2017-01-01T12:00:00Z,2017-01-01T13:00:00+0100,783,1066
2017-01-01T13:00:00Z,2017-01-01T14:00:00+0100,581,1043
2017-01-01T14:00:00Z,2017-01-01T15:00:00+0100,508,1005
2017-01-01T15:00:00Z,2017-01-01T16:00:00+0100,473,961
2017-01-01T16:00:00Z,2017-01-01T17:00:00+0100,501,888
2017-01-01T17:00:00Z,2017-01-01T18:00:00+0100,293,843
2017-01-01T18:00:00Z,2017-01-01T19:00:00+0100,291,746
2017-01-01T19:00:00Z,2017-01-01T20:00:00+0100,449,422
2017-01-01T20:00:00Z,2017-01-01T21:00:00+0100,480,162
2017-01-01T21:00:00Z,2017-01-01T22:00:00+0100,526,103
2017-01-01T22:00:00Z,2017-01-01T23:00:00+0100,667,96
2017-01-01T23:00:00Z,2017-01-02T00:00:00+0100,745,299
2017-01-02T00:00:00Z,2017-01-02T01:00:00+0100,800,547
2017-01-02T01:00:00Z,2017-01-02T02:00:00+0100,787,609
2017-01-02T02:00:00Z,2017-01-02T03:00:00+0100,904,747
2017-01-02T03:00:00Z,2017-01-02T04:00:00+0100,882,901
2017-01-02T04:00:00Z,2017-01-02T05:00:00+0100,870,900
2017-01-02T05:00:00Z,2017-01-02T06:00:00+0100,878,924
