,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-2.82644950000000E+04,-3.55440030000000E+04,2.71315190000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-6.76655570000000E+04,5.01867050000000E+04,1.50162710000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Blast furnaces,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Total final consumption,,,,,,,,,
Industry - Steel,3.43860000000000E+01,2.93071200000000E+03,2.39777440000000E+04,7.66545764573620E+03,6.64340000000000E+01,0.00000000000000E+00,1.27797311187540E+03,7.56002200000000E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.59533333333332E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,4.92679999999999E+02,0.00000000000000E+00
Industry - Other metals,0.00000000000000E+00,0.00000000000000E+00,-,1.36147866666667E+03,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-03,3.29369200000000E+03,0.00000000000000E+00
