PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,49391.09,111447.01,31721.67,0,1607926.93,0,0,0,0,0,0,0,0,0,0,265238.09,x,102607.08,0,0,45598.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52659.02,125359.99,125359.99,504993.02,328839.98,18260.23,115780.05,4922.38,0,0,0,0,1001301.82,68317.19,8943,139413.62,28100,0,285141.6,0,0,0,5021322.69,1628071.05
Imports,x,x,57736.81,227505.02,1194620.77,0,373.76,4866.99,82884.45,0,0,1045.19,0,0,0,0,0,3597255.02,x,3879643.88,0,0,0,0,0,0,33672,84084.01,483.99,0,214612.98,472.98,782306.39,76920.02,303996.01,6234.82,41327.99,9398.99,16199.99,19680.01,4399.99,0,0,0,0,0,15738.81,27922.31,0,0,0,0,0,0,0,0,0,0,0,0,0,133228.79,0,10816611.95,43661.12
Exports,x,x,-3682.79,0,-1633.48,0,-9700.27,-31.4,-9970.19,0,0,-33763.61,0,0,0,0,0,-1140598.79,x,-14154.15,0,0,0,0,0,0,-11914,-194524,-44,0,-52330.98,0,-352685.4,-121360.01,-24288,-10987.21,-49770,-53703,-9639.98,-27168.02,-18159.99,0,0,0,0,0,-2839.91,-63087.92,0,0,0,0,0,0,0,0,0,0,0,0,0,-307044,-144.99,-2513226.09,-65927.82
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-43281.59,-56840,0,0,-41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100163.58,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-336948.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-336948.01,0
Stock changes,x,x,1098.91,898.99,12911.55,0,-1816.82,0,687.6,0,0,194.77,0,0,0,0,0,5987.71,x,11901.4,0,0,0,0,0,0,138,-1848.01,-44,0,-3526,0,-15974.99,5120,220.02,-43.58,335.99,506.98,160.02,-543.99,-1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15004.53,0
Total primary energy supply,x,x,104544.02,339851.01,1237620.51,0,1596783.6,4835.59,73601.85,0,0,-32523.69,0,0,0,0,0,2727881.99,x,3979998.16,0,0,45598.94,0,0,0,21896,-112288.01,395.99,0,-178192.01,472.98,370364.41,-96159.99,279927.98,-4795.98,-8148.02,-43796.98,6719.98,-8032,-15120,52659.02,125359.99,125359.99,504993.02,328839.98,31159.13,80614.45,4922.38,0,0,0,0,1001301.82,68317.19,8943,139413.62,28100,0,285141.6,0,-173815.21,-144.99,12902601.32,1605804.35
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,18528.26,0,0,9405.02,0,689.98,43691.98,0,0,-1247,-171.99,-55550.42,-2360.02,99792,2310.82,-53214.02,-13962.02,-1159.99,0,-17680.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29072.59,0
Statistical differences,x,x,1.67,48.06,-6553.01,0,15768.54,0,-42029.57,0,0,1107.87,0,-5418.01,0,0,0,84265.21,x,-2167.76,0,0,0,0,6929.99,0,-1932,-14431.98,176.01,0,-13071.99,86,-6688.2,-22359.98,-19491.98,2528.79,2057.98,4484.98,1360,-1183.99,26280,0,0,0,0,0,0,0,-25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9741.39,-25.25
