utc_timestamp,cet_cest_timestamp,interpolated_values,DE_load_entsoe_power_statistics,DE_load_entsoe_transparency,DE_price_day_ahead,DE_solar_capacity,DE_solar_generation_actual,DE_solar_profile,DE_wind_capacity,DE_wind_generation_actual,DE_wind_profile,DE_wind_offshore_capacity,DE_wind_offshore_generation_actual,DE_wind_offshore_profile,DE_wind_onshore_capacity,DE_wind_onshore_generation_actual,DE_wind_onshore_profile
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,,41913,39396,22.39,39021,0,0,44325,8579,0.1936,3283,2286,0.6962,41042,6294,0.1533
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,,40331,37718,20.59,39021,0,0,44325,8542,0.1928,3283,2229,0.6788,41042,6314,0.1538
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,,39162,36692,16.81,39021,0,0,44325,8443,0.1905,3283,2012,0.6127,41042,6431,0.1567
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,,38676,36556,17.41,39021,0,0,44325,8295,0.1871,3283,1943,0.5918,41042,6352,0.1548
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,,38034,35890,17.02,39021,0,0,44325,7319,0.1651,3283,1582,0.482,41042,5736,0.1398
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,,36900,34718,15.86,39021,0,0,44325,6574,0.1483,3283,1330,0.4049,41042,5245,0.1278
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,,37260,34753,18.16,39021,0,0,44325,5624,0.1269,3283,952,0.2899,41042,4672,0.1138
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,,38078,35143,17.73,39021,137,0.0035,44325,4644,0.1048,3283,651,0.1984,41042,3993,0.0973
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,,40344,37429,19.77,39021,964,0.0248,44325,3733,0.0842,3283,443,0.1351,41042,3290,0.0802
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,,42814,40167,23.75,39021,2522,0.0646,44325,2776,0.0626,3283,308,0.0939,41042,2468,0.0601
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,,45546,42909,26.03,39021,3768,0.0966,44325,1830,0.0413,3283,174,0.0531,41042,1656,0.0403
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,,46372,43678,27.06,39021,4121,0.1056,44325,1287,0.029,3283,133,0.0404,41042,1154,0.0281
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,,45775,42989,26.59,39021,3717,0.0952,44325,790,0.0178,3283,84,0.0254,41042,706,0.0172
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,,45485,42525,25,39021,2442,0.0626,44325,496,0.0112,3283,48,0.0148,41042,447,0.0109
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,,46147,42890,24.43,39021,841,0.0216,44325,405,0.0091,3283,6,0.002,41042,398,0.0097
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,,48782,45335,28.87,39021,51,0.0013,44325,665,0.015,3283,2,0.0006,41042,663,0.0162
