key,demand,full_load_hours,electricity_output_conversion,heat_output_conversion
energy_chp_local_engine_network_gas,1.74802734403950E+04,8.50000000000000E+03,3.92000000000000E-01,5.00000000000000E-01
energy_chp_local_engine_biogas,3.32122096800000E+03,8.50000000000000E+03,4.20000000000000E-01,3.90000000000000E-01
energy_chp_local_wood_pellets,8.13050682429897E+03,8.50000000000000E+03,1.83000000000000E-01,4.70000000000000E-01
industry_chp_turbine_gas_power_fuelmix,2.70048452806405E+04,2.56000000000000E+03,2.70000000000000E-01,3.50000000000000E-01
industry_chp_engine_gas_power_fuelmix,2.06321038911675E+02,6.20000000000000E+02,4.30000000000000E-01,4.70000000000000E-01
industry_chp_combined_cycle_gas_power_fuelmix,2.53872888095905E+04,1.75000000000000E+03,4.33000000000000E-01,3.05000000000000E-01
industry_chp_coal_gas,8.32838256000000E+03,5.32000000000000E+03,3.70279509350493E-01,2.59099135330786E-02
industry_chp_ultra_supercritical_coal,3.11283286662433E+01,4.50000000000000E+03,4.00000000000000E-01,1.50000000000000E-01
industry_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03,1.83000000000000E-01,4.70000000000000E-01
energy_chp_combined_cycle_network_gas,1.46748016849885E+05,4.97500000000000E+03,4.33000000000000E-01,3.05000000000000E-01
energy_chp_ultra_supercritical_cofiring_coal,2.76429283200000E+04,6.20000000000000E+03,4.00000000000000E-01,1.50000000000000E-01
energy_chp_ultra_supercritical_coal,5.27003934545454E+03,6.20000000000000E+03,4.40000000000000E-01,1.30000000000000E-01
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,4.50000000000000E+03,3.50000000000000E-01,1.50000000000000E-01
energy_chp_supercritical_waste_mix,6.91395253789731E+04,4.39000000000000E+03,2.04500000000000E-01,1.99500000000000E-01
agriculture_chp_engine_network_gas_dispatchable,9.30611446963658E+04,3.92000000000000E+03,4.20000000000000E-01,5.35000000000000E-01
agriculture_chp_engine_biogas,4.34461337446154E+03,7.50000000000000E+03,4.20000000000000E-01,3.90000000000000E-01
agriculture_chp_wood_pellets,4.11038210566009E+02,3.65000000000000E+03,6.50000000000000E-02,4.40000000000000E-01
