utc_timestamp,cet_cest_timestamp,FR_wind_onshore_generation_actual
2015-12-31T23:00:00Z,2016-01-01T00:00:00+0100,2189
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,1753
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,1430
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,1214
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,1031
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,918
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,878
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,1003
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,1173
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,1500
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,1836
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,2199
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,2544
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,2768
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,3139
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,3638
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,3903
2016-01-01T16:00:00Z,2016-01-01T17:00:00+0100,4497
2016-01-01T17:00:00Z,2016-01-01T18:00:00+0100,5129
2016-01-01T18:00:00Z,2016-01-01T19:00:00+0100,5264
2016-01-01T19:00:00Z,2016-01-01T20:00:00+0100,5404
2016-01-01T20:00:00Z,2016-01-01T21:00:00+0100,5493
2016-01-01T21:00:00Z,2016-01-01T22:00:00+0100,5353
2016-01-01T22:00:00Z,2016-01-01T23:00:00+0100,5255
2016-01-01T23:00:00Z,2016-01-02T00:00:00+0100,5038
2016-01-02T00:00:00Z,2016-01-02T01:00:00+0100,4724
2016-01-02T01:00:00Z,2016-01-02T02:00:00+0100,4669
2016-01-02T02:00:00Z,2016-01-02T03:00:00+0100,4612
2016-01-02T03:00:00Z,2016-01-02T04:00:00+0100,4625
2016-01-02T04:00:00Z,2016-01-02T05:00:00+0100,4619
2016-01-02T05:00:00Z,2016-01-02T06:00:00+0100,4470
2016-01-02T06:00:00Z,2016-01-02T07:00:00+0100,4520
2016-01-02T07:00:00Z,2016-01-02T08:00:00+0100,4638
2016-01-02T08:00:00Z,2016-01-02T09:00:00+0100,4801
2016-01-02T09:00:00Z,2016-01-02T10:00:00+0100,5160
2016-01-02T10:00:00Z,2016-01-02T11:00:00+0100,5406
2016-01-02T11:00:00Z,2016-01-02T12:00:00+0100,5760
2016-01-02T12:00:00Z,2016-01-02T13:00:00+0100,6000
2016-01-02T13:00:00Z,2016-01-02T14:00:00+0100,6105
2016-01-02T14:00:00Z,2016-01-02T15:00:00+0100,6010
2016-01-02T15:00:00Z,2016-01-02T16:00:00+0100,5976
2016-01-02T16:00:00Z,2016-01-02T17:00:00+0100,5906
2016-01-02T17:00:00Z,2016-01-02T18:00:00+0100,5864
