STN,YYYYMMDD,HH,SQ,Q
260,19970101,1,0.0,0.0
260,19970101,2,0.0,0.0
260,19970101,3,0.0,0.0
260,19970101,4,0.0,0.0
260,19970101,5,0.0,0.0
260,19970101,6,0.0,0.0
260,19970101,7,0.0,0.0
260,19970101,8,0.0,0.0
260,19970101,9,8.0,13.0
260,19970101,10,10.0,43.0
260,19970101,11,10.0,63.0
260,19970101,12,10.0,78.0
260,19970101,13,10.0,77.0
260,19970101,14,10.0,60.0
260,19970101,15,8.0,35.0
260,19970101,16,0.0,6.0
260,19970101,17,0.0,0.0
260,19970101,18,0.0,0.0
260,19970101,19,0.0,0.0
260,19970101,20,0.0,0.0
260,19970101,21,0.0,0.0
260,19970101,22,0.0,0.0
260,19970101,23,0.0,0.0
260,19970101,24,0.0,0.0
260,19970102,1,0.0,0.0
260,19970102,2,0.0,0.0
260,19970102,3,0.0,0.0
260,19970102,4,0.0,0.0
260,19970102,5,0.0,0.0
260,19970102,6,0.0,0.0
260,19970102,7,0.0,0.0
260,19970102,8,0.0,0.0
260,19970102,9,8.0,11.0
260,19970102,10,10.0,49.0
260,19970102,11,10.0,83.0
260,19970102,12,10.0,99.0
260,19970102,13,10.0,89.0
260,19970102,14,10.0,62.0
260,19970102,15,8.0,31.0
260,19970102,16,0.0,5.0
260,19970102,17,0.0,0.0
260,19970102,18,0.0,0.0
260,19970102,19,0.0,0.0
260,19970102,20,0.0,0.0
260,19970102,21,0.0,0.0
260,19970102,22,0.0,0.0
260,19970102,23,0.0,0.0
260,19970102,24,0.0,0.0
260,19970103,1,0.0,0.0
260,19970103,2,0.0,0.0
260,19970103,3,0.0,0.0
260,19970103,4,0.0,0.0
260,19970103,5,0.0,0.0
260,19970103,6,0.0,0.0
260,19970103,7,0.0,0.0
260,19970103,8,0.0,0.0
260,19970103,9,0.0,3.0
260,19970103,10,0.0,12.0
260,19970103,11,0.0,23.0
260,19970103,12,0.0,28.0
260,19970103,13,5.0,47.0
260,19970103,14,3.0,46.0
260,19970103,15,0.0,14.0
260,19970103,16,0.0,2.0
260,19970103,17,0.0,0.0
260,19970103,18,0.0,0.0
260,19970103,19,0.0,0.0
260,19970103,20,0.0,0.0
260,19970103,21,0.0,0.0
260,19970103,22,0.0,0.0
260,19970103,23,0.0,0.0
260,19970103,24,0.0,0.0
260,19970104,1,0.0,0.0
260,19970104,2,0.0,0.0
260,19970104,3,0.0,0.0
260,19970104,4,0.0,0.0
260,19970104,5,0.0,0.0
260,19970104,6,0.0,0.0
260,19970104,7,0.0,0.0
260,19970104,8,0.0,0.0
260,19970104,9,0.0,1.0
260,19970104,10,0.0,10.0
260,19970104,11,0.0,22.0
260,19970104,12,0.0,24.0
260,19970104,13,0.0,21.0
260,19970104,14,0.0,16.0
260,19970104,15,0.0,9.0
260,19970104,16,0.0,1.0
260,19970104,17,0.0,0.0
260,19970104,18,0.0,0.0
260,19970104,19,0.0,0.0
260,19970104,20,0.0,0.0
260,19970104,21,0.0,0.0
260,19970104,22,0.0,0.0
260,19970104,23,0.0,0.0
260,19970104,24,0.0,0.0
260,19970105,1,0.0,0.0
260,19970105,2,0.0,0.0
260,19970105,3,0.0,0.0
260,19970105,4,0.0,0.0
260,19970105,5,0.0,0.0
260,19970105,6,0.0,0.0
260,19970105,7,0.0,0.0
260,19970105,8,0.0,0.0
260,19970105,9,0.0,3.0
260,19970105,10,0.0,12.0
260,19970105,11,0.0,19.0
260,19970105,12,0.0,24.0
260,19970105,13,0.0,34.0
260,19970105,14,5.0,32.0
260,19970105,15,10.0,38.0
260,19970105,16,0.0,5.0
260,19970105,17,0.0,0.0
260,19970105,18,0.0,0.0
260,19970105,19,0.0,0.0
260,19970105,20,0.0,0.0
260,19970105,21,0.0,0.0
260,19970105,22,0.0,0.0
260,19970105,23,0.0,0.0
260,19970105,24,0.0,0.0
260,19970106,1,0.0,0.0
260,19970106,2,0.0,0.0
260,19970106,3,0.0,0.0
260,19970106,4,0.0,0.0
260,19970106,5,0.0,0.0
