key,share
industry_final_demand_for_other_minerals_wood_pellets,7.46382627778600E-02
industry_final_demand_for_other_transport_equipment_wood_pellets,2.69934376834995E-03
industry_final_demand_for_other_machinery_wood_pellets,2.73356714629257E-02
industry_final_demand_for_other_mining_wood_pellets,1.04268181525393E-02
industry_final_demand_for_other_food_wood_pellets,1.75157465171460E-02
industry_final_demand_for_other_paper_wood_pellets,1.86855625266771E-01
industry_final_demand_for_other_wood_products_wood_pellets,5.97311758301394E-01
industry_final_demand_for_other_construction_wood_pellets,0.00000000000000E+00
industry_final_demand_for_other_textile_wood_pellets,1.24177445980702E-03
industry_final_demand_for_other_non_specified_wood_pellets,8.19749992932075E-02
