key,share
industry_final_demand_for_other_minerals_network_gas,2.21530166943643E-01
industry_final_demand_for_other_transport_equipment_network_gas,7.58892337316636E-02
industry_final_demand_for_other_machinery_network_gas,1.51705679632080E-01
industry_final_demand_for_other_mining_network_gas,9.27842047719754E-03
industry_final_demand_for_other_food_network_gas,2.23662468095568E-01
industry_final_demand_for_other_paper_network_gas,1.64880408074653E-01
industry_final_demand_for_other_wood_products_network_gas,1.06606813043038E-02
industry_final_demand_for_other_construction_network_gas,0.00000000000000E+00
industry_final_demand_for_other_textile_network_gas,2.09939118533963E-02
industry_final_demand_for_other_non_specified_network_gas,1.21399029887494E-01
