Indicator,Unit,NL_2011,NL_2012,FR_2011,FR_2012,DE_2011,DE_2012,PL_2011,PL_2012,ES_2011,ES_2012,UK_2011,UK_2012,EU_2011,EU_2012
Stock of cars,M,7.8,7.9,31.4,31.6,42.3,42.9,18.1,n.a.,16.9,n.a.,28.5,28.7,234.1,n.a.
Stock of gasoline cars,M,6.2,6.3,12.9,12.5,30.5,31.0,10.7,n.a.,8.0,n.a.,19.5,19.2,n.a.,n.a.
Stock of diesel cars,M,1.3,1.3,18.5,19.1,11.3,11.9,4.4,n.a.,8.9,n.a.,8.8,9.4,n.a.,n.a.
Stock of LPG cars,M,0.2,0.2,0.0,0.0,0.5,0.5,2.7,n.a.,0.0,n.a.,0.1,0.0,n.a.,n.a.
Stock of electric cars,k,1.0,2.0,n.a.,n.a.,2.3,4.5,n.a.,n.a.,n.a.,n.a.,104.9,129.4,n.a.,n.a.
Stock of flex or hybrid cars,k,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Stock of buses,M,0.0,0.0,0.1,0.1,0.1,n.a.,0.1,n.a.,0.0,n.a.,0.2,0.2,0.9,n.a.
Stock of gasoline buses,M,0.0,0.0,n.a.,n.a.,0.0,n.a.,n.a.,n.a.,0.0,n.a.,0.0,0.0,n.a.,n.a.
Stock of diesel buses,M,0.0,0.0,n.a.,n.a.,0.1,n.a.,n.a.,n.a.,0.0,n.a.,0.1,0.1,n.a.,n.a.
Stock of LPG bus,M,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Stock of electric buses,M,0.0,0.0,n.a.,n.a.,0.0,n.a.,n.a.,n.a.,n.a.,n.a.,0.0,0.0,n.a.,n.a.
Stock of trucks and light vehicles,M,1.0,1.0,6.4,6.5,3.8,n.a.,3.1,n.a.,3.8,n.a.,3.7,3.7,34.8,n.a.
Stock of gasoline trucks and light vehicles,M,0.0,0.0,0.5,0.5,0.2,n.a.,0.7,n.a.,0.4,n.a.,0.2,0.1,n.a.,n.a.
Stock of diesel trucks and light vehicles,M,0.9,0.9,5.9,6.0,3.6,n.a.,2.2,n.a.,3.4,n.a.,3.5,3.6,n.a.,n.a.
Stock of light vehicles &lt;3t load capacity,M,0.9,0.8,5.9,5.9,n.a.,n.a.,2.5,n.a.,3.4,n.a.,3.2,3.3,n.a.,n.a.
Stock of gasoline light vehicles &lt;3t load capacity,M,0.0,0.0,0.5,0.5,n.a.,n.a.,n.a.,n.a.,0.4,n.a.,0.2,0.1,n.a.,n.a.
Stock of diesel light vehicles &lt;3t load capacity,M,0.8,0.8,5.3,5.5,n.a.,n.a.,n.a.,n.a.,3.0,n.a.,3.1,3.1,n.a.,n.a.
Stock of LPG light vehicles &lt;3t load capacity,M,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Stock of electric light vehicles &lt;3t load capacity,M,0.0,0.0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.0,n.a.,0.0,0.0,n.a.,n.a.
Stock of motocycles,M,0.7,0.7,3.6,n.a.,5.9,6.0,1.1,n.a.,4.1,n.a.,1.2,1.2,31.4,n.a.
Annual distance travelled by cars,km,13260.0,n.a.,12692.1,12666.2,14200.0,n.a.,7786.9,n.a.,11938.5,n.a.,13528.5,13386.0,n.a.,n.a.
Annual distance travelled by gasoline cars,km,10795.0,n.a.,8546.4,8183.6,11500.0,n.a.,4944.2,n.a.,7803.0,n.a.,n.a.,n.a.,n.a.,n.a.
Annual distance travelled by diesel cars,km,23252.0,n.a.,15582.7,15585.8,20700.0,n.a.,13242.2,n.a.,15634.8,n.a.,n.a.,n.a.,n.a.,n.a.
Annual distance travelled by trucks,km,59661.0,n.a.,36303.2,n.a.,n.a.,n.a.,n.a.,n.a.,145108.9,n.a.,54654.1,53840.9,n.a.,n.a.
Annual distance travelled by bus,km,n.a.,n.a.,36175.3,n.a.,43600.0,n.a.,n.a.,n.a.,141167.9,n.a.,27608.9,25977.6,n.a.,n.a.
Annual distance travelled by light vehicles,km,18113.0,n.a.,15897.4,n.a.,n.a.,n.a.,n.a.,n.a.,35385.8,n.a.,20392.2,20142.6,n.a.,n.a.
Annual distance travelled by motorbikes,km,n.a.,n.a.,n.a.,n.a.,3000.0,n.a.,n.a.,n.a.,1682.9,n.a.,3747.0,3657.6,n.a.,n.a.
Total passenger trafic,Gpkm,167.1,n.a.,981.2,984.9,1098.4,n.a.,356.8,n.a.,440.1,n.a.,774.9,n.a.,5916.5,n.a.
Total passenger trafic except air,Gpkm,167.1,n.a.,967.7,970.9,1087.8,n.a.,356.4,n.a.,423.6,n.a.,766.7,n.a.,5834.3,n.a.
Road passenger traffic,Gpkm,148.7,146.0,863.8,866.6,985.9,n.a.,333.9,n.a.,394.4,n.a.,698.5,n.a.,5334.3,n.a.
Car traffic,Gpkm,140.1,136.4,812.7,815.0,916.6,n.a.,313.2,n.a.,334.0,n.a.,655.1,n.a.,4822.1,n.a.
Road traffic for public modes in pass-km,Gpkm,8.6,9.6,51.1,51.6,69.3,n.a.,20.7,n.a.,60.4,n.a.,43.4,n.a.,512.2,n.a.
"Total rail passenger traffic in passenger-km (train, tram and metro)",Gpkm,18.4,n.a.,104.0,104.3,101.9,n.a.,22.6,n.a.,29.2,n.a.,68.2,n.a.,500.0,n.a.
Train  passenger traffic in passenger-km,Gpkm,16.8,17.1,89.0,89.1,85.3,n.a.,18.2,n.a.,22.8,n.a.,68.2,n.a.,407.1,n.a.
"Metro, tram passenger traffic in passenger-km",Gpkm,1.6,n.a.,15.0,15.2,16.6,n.a.,4.4,n.a.,6.4,n.a.,n.a.,n.a.,92.9,n.a.
Domestic air traffic (passenger-km),Gpkm,n.a.,n.a.,13.5,14.0,10.6,n.a.,0.3,n.a.,16.5,n.a.,8.2,n.a.,82.1,n.a.
Air passenger traffic (domestic and international),k,53868.1,55653.3,128791.0,129169.0,176300.0,n.a.,19494.0,n.a.,127066.0,n.a.,131567.8,n.a.,1034945.7,n.a.
Share of public transport in total land passenger traffic,%,16.1,n.a.,16.0,16.1,15.7,n.a.,12.1,n.a.,21.2,n.a.,14.6,n.a.,17.3,n.a.
Trafic of goods,Gtkm,99.2,n.a.,242.5,228.2,633.9,n.a.,272.8,n.a.,312.3,n.a.,180.1,n.a.,2295.2,n.a.
Road goods traffic,Gtkm,47.6,n.a.,200.5,188.3,465.6,n.a.,218.9,n.a.,264.8,n.a.,159.0,n.a.,1734.1,n.a.
Rail goods traffic,Gtkm,6.4,6.0,34.2,32.2,113.3,n.a.,53.7,n.a.,8.0,n.a.,21.0,n.a.,420.0,n.a.
Inland waterways goods traffic,Gtkm,45.2,43.9,7.9,7.7,55.0,n.a.,0.2,n.a.,39.5,n.a.,0.1,n.a.,141.1,n.a.
Share of rail and inland waterways freight transport in total freight transport,%,52.0,n.a.,17.4,17.5,26.5,n.a.,19.8,n.a.,15.2,n.a.,11.7,n.a.,24.4,n.a.
Oil products consumption of transport,Mtoe,14.9,14.2,46.0,45.3,56.9,56.9,16.2,n.a.,33.6,n.a.,49.6,49.1,341.7,n.a.
Gasoline consumption of transport,Mtoe,4.3,4.2,7.9,7.4,18.8,17.7,3.9,n.a.,5.2,n.a.,14.9,14.2,88.8,n.a.
Diesel consumption of transport,Mtoe,6.7,6.2,31.2,31.2,29.2,29.8,10.0,n.a.,22.5,n.a.,21.5,22.1,194.9,n.a.
LPG consumption of transport,Mtoe,0.3,0.3,0.1,0.1,0.6,0.6,1.8,n.a.,0.0,n.a.,0.1,0.1,5.5,n.a.
Jet fuel consumption of transport,Mtoe,3.6,3.5,6.8,6.6,8.3,8.9,0.5,n.a.,5.8,n.a.,12.1,11.8,50.5,n.a.
Fuel oil consumption of transport,Mtoe,n.a.,n.a.,n.a.,n.a.,0.0,0.0,0.0,n.a.,0.1,n.a.,0.2,0.2,2.1,n.a.
Biofuel consumption of transport,Mtoe,0.3,0.3,2.4,2.7,2.8,2.9,0.9,n.a.,1.7,n.a.,1.1,0.9,14.0,n.a.
Electricity consumption of transport,Mtoe,0.1,0.2,1.0,1.1,1.4,1.4,0.3,n.a.,0.3,n.a.,0.4,0.4,6.9,n.a.
Total consumption of transport,Mtoe,15.4,14.7,49.6,49.2,61.3,61.4,17.4,n.a.,35.7,n.a.,51.1,50.3,365.2,n.a.
Domestic consumption of transport,Mtoe,10.0,n.a.,39.7,n.a.,54.0,n.a.,16.9,n.a.,31.9,n.a.,38.1,n.a.,314.6,n.a.
Gasoline consumption of passenger transport,Mtoe,4.3,n.a.,7.1,6.6,22.1,n.a.,3.3,n.a.,4.6,n.a.,13.6,n.a.,84.0,n.a.
Diesel consumption of passenger transport,Mtoe,2.0,n.a.,16.5,16.8,13.6,n.a.,4.3,n.a.,11.0,n.a.,9.4,n.a.,95.9,n.a.
LPG consumption of passenger transport,Mtoe,0.2,n.a.,0.1,0.1,0.0,n.a.,1.4,n.a.,0.0,n.a.,n.a.,n.a.,5.4,n.a.
Jet fuel consumption of passenger transport,Mtoe,0.0,0.0,1.5,n.a.,1.6,1.8,0.0,n.a.,2.1,n.a.,1.8,n.a.,5.9,n.a.
Electricity consumption of passenger transport,Mtoe,0.1,n.a.,0.7,0.7,0.5,n.a.,0.1,n.a.,0.2,n.a.,0.5,n.a.,2.6,n.a.
Biofuel consumption of cars,Mtoe,0.2,n.a.,1.5,1.7,1.6,n.a.,0.4,n.a.,1.7,n.a.,0.7,n.a.,8.6,n.a.
Total consumption of passenger transport,Mtoe,6.6,n.a.,26.0,n.a.,38.0,n.a.,9.0,n.a.,17.9,n.a.,25.4,n.a.,193.7,n.a.
Diesel consumption of transport of goods,Mtoe,3.3,n.a.,13.2,12.7,15.0,n.a.,6.5,n.a.,12.9,n.a.,12.2,n.a.,110.3,n.a.
Fuel oil consumption of transport of goods,Mtoe,n.a.,n.a.,n.a.,n.a.,0.0,n.a.,0.0,n.a.,0.1,n.a.,0.0,n.a.,2.1,n.a.
Electricity consumption of transport of goods,Mtoe,0.0,n.a.,0.3,0.3,0.9,n.a.,0.2,n.a.,0.1,n.a.,0.2,n.a.,3.1,n.a.
Biofuel consumption of trucks & light vehicles,Mtoe,0.1,n.a.,0.9,1.0,0.8,n.a.,0.5,n.a.,0.0,n.a.,0.5,n.a.,5.4,n.a.
Total consumption of transport of goods,Mtoe,3.4,n.a.,13.8,13.3,16.1,n.a.,7.9,n.a.,14.0,n.a.,12.7,n.a.,120.8,n.a.
