Key,Value,Unit,Source
industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,3600,TJ,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_chemical_fertilizers.xlsx
demand_ict_electricity_energetic,4517,TJ,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_ict.xlsx
industry_aluminium_production,0,Mton,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_metal_aluminium.xlsx
industry_steel_production,0.621,Mton,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_metal_steel.xlsx
share_steel_blast_furnace_bof,0,%,See etdataset-public/source_analyses/NO_norway/2019/industry/input_industry_metal_steel.xlsx
