STN,YYYYMMDD,HH,SQ,Q
260,19870101,1,0.0,0.0
260,19870101,2,0.0,0.0
260,19870101,3,0.0,0.0
260,19870101,4,0.0,0.0
260,19870101,5,0.0,0.0
260,19870101,6,0.0,0.0
260,19870101,7,0.0,0.0
260,19870101,8,0.0,0.0
260,19870101,9,0.0,1.0
260,19870101,10,0.0,7.0
260,19870101,11,0.0,15.0
260,19870101,12,0.0,22.0
260,19870101,13,0.0,19.0
260,19870101,14,0.0,14.0
260,19870101,15,0.0,3.0
260,19870101,16,0.0,1.0
260,19870101,17,0.0,0.0
260,19870101,18,0.0,0.0
260,19870101,19,0.0,0.0
260,19870101,20,0.0,0.0
260,19870101,21,0.0,0.0
260,19870101,22,0.0,0.0
260,19870101,23,0.0,0.0
260,19870101,24,0.0,0.0
260,19870102,1,0.0,0.0
260,19870102,2,0.0,0.0
260,19870102,3,0.0,0.0
260,19870102,4,0.0,0.0
260,19870102,5,0.0,0.0
260,19870102,6,0.0,0.0
260,19870102,7,0.0,0.0
260,19870102,8,0.0,0.0
260,19870102,9,0.0,6.0
260,19870102,10,0.0,10.0
260,19870102,11,0.0,13.0
260,19870102,12,0.0,24.0
260,19870102,13,0.0,12.0
260,19870102,14,0.0,8.0
260,19870102,15,0.0,4.0
260,19870102,16,0.0,1.0
260,19870102,17,0.0,0.0
260,19870102,18,0.0,0.0
260,19870102,19,0.0,0.0
260,19870102,20,0.0,0.0
260,19870102,21,0.0,0.0
260,19870102,22,0.0,0.0
260,19870102,23,0.0,0.0
260,19870102,24,0.0,0.0
260,19870103,1,0.0,0.0
260,19870103,2,0.0,0.0
260,19870103,3,0.0,0.0
260,19870103,4,0.0,0.0
260,19870103,5,0.0,0.0
260,19870103,6,0.0,0.0
260,19870103,7,0.0,0.0
260,19870103,8,0.0,0.0
260,19870103,9,0.0,6.0
260,19870103,10,8.0,37.0
260,19870103,11,10.0,74.0
260,19870103,12,9.0,89.0
260,19870103,13,9.0,69.0
260,19870103,14,6.0,57.0
260,19870103,15,-1.0,17.0
260,19870103,16,0.0,4.0
260,19870103,17,0.0,0.0
260,19870103,18,0.0,0.0
260,19870103,19,0.0,0.0
260,19870103,20,0.0,0.0
260,19870103,21,0.0,0.0
260,19870103,22,0.0,0.0
260,19870103,23,0.0,0.0
260,19870103,24,0.0,0.0
260,19870104,1,0.0,0.0
260,19870104,2,0.0,0.0
260,19870104,3,0.0,0.0
260,19870104,4,0.0,0.0
260,19870104,5,0.0,0.0
260,19870104,6,0.0,0.0
260,19870104,7,0.0,0.0
260,19870104,8,0.0,0.0
260,19870104,9,0.0,4.0
260,19870104,10,0.0,7.0
260,19870104,11,0.0,11.0
260,19870104,12,0.0,17.0
260,19870104,13,0.0,10.0
260,19870104,14,0.0,4.0
260,19870104,15,0.0,2.0
260,19870104,16,0.0,1.0
260,19870104,17,0.0,0.0
260,19870104,18,0.0,0.0
260,19870104,19,0.0,0.0
260,19870104,20,0.0,0.0
260,19870104,21,0.0,0.0
260,19870104,22,0.0,0.0
260,19870104,23,0.0,0.0
260,19870104,24,0.0,0.0
260,19870105,1,0.0,0.0
260,19870105,2,0.0,0.0
260,19870105,3,0.0,0.0
260,19870105,4,0.0,0.0
260,19870105,5,0.0,0.0
260,19870105,6,0.0,0.0
260,19870105,7,0.0,0.0
260,19870105,8,0.0,0.0
260,19870105,9,0.0,5.0
260,19870105,10,2.0,25.0
260,19870105,11,2.0,39.0
260,19870105,12,0.0,29.0
260,19870105,13,-1.0,29.0
260,19870105,14,1.0,16.0
260,19870105,15,0.0,16.0
260,19870105,16,0.0,3.0
260,19870105,17,0.0,0.0
260,19870105,18,0.0,0.0
260,19870105,19,0.0,0.0
260,19870105,20,0.0,0.0
260,19870105,21,0.0,0.0
260,19870105,22,0.0,0.0
260,19870105,23,0.0,0.0
260,19870105,24,0.0,0.0
260,19870106,1,0.0,0.0
260,19870106,2,0.0,0.0
260,19870106,3,0.0,0.0
260,19870106,4,0.0,0.0
260,19870106,5,0.0,0.0
260,19870106,6,0.0,0.0
260,19870106,7,0.0,0.0
260,19870106,8,0.0,0.0
260,19870106,9,0.0,2.0
260,19870106,10,1.0,17.0
260,19870106,11,1.0,26.0
260,19870106,12,3.0,27.0
260,19870106,13,6.0,54.0
260,19870106,14,-1.0,38.0
260,19870106,15,0.0,9.0
260,19870106,16,0.0,2.0
260,19870106,17,0.0,0.0
260,19870106,18,0.0,0.0
260,19870106,19,0.0,0.0
260,19870106,20,0.0,0.0
260,19870106,21,0.0,0.0
260,19870106,22,0.0,0.0
260,19870106,23,0.0,0.0
260,19870106,24,0.0,0.0
260,19870107,1,0.0,0.0
260,19870107,2,0.0,0.0
260,19870107,3,0.0,0.0
260,19870107,4,0.0,0.0
260,19870107,5,0.0,0.0
260,19870107,6,0.0,0.0
260,19870107,7,0.0,0.0
260,19870107,8,0.0,0.0
260,19870107,9,0.0,3.0
260,19870107,10,2.0,30.0
260,19870107,11,1.0,48.0
260,19870107,12,0.0,18.0
260,19870107,13,0.0,35.0
260,19870107,14,0.0,29.0
260,19870107,15,0.0,12.0
260,19870107,16,0.0,3.0
260,19870107,17,0.0,0.0
260,19870107,18,0.0,0.0
260,19870107,19,0.0,0.0
260,19870107,20,0.0,0.0
260,19870107,21,0.0,0.0
260,19870107,22,0.0,0.0
260,19870107,23,0.0,0.0
260,19870107,24,0.0,0.0
260,19870108,1,0.0,0.0
260,19870108,2,0.0,0.0
260,19870108,3,0.0,0.0
260,19870108,4,0.0,0.0
260,19870108,5,0.0,0.0
260,19870108,6,0.0,0.0
260,19870108,7,0.0,0.0
260,19870108,8,0.0,0.0
260,19870108,9,0.0,5.0
260,19870108,10,0.0,23.0
260,19870108,11,0.0,33.0
260,19870108,12,0.0,33.0
260,19870108,13,0.0,27.0
260,19870108,14,0.0,15.0
260,19870108,15,0.0,6.0
260,19870108,16,0.0,2.0
260,19870108,17,0.0,0.0
260,19870108,18,0.0,0.0
260,19870108,19,0.0,0.0
260,19870108,20,0.0,0.0
260,19870108,21,0.0,0.0
260,19870108,22,0.0,0.0
260,19870108,23,0.0,0.0
260,19870108,24,0.0,0.0
260,19870109,1,0.0,0.0
260,19870109,2,0.0,0.0
260,19870109,3,0.0,0.0
260,19870109,4,0.0,0.0
260,19870109,5,0.0,0.0
260,19870109,6,0.0,0.0
260,19870109,7,0.0,0.0
260,19870109,8,0.0,0.0
260,19870109,9,0.0,4.0
260,19870109,10,0.0,15.0
260,19870109,11,0.0,22.0
260,19870109,12,0.0,44.0
260,19870109,13,0.0,36.0
260,19870109,14,0.0,25.0
260,19870109,15,0.0,20.0
260,19870109,16,0.0,4.0
260,19870109,17,0.0,0.0
260,19870109,18,0.0,0.0
260,19870109,19,0.0,0.0
260,19870109,20,0.0,0.0
260,19870109,21,0.0,0.0
260,19870109,22,0.0,0.0
260,19870109,23,0.0,0.0
260,19870109,24,0.0,0.0
260,19870110,1,0.0,0.0
260,19870110,2,0.0,0.0
260,19870110,3,0.0,0.0
260,19870110,4,0.0,0.0
260,19870110,5,0.0,0.0
260,19870110,6,0.0,0.0
260,19870110,7,0.0,0.0
260,19870110,8,0.0,0.0
260,19870110,9,0.0,7.0
260,19870110,10,0.0,33.0
260,19870110,11,-1.0,43.0
260,19870110,12,6.0,49.0
260,19870110,13,7.0,90.0
260,19870110,14,4.0,40.0
260,19870110,15,4.0,35.0
260,19870110,16,0.0,8.0
260,19870110,17,0.0,0.0
260,19870110,18,0.0,0.0
260,19870110,19,0.0,0.0
260,19870110,20,0.0,0.0
260,19870110,21,0.0,0.0
260,19870110,22,0.0,0.0
260,19870110,23,0.0,0.0
260,19870110,24,0.0,0.0
260,19870111,1,0.0,0.0
260,19870111,2,0.0,0.0
260,19870111,3,0.0,0.0
260,19870111,4,0.0,0.0
260,19870111,5,0.0,0.0
260,19870111,6,0.0,0.0
260,19870111,7,0.0,0.0
260,19870111,8,0.0,0.0
260,19870111,9,8.0,14.0
260,19870111,10,10.0,51.0
260,19870111,11,10.0,82.0
260,19870111,12,10.0,99.0
260,19870111,13,10.0,97.0
260,19870111,14,10.0,77.0
260,19870111,15,8.0,43.0
260,19870111,16,0.0,10.0
260,19870111,17,0.0,0.0
260,19870111,18,0.0,0.0
260,19870111,19,0.0,0.0
260,19870111,20,0.0,0.0
260,19870111,21,0.0,0.0
260,19870111,22,0.0,0.0
260,19870111,23,0.0,0.0
260,19870111,24,0.0,0.0
260,19870112,1,0.0,0.0
260,19870112,2,0.0,0.0
260,19870112,3,0.0,0.0
260,19870112,4,0.0,0.0
260,19870112,5,0.0,0.0
260,19870112,6,0.0,0.0
260,19870112,7,0.0,0.0
260,19870112,8,0.0,0.0
260,19870112,9,6.0,26.0
260,19870112,10,10.0,61.0
260,19870112,11,10.0,84.0
260,19870112,12,10.0,101.0
260,19870112,13,9.0,99.0
260,19870112,14,9.0,69.0
260,19870112,15,3.0,39.0
260,19870112,16,0.0,9.0
260,19870112,17,0.0,0.0
260,19870112,18,0.0,0.0
260,19870112,19,0.0,0.0
260,19870112,20,0.0,0.0
260,19870112,21,0.0,0.0
260,19870112,22,0.0,0.0
260,19870112,23,0.0,0.0
260,19870112,24,0.0,0.0
260,19870113,1,0.0,0.0
260,19870113,2,0.0,0.0
260,19870113,3,0.0,0.0
260,19870113,4,0.0,0.0
260,19870113,5,0.0,0.0
260,19870113,6,0.0,0.0
260,19870113,7,0.0,0.0
260,19870113,8,0.0,0.0
260,19870113,9,0.0,16.0
260,19870113,10,-1.0,41.0
260,19870113,11,2.0,58.0
260,19870113,12,4.0,77.0
260,19870113,13,-1.0,60.0
260,19870113,14,5.0,61.0
260,19870113,15,-1.0,34.0
260,19870113,16,0.0,6.0
260,19870113,17,0.0,1.0
260,19870113,18,0.0,0.0
260,19870113,19,0.0,0.0
260,19870113,20,0.0,0.0
260,19870113,21,0.0,0.0
260,19870113,22,0.0,0.0
260,19870113,23,0.0,0.0
260,19870113,24,0.0,0.0
260,19870114,1,0.0,0.0
260,19870114,2,0.0,0.0
260,19870114,3,0.0,0.0
260,19870114,4,0.0,0.0
260,19870114,5,0.0,0.0
260,19870114,6,0.0,0.0
260,19870114,7,0.0,0.0
260,19870114,8,0.0,0.0
260,19870114,9,0.0,11.0
260,19870114,10,6.0,40.0
260,19870114,11,7.0,62.0
260,19870114,12,10.0,91.0
260,19870114,13,10.0,81.0
260,19870114,14,9.0,67.0
260,19870114,15,2.0,36.0
260,19870114,16,0.0,7.0
260,19870114,17,0.0,0.0
260,19870114,18,0.0,0.0
260,19870114,19,0.0,0.0
260,19870114,20,0.0,0.0
260,19870114,21,0.0,0.0
260,19870114,22,0.0,0.0
260,19870114,23,0.0,0.0
260,19870114,24,0.0,0.0
260,19870115,1,0.0,0.0
260,19870115,2,0.0,0.0
260,19870115,3,0.0,0.0
260,19870115,4,0.0,0.0
260,19870115,5,0.0,0.0
260,19870115,6,0.0,0.0
260,19870115,7,0.0,0.0
260,19870115,8,0.0,0.0
260,19870115,9,3.0,13.0
260,19870115,10,10.0,45.0
260,19870115,11,10.0,72.0
260,19870115,12,10.0,85.0
260,19870115,13,3.0,66.0
260,19870115,14,0.0,29.0
260,19870115,15,0.0,17.0
260,19870115,16,0.0,7.0
260,19870115,17,0.0,1.0
260,19870115,18,0.0,0.0
260,19870115,19,0.0,0.0
260,19870115,20,0.0,0.0
260,19870115,21,0.0,0.0
