,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-2.63708900000000E+04,-3.59023100000000E+04,2.49052300000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-4.66830776485653E+04,3.59023100000000E+04,9.55291894645124E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,3.78575300189140E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.49121655239239E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,9.34892809219201E+03,-,8.62977977740801E+03,2.50824439037578E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,8.60025364610258E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Industry - Other metals,3.49824159211247E+03,-,-,1.93666968923604E+04,8.44180000000000E+02,0.00000000000000E+00,0.00000000000000E+00,1.45627163538974E+04,0.00000000000000E+00
