PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,0,7540.01,0,0,0,0,0,0,0,0,0,0,0,0,18913.49,x,33776.97,1133.99,0,4672.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52814.85,52814.85,407013.77,17246.69,17685,82325.01,0,0,0,0,0,4641628.08,211419.25,7898.48,14456.6,3194.4,1649.1,53696.46,0,0,0,5629879.3,869399.61
Imports,x,x,0,142580.93,288912.02,0,1292,2847.99,26124,0,0,0,0,0,0,0,0,1773196.13,x,2367653.65,0,10547.47,3089.77,0,0,0,131927.99,16412,264.02,0,176299.99,19822.99,999481.19,213840.01,120648,2746.79,34691.99,47346.01,2600,37728.01,10759.99,0,0,0,0,0,3267,15021.99,0,0,0,0,0,0,0,0,0,0,0,0,0,43974.71,0,6493076.67,18288.99
Exports,x,x,0,-4636,-650,0,0,0,-2015.99,0,0,0,0,0,0,0,0,-227771.8,x,-7659.46,0,0,-1557.45,0,0,0,-58189.99,-198572.01,-1144,0,-35518.01,-2881.02,-118470.61,-236200,-95920.01,-4795.98,-53550.01,-7956.01,-4960.02,-223.99,-24319.99,0,0,0,0,0,-3483,-1369,0,0,0,0,0,0,0,0,0,0,0,0,0,-204279.16,0,-1296123.5,-4852
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-3876.6,-92680.01,0,0,-756.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97312.62,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-236113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-236113,0
Stock changes,x,x,0,0,22203.98,0,0,0,-6076.01,0,0,0,0,0,0,0,0,35416.6,x,-16951.26,0,3892.51,25.12,0,0,0,1563.98,6292.01,176.01,0,2064.01,171.99,7199.41,8879.99,3739.98,-87.21,546,1326,200,0,600.01,0,0,0,0,0,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71156.13,-27
Total primary energy supply,x,x,0,137944.93,318006.01,0,1292,2847.99,18032,0,0,0,0,0,0,0,0,1599754.42,x,2376819.9,1133.99,14439.98,6229.75,0,0,0,75301.98,-175868,-704.01,0,-93267,17114.01,884333.38,-106160,28467.98,-2136.4,-19067.99,40716,-2160.01,37504.01,-12959.99,0,52814.85,52814.85,407013.77,17246.69,17442,95977.99,0,0,0,0,0,4641628.08,211419.25,7898.48,14456.6,3194.4,1649.1,53696.46,0,-160304.45,0,10564563.03,882809.6
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,-1133.99,120081.99,-1758.41,0,0,0,0,4267.98,0,0,0,0,212.98,-113599.98,0,0,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9456.56,0
Statistical differences,x,x,0,-633.92,-23303.02,0,0,-1695.99,3359.99,0,0,0,0,-393.18,2700.49,0,0,-37065.82,x,669.68,0,25406,0,0,0,346.5,22447.99,-28115.99,176.01,0,-15652.02,-8643.02,-44389.21,-32960,40216.01,5973.18,1554.01,-8034.01,0,0,38360.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12036.97,-1057.8,-48697.13,0
Transformation processes,x,x,0,-137311,-234851.01,0,0,0,18003.99,0,3039.99,0,0,14898.85,23356.52,0,0,-258336.11,x,-2377489.58,0,-159927.97,-4471.38,0,107117.98,-49.49,61502,513875.98,1583.99,0,164045.02,0,1051410.61,302559.98,161567.98,4316.38,41285.99,73749.02,5200.01,19040.02,19319.99,0,-45928.19,-45928.19,-40995.14,-12961.5,0,0,0,0,0,0,0,-4641628.08,-211419.25,-6300.8,-14456.6,0,-1649.1,-53696.46,0,2014191.69,112816.3,-3534517.54,-387407.03
Main activity producer electricity plants,x,x,0,0,-168740.01,0,0,0,0,0,0,0,0,-3583.69,-16679.79,0,0,-55500.68,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-3067.21,-18880,0,0,0,0,0,-1279.99,0,0,-1184.78,-1184.78,0,-1751.67,0,0,0,0,0,0,0,-4641628.08,-208401.91,0,-5354.16,0,-1649.1,-49739.35,0,1901275.37,0,-3277349.84,-268080.97
Autoproducer electricity plants,x,x,0,0,-3184.98,0,0,0,0,0,0,0,0,-1048.21,-4278.2,0,0,-6141.66,x,0,0,0,0,0,-990.01,0,0,0,0,0,0,0,-468.59,-1919.98,0,0,0,0,0,0,-639.99,0,-20946.98,-20946.98,-1357.74,-6546.73,0,0,0,0,0,0,0,0,-3017.34,0,-9102.44,0,0,-3957.11,0,34458.2,0,-50088.74,-44928.34
Main activity producer CHP plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105100.82,x,0,0,0,0,0,-3316.49,0,0,0,0,0,0,0,0,-119.99,0,0,0,0,0,0,-3879.99,0,-1099.79,-1099.79,-13889.33,-753.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37889.62,62441.01,-28929.45,-15743
Autoproducer CHP plants,x,x,0,0,-12240.99,0,0,0,0,0,0,0,0,-592.93,-1489.71,0,0,-67403.38,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.58,-1159.99,0,0,0,0,0,0,-5559.99,0,-17101.7,-17101.7,-18382.48,-3719.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40568.5,20421.08,-83805.17,-39203.48
Main activity producer heat plants,x,x,0,0,-7889.02,0,0,0,0,0,0,0,0,0,0,0,0,-22447.7,x,0,0,0,0,0,0,0,-644.01,0,0,0,0,0,-638.99,-4839.98,0,0,0,0,0,0,0,0,0,0,-7056.64,0,0,0,0,0,0,0,0,0,0,-4449.14,0,0,0,0,0,0,36180.06,-11785.42,-11505.79
Autoproducer heat plants,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1741.92,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5594.9,-5594.9,-308.94,-189.96,0,0,0,0,0,0,0,0,0,-1851.65,0,0,0,0,0,0,7750.52,-7531.76,-7945.46
Heat pumps,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electric boilers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical heat for electricity production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blast furnaces,x,x,0,0,-42796,0,0,0,-71736,0,0,0,0,0,45804.18,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68727.83,0
