,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-3.62975000000000E+04,-5.63730000000000E+04,3.70708900000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-7.96060654190804E+04,5.63730000000000E+04,1.60438411565342E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,7.30140944504429E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.87435724110972E+02,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,1.79995822976914E+04,9.20211044111446E+03,0.00000000000000E+00,0.00000000000000E+00,1.70530256582424E-13,7.09593126307041E+03,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,1.52500000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.76370000000000E+04,0.00000000000000E+00
Industry - Other metals,1.34258000000000E+03,-,-,3.68096583613503E+03,1.27780000000000E+02,0.00000000000000E+00,1.76346693956541E+03,6.99237873692957E+03,0.00000000000000E+00
