FLOW,Total net production,Total energy industry,Coal mines,Oil and gas extraction,Patent fuel plants,Coke ovens,BKB plants,Gas works,Blast furnaces,Oil refineries,Coal liquefaction plants,Liquefaction (LNG) / regasification plants,Gasification plants for biogases,Gas-to-liquids (GTL) plants,Charcoal production plants,Non-specified energy industry,Total industry,Iron and steel,Chemical and petrochemical,Non-ferrous metals,Non-metallic minerals,Transport equipment,Machinery,Mining and quarrying,Food and tobacco,"Paper, pulp, and printing",Wood and wood products,Construction,Textile and leather,Non-specified industry,Total transport,Rail,Pipeline transport,Non-specified transport,Other,Commercial and public service,Residential,Agriculture,Fishing,Non-specified - other
PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoproducer electricity plants,9.662000000000000E+04,2.039300000000000E+04,5.550000000000000E+03,1.090000000000000E+02,0.000000000000000E+00,0.000000000000000E+00,1.019000000000000E+03,0.000000000000000E+00,0.000000000000000E+00,4.927000000000000E+03,1.600000000000000E+01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,8.772000000000000E+03,2.734100000000000E+04,1.097600000000000E+04,3.982000000000000E+03,3.771000000000000E+03,5.540000000000000E+02,2.230000000000000E+02,2.560000000000000E+02,1.840000000000000E+02,1.357000000000000E+03,3.807000000000000E+03,7.040000000000000E+02,1.070000000000000E+02,2.280000000000000E+02,1.192000000000000E+03,4.950000000000000E+02,0.000000000000000E+00,0.000000000000000E+00,4.950000000000000E+02,4.839100000000000E+04,2.628200000000000E+04,1.713300000000000E+04,1.505000000000000E+03,0.000000000000000E+00,3.471000000000000E+03
Autoproducer CHP plants,1.856880000000000E+05,3.770000000000000E+04,3.879000000000000E+03,5.550000000000000E+02,2.400000000000000E+01,5.810000000000000E+02,9.300000000000000E+01,5.000000000000000E+00,0.000000000000000E+00,2.451100000000000E+04,2.200000000000000E+01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,8.030000000000000E+03,1.180860000000000E+05,3.812000000000000E+03,3.775000000000000E+04,3.285000000000000E+03,3.180000000000000E+03,2.202000000000000E+03,9.490000000000000E+02,1.144000000000000E+03,1.400400000000000E+04,4.492400000000000E+04,2.734000000000000E+03,5.600000000000000E+02,1.906000000000000E+03,1.636000000000000E+03,6.650000000000000E+02,3.000000000000000E+00,3.400000000000000E+01,6.280000000000000E+02,2.923700000000000E+04,1.336400000000000E+04,2.770000000000000E+02,1.403600000000000E+04,0.000000000000000E+00,1.560000000000000E+03
Autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Total autoproducer plants,2.530550000000000E+05,5.809300000000000E+04,9.429000000000000E+03,6.640000000000000E+02,2.400000000000000E+01,5.810000000000000E+02,1.112000000000000E+03,5.000000000000000E+00,0.000000000000000E+00,2.943800000000000E+04,3.800000000000000E+01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,1.680200000000000E+04,1.454270000000000E+05,1.478800000000000E+04,4.173200000000000E+04,7.056000000000000E+03,3.734000000000000E+03,2.425000000000000E+03,1.205000000000000E+03,1.328000000000000E+03,1.536100000000000E+04,4.873100000000000E+04,3.438000000000000E+03,6.670000000000000E+02,2.134000000000000E+03,2.828000000000000E+03,1.160000000000000E+03,3.000000000000000E+00,3.400000000000000E+01,1.123000000000000E+03,4.837500000000000E+04,2.710900000000000E+04,6.940000000000000E+02,1.554100000000000E+04,0.000000000000000E+00,5.031000000000000E+03
Autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Autoproducer CHP plants,2.944380000000000E+05,6.318200000000000E+04,1.596000000000000E+03,1.136000000000000E+03,0.000000000000000E+00,4.652000000000000E+03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5.304400000000000E+04,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,2.754000000000000E+03,1.261840000000000E+05,3.797000000000000E+03,4.026500000000000E+04,6.980000000000000E+02,4.152000000000000E+03,4.201000000000000E+03,1.096000000000000E+03,1.139000000000000E+03,9.805000000000000E+03,5.080200000000000E+04,3.175000000000000E+03,5.360000000000000E+02,3.162000000000000E+03,3.356000000000000E+03,1.424000000000000E+03,0.000000000000000E+00,0.000000000000000E+00,1.424000000000000E+03,1.036480000000000E+05,3.243800000000000E+04,4.310000000000000E+02,3.450000000000000E+02,0.000000000000000E+00,7.043400000000000E+04
Autoproducer heat plants,1.063220000000000E+05,1.634200000000000E+04,3.430000000000000E+02,9.900000000000000E+01,0.000000000000000E+00,6.499000000000000E+03,1.030000000000000E+02,1.200000000000000E+01,0.000000000000000E+00,9.137000000000000E+03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,1.490000000000000E+02,5.193500000000000E+04,1.519000000000000E+03,2.278200000000000E+04,1.919000000000000E+03,1.409000000000000E+03,1.440000000000000E+02,6.430000000000000E+02,1.520000000000000E+02,1.141000000000000E+03,2.354000000000000E+03,9.360000000000000E+02,5.700000000000000E+02,5.200000000000000E+01,1.831400000000000E+04,1.460000000000000E+02,0.000000000000000E+00,1.460000000000000E+02,0.000000000000000E+00,3.789900000000000E+04,2.883200000000000E+04,2.231000000000000E+03,8.800000000000000E+01,0.000000000000000E+00,6.748000000000000E+03
Total autoproducer plants,4.007600000000000E+05,7.952400000000000E+04,1.939000000000000E+03,1.235000000000000E+03,0.000000000000000E+00,1.115100000000000E+04,1.030000000000000E+02,1.200000000000000E+01,0.000000000000000E+00,6.218100000000000E+04,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,2.903000000000000E+03,1.781190000000000E+05,5.316000000000000E+03,6.304700000000000E+04,2.617000000000000E+03,5.561000000000000E+03,4.345000000000000E+03,1.739000000000000E+03,1.291000000000000E+03,1.094600000000000E+04,5.315600000000000E+04,4.111000000000000E+03,1.106000000000000E+03,3.214000000000000E+03,2.167000000000000E+04,1.570000000000000E+03,0.000000000000000E+00,1.460000000000000E+02,1.424000000000000E+03,1.415470000000000E+05,6.127000000000000E+04,2.662000000000000E+03,4.330000000000000E+02,0.000000000000000E+00,7.718200000000000E+04
