,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption,,,,,,,,,
Chemical and petrochemical industry,1.21433330542697E+04,-,3.48740000000000E+03,1.83881702842524E+05,6.35867700000000E+04,-5.92175190969180E+03,1.53064945651060E+05,1.87777390000000E+05,3.35657626643594E+02
Total non-energetic final consumption,,,,,,,,,
Feedstock use in petrochemical industry,1.36348000000000E+03,-,0.00000000000000E+00,8.60811500000000E+04,6.58284950000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
