,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption,,,,,,,,,
Chemical and petrochemical industry,7.47746865660655E+03,-,0.00000000000000E+00,3.62807395269830E+04,1.16597990000000E+05,-1.27851416190238E+03,7.84877913162814E+03,9.43045700000000E+04,0.00000000000000E+00
Total non-energetic final consumption,,,,,,,,,
Feedstock use in petrochemical industry,0.00000000000000E+00,-,0.00000000000000E+00,6.18051600000000E+04,2.87694360000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
