PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural Gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other Kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,28565.51,107735.51,271961.13,0,767310.88,0,0,0,0,0,0,0,0,0,0,1279996.01,x,1311925.155,88691.18,0,16253.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34502.875,59206.605,54244.58,286137.505,176687.04,10759.595,55923.545,35224.01,0,0,0,0,1105813.555,43263.59,11080.365,21090.795,11178.36,0,86372.345,0,0,0,5863923.43,796923.76
Imports,x,x,16968.035,203094.26,743742.71,0,0,5571.355,63340.275,0,0,1057.585,0,0,0,0,0,2509796.205,x,3023926.14,10538.28,138218.24,0,0,0,0,29049,118118,704.01,0,257226,21349.5,512009.385,73980.005,166056.005,6082.21,31373.995,12363.015,7920.005,28240.005,3840.01,0,0,0,13237.445,0,11483.03,15726.96,0,0,0,0,0,0,0,0,0,0,0,0,0,90207.035,0,8115218.69,40447.44
Exports,x,x,-3235.745,-102.2,-11422.285,0,0,-557.68,-9544.27,0,0,-13358.175,0,0,0,0,0,-582707.96,x,-817153.12,-40655.375,-62830.345,0,0,0,0,-22678.01,-296691.995,-44.005,0,-46762.515,-4127.995,-279945.9,-133000,-37069.99,-2506.99,-32486.995,-21450.005,-4940.005,-23360.02,-21060,0,0,0,-425.42,0,-239.945,-13244.69,0,0,0,0,0,0,0,0,0,0,0,0,0,-112336.615,-132.975,-2594071.235,-13910.055
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-28328.995,-72760.01,0,0,-335.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-101425,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-394524.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-394524.99,0
Stock changes,x,x,0,-5475.71,95194.33,0,596.47,201.3,-3628.425,0,0,49.005,0,0,0,0,0,104133.585,x,12621.505,992.48,-5524.485,0,0,0,0,-643.995,5214.01,44.005,0,2881,-107.495,-149.115,-799.99,66.005,-21.79,-1050.005,-1989,-19.99,1984,-1180.01,0,0,0,0,0,-53.59,73.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203407.705,20.015
Total primary energy supply,x,x,42297.795,305251.845,1099475.89,0,767907.35,5214.995,50167.535,0,0,-12251.605,0,0,0,0,0,3311217.82,x,3531319.7,59566.545,69863.415,16253.285,0,0,0,5727,-173360,704.01,0,-181180.505,17114.005,203585.415,-132580.005,129052,3553.4,-2498.995,-11076.015,2960.005,6864.005,-18400.005,34502.875,59206.605,54244.58,298949.535,176687.04,21949.115,58479.38,35224.01,0,0,0,0,1105813.555,43263.59,11080.365,21090.795,11178.36,0,86372.345,0,-22129.58,-132.975,11092528.48,823481.135
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,-41611.77,26708.75,0,0,12770.995,24873.76,24839.99,7985.99,132.01,0,-15329.485,13996.495,-22258.495,859.99,45496.01,1177.205,-24779.995,-4270.495,0,-3359.99,-18500.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28730.95,0
Statistical differences,x,x,-64.895,12689.355,16748.04,0,-721.74,77.435,-18778.51,0,0,-5916.2,0,-2476.995,143.46,0,0,11227.445,x,-2034.955,18.045,-5821.955,0,0,-470.26,0,1908.99,2662.01,-88.005,0,-4772.99,236.49,8434.81,-5860.015,-8008.01,632.21,-714.015,-58.49,-279.99,656.005,3260.01,0,0,0,0,0.5,53.59,-73.605,-28.01,0,0,0,0,0,0,0,0,0,0,0,0,-1915.545,0,664.215,-47.52
Transformation processes,x,x,-32903.975,-315873.985,-1048477.34,0,-759008.435,4924.22,-11486.005,0,3177.825,58887.845,0,32610.755,58942.165,7005.645,0,-1054994.47,x,-3529284.745,-17972.825,-90750.21,-16253.285,0,152385.75,0,100165.005,898876.005,0,0,229125.495,55383.995,1436897.995,261260.005,119240,1940.185,61383.01,91221.015,2679.99,45631.995,48960.02,-16792.27,-55546.315,-51372.12,-108360.16,-160465.66,0,0,-17695.99,0,0,0,0,-1105813.555,-43263.59,-1525.71,-21090.795,0,0,-86372.345,0,1800385.21,286855.86,-2787363.795,-494320.57
