FLOW,Total net production,Total energy industry,Coal mines,Oil and gas extraction,Patent fuel plants,Coke ovens,BKB plants,Gas works,Blast furnaces,Oil refineries,Coal liquefaction plants,Liquefaction (LNG) / regasification plants,Gasification plants for biogases,Gas-to-liquids (GTL) plants,Charcoal production plants,Non-specified energy industry,Total industry,Iron and steel,Chemical and petrochemical,Non-ferrous metals,Non-metallic minerals,Transport equipment,Machinery,Mining and quarrying,Food and tobacco,"Paper, pulp, and printing",Wood and wood products,Construction,Textile and leather,Non-specified industry,Total transport,Rail,Pipeline transport,Non-specified transport,Other,Commercial and public service,Residential,Agriculture,Fishing,Non-specified - other
PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoproducer electricity plants,17383.5,9255.5,3014,42.5,0,0,521.5,0,0,1853.5,0,0,0,0,0,3824,7185.5,3550,783.5,1797.5,59,72.5,135,94.5,39.5,306,210,2.5,2,133.5,0,0,0,0,942.5,70,0,0,0,872.5
Autoproducer CHP plants,26795,7925,421.5,30.5,0,0,46,0,0,3716.5,0,0,0,0,0,3710.5,17403,545.5,9440,36,57,192,148,171.5,2080.5,4035.5,502.5,0,17.5,177,0,0,0,0,1467,1096.5,0,0,0,370.5
Autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Total autoproducer plants,44178.5,17180.5,3435.5,73,0,0,567.5,0,0,5570,0,0,0,0,0,7534.5,24588.5,4095.5,10223.5,1833.5,116,264.5,283,266,2120,4341.5,712.5,2.5,19.5,310.5,0,0,0,0,2409.5,1166.5,0,0,0,1243
Autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Autoproducer CHP plants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autoproducer heat plants,28857,1951,0,0,0,0,0,0,0,1951,0,0,0,0,0,0,17599,0,8863.5,0,0,0,0,0,21.5,29.5,0,0,0,8684.5,0,0,0,0,9307,8220,1087,0,0,0
Total autoproducer plants,28857,1951,0,0,0,0,0,0,0,1951,0,0,0,0,0,0,17599,0,8863.5,0,0,0,0,0,21.5,29.5,0,0,0,8684.5,0,0,0,0,9307,8220,1087,0,0,0
