key,demand,max_demand
energy_production_bio_ethanol,0.00000000000000E+00,
energy_production_biodiesel,6.36399900000000E+04,
energy_production_bio_oil,0.00000000000000E+00,
energy_production_biogas,1.14419743788820E+04,
energy_production_biogenic_waste,3.32446200000000E+04,3.45127133733380E+04
energy_production_non_biogenic_waste,2.83195600000000E+04,2.82375544766853E+04
energy_production_wood_pellets,,
energy_production_woody_biomass,,6.22457819452800E+04
energy_production_manure,,
energy_production_corn,,
energy_production_wood,2.55100000000000E+03,
