key,value,comment
input_share_mixer_gas_fuel_bio_oil,0,Assumption
input_share_mixer_gas_fuel_oil,0,Assumption
input_share_mixer_gas_fuel_network_gas,1,Assumption
energy_extraction_uranium_oxide_demand,0,No data available in the energy balance; set to 0
input_agriculture_chp_engine_biogas_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_agriculture_chp_engine_network_gas_dispatchable_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_agriculture_chp_wood_pellets_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_combined_cycle_network_gas_electricity_output_conversion,28.6,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_engine_biogas_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_engine_network_gas_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_local_wood_pellets_electricity_output_conversion,18.5,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_supercritical_waste_mix_electricity_output_conversion,84.4,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_coal_electricity_output_conversion,8,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_cofiring_coal_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_ultra_supercritical_lignite_electricity_output_conversion,34.1,Derived from energy balance; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_combined_cycle_gas_power_fuelmix_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_engine_gas_power_fuelmix_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_turbine_gas_power_fuelmix_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_turbine_hydrogen_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_ultra_supercritical_coal_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_industry_chp_wood_pellets_electricity_output_conversion,30,Assumption; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx
input_energy_chp_combined_cycle_ht_network_gas_production,2851.177,"Derived from energy balance, assumption all to HT; value derived from energy balance with aggregation of categories and carriers to ETM plant types and carriers; see etdataset-public/eu_datasets/power_plants/20241018_power_plants_NO_RS_CH.xlsx"
