PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,348606.87,1539039.59,0,533138.32,0,0,0,0,0,0,0,0,0,0,160204.68,x,28955.45,0,0,366.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21069.95,1359.75,4311.19,292505.8,7031.65,5138.08,23232.01,0,0,0,0,0,0,7334.52,660.89,3.6,543.91,0,17092.28,0,0,4.98,2990599.76,354902.48
Imports,x,x,0,47446.87,202890.23,0,1249.51,278.38,3864,0,377.11,176.39,0,0,0,0,0,420376.28,x,1046803.96,0,5780,2417.25,0,0,0,89469.99,19228,0,0,1461.99,43,60577.22,2439.98,0,1395.21,8063.99,13182.01,2319.99,3104.01,6279.99,0,0,0,0,0,1306.78,6950.38,0,0,0,0,0,0,0,0,0,0,0,0,0,35297.15,0,1982779.68,8257.17
Exports,x,x,0,-46975.18,-150398.69,0,-1111.39,-46.39,-178948.02,0,-14258.15,0,0,0,0,0,0,-107.06,x,-8971.52,0,0,0,0,0,0,-5244.01,-29832,-572,0,-18618.99,0,-14356.2,-92400,-19535.99,-6932.42,-20916,-19188.02,-400.01,-447.99,-11320.02,0,0,0,0,0,-59.41,-1881.59,0,0,0,0,0,0,0,0,0,0,0,0,0,-45522.99,0,-688044.02,-1941
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-2811.6,-3200.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6011.62,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-22532.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22532.02,0
Stock changes,x,x,0,-3625.1,-150210.07,0,-1144.59,0,-652.43,0,37.72,0,0,0,0,0,0,-11189.22,x,2149.84,0,0,0,0,0,0,-275.99,4355.99,0,0,2279,0,-1703.99,920.01,176.01,0,-41.99,-272.98,-160.02,0,-200,0,0,0,0,0,59.41,-307.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-159805.59,-247.77
Total primary energy supply,x,x,0,345453.41,1441321.1,0,532131.85,231.99,-175736.45,0,-13843.36,176.39,0,0,0,0,0,569284.68,x,1068937.73,0,5780,2783.51,0,0,0,83949.99,-6248,-572,0,-37409.98,43,41705.38,-92240.02,-19360.01,-5537.21,-12894,-6278.99,1760.01,2655.98,-5239.99,21069.95,1359.75,4311.19,292505.8,7031.65,6444.91,27993.61,0,0,0,0,0,0,7334.52,660.89,3.6,543.91,0,17092.28,0,-10225.84,4.98,4096986.19,360970.91
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,2040.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040.02,0
Statistical differences,x,x,0,16855.85,-10911.18,0,2048.43,-45.47,7891.28,0,-0.33,-77.67,-1.8,1150.78,1,0,0,3719.55,x,12565.8,0,0,0,0,0,0,3450.01,-3652.02,0,0,-1547.99,-43,-7029.01,80.01,-176.01,0,3107.99,0,0,-2655.98,-15120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9610.26,0
