party,category,classification,measure,gas,unit,year,numberValue,stringValue
SWE,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"CS,D,NO,PS"
SWE,1.  Energy,Total for category,Emission factor information,CH4,no unit,2019,,"CS,D,NO,PS"
SWE,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D,NO,PS"
SWE,1.  Energy,Total for category,Emission factor information,CO2,no unit,2019,,"CS,D,NO,PS"
SWE,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"CS,D,NO"
SWE,1.  Energy,Total for category,Emission factor information,N2O,no unit,2019,,"CS,D,NO"
SWE,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,,NO
SWE,1.  Energy,Total for category,Indirect emissions,CO2,kt,2019,,NO
SWE,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,1.27985284176282,
SWE,1.  Energy,Total for category,Indirect emissions,N2O,kt,2019,0.50675439583128,
SWE,1.  Energy,Total for category,Method,CH4,no unit,1990,,"M,NO,T1,T2,T3"
SWE,1.  Energy,Total for category,Method,CH4,no unit,2019,,"M,NO,T1,T2,T3"
SWE,1.  Energy,Total for category,Method,CO2,no unit,1990,,"NO,T1,T2,T3"
SWE,1.  Energy,Total for category,Method,CO2,no unit,2019,,"NO,T1,T2,T3"
SWE,1.  Energy,Total for category,Method,N2O,no unit,1990,,"M,NO,T1,T2"
SWE,1.  Energy,Total for category,Method,N2O,no unit,2019,,"M,NO,T1,T2"
SWE,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,52272.03112646732,
SWE,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,34921.810067467166,
SWE,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,15.8017527536668,
SWE,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2019,8.36300401272997,
SWE,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,1073.057955295942,
SWE,1.  Energy,Total for category,Net emissions/removals,CO,kt,2019,269.2543856478825,
SWE,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,51359.518747265305,
SWE,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2019,34130.17965250855,
SWE,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,2.66797060543882,
SWE,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2019,2.24032286507296,
SWE,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,222.2076437811267,
SWE,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,2019,45.93247682286012,
SWE,1.  Energy,Total for category,Net emissions/removals,NOx,kt,1990,260.3863796073476,
SWE,1.  Energy,Total for category,Net emissions/removals,NOx,kt,2019,99.8956872046843,
SWE,1.  Energy,Total for category,Net emissions/removals,N2O,kt,1990,1.77382378150696,
SWE,1.  Energy,Total for category,Net emissions/removals,N2O,kt,2019,2.10364642491388,
SWE,1.  Energy,Total for category,Net emissions/removals,SO2,kt,1990,68.55954834265496,
SWE,1.  Energy,Total for category,Net emissions/removals,SO2,kt,2019,7.06933436920072,
SWE,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,1990,15.8017527536668,
SWE,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,2019,8.36300401272997,
SWE,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,1990,1.77382378150696,
SWE,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,2019,2.10364642491388,
SWE,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,1990,,NO
SWE,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,2019,,NO
SWE,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,1990,,NO
SWE,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,2019,,NO
SWE,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,1990,22641.3854851685,
SWE,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,2019,165994.510592623,
SWE,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,1990,8.6094056217165,
SWE,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,2019,9.34543340611868,
SWE,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,1990,100.7367733587295,
SWE,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,2019,101.77212021319953,
SWE,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,1990,3.79686479276028,
SWE,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,2019,3.16402870214487,
SWE,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,2309.059190591579,
SWE,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,17076.230444727433,
SWE,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,1990,0.19492887147946,
SWE,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,2019,1.55129064452462,
SWE,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,1990,2280.820118147047,
SWE,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,2019,16893.61328676365,
SWE,1.A.1  Energy Industries,Biomass,Net emissions/removals,N2O,kt,1990,0.08596627940795,
SWE,1.A.1  Energy Industries,Biomass,Net emissions/removals,N2O,kt,2019,0.52521139591355,
SWE,1.A.1  Energy Industries,Gaseous Fuels,Amount captured,CO2,kt,1990,,NO
SWE,1.A.1  Energy Industries,Gaseous Fuels,Amount captured,CO2,kt,2019,,NO
SWE,1.A.1  Energy Industries,Gaseous Fuels,Fuel Consumption,No gas,TJ,1990,8579.141999999998,
SWE,1.A.1  Energy Industries,Gaseous Fuels,Fuel Consumption,No gas,TJ,2019,7607.63437199582,
