,,BIODIESEL,BIOMASS,BIOMASS GASIFICATION,COAL,LIGNITE,COMPRESSED AIR,HYDROGEN,NATURAL GAS,OIL,OTHER,OTHER GAS (1),SOLAR,STEAM,URANIUM,WASTE,WASTE GAS,WATER,WIND
Power,Other,,,,,,,,,,,,,,,,,,
,Combined Cycle,,23.9,,1672,0,,,92123.16,2640.84,,1374.9,,,,,0,,
,Fuel Cell Electroche,,,,,,,0.2,,,,,,,,,,,
,Gas Combustion Turbi,,0,,0,,,,6272.58,8428.69,28,1401.52,0.05,0,,,534.5,,
,Geothermal Steam Tur,,,,,,,,,,,,,726.4,,,,,
,Hydro,,,,,,,,,,,,,,,,,96209.75,
,Internal Combustion,231,,0.2,0,,,,263.03,1062.32,34.5,254.02,,,,0,9.46,,
,Nuclear,,,,,,,,,80,,,,,108435,,,,
,Pumped Storage,,,,,,,,,,,,0.66,,,,,34102.71,
,Solar,,,,,,,,,,,,49718.06,,,,,,0.6
,Steam Turbine,,2400.45,,67262.44,28229.6,,12,6603.28,22263.34,11.43,775.63,1,,,1468.86,,,
,Wind Turbine,,,,,,,,,,,,,,,,,,79881.92
,,,,,,,,,,,,,,,,,,,
CHP,Other,,,,,,,,,,,,,,,,,,
,Combined Cycle,,60,,677.3,,,,41130.93,368,,1206.2,,,,66,,,
,,,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,32.6,,16.5,,,,9259.19,759.2,8.32,457.82,,,,159,58.4,,
,Geothermal Steam Tur,,,,,,,,,,,,,5.4,,,,,
,,,,,,,,,,,,,,,,,,,
,Internal Combustion,24,,,,,,,1564.18,163.52,3.95,135.34,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Steam Turbine,224,6647.57,,25610.46,13420.3,,,9447.45,4442.42,,787.06,,,,2185.84,,,
,,,,,,,,,,,,,,,,,,,
