agriculture_heating,agriculture_heating_2019,buildings_heating,buildings_heating_2019,insulation_apartments_high,insulation_apartments_high_2019,insulation_apartments_low,insulation_apartments_low_2019,insulation_apartments_medium,insulation_apartments_medium_2019,insulation_detached_houses_high,insulation_detached_houses_high_2019,insulation_detached_houses_low,insulation_detached_houses_low_2019,insulation_detached_houses_medium,insulation_detached_houses_medium_2019,insulation_semi_detached_houses_high,insulation_semi_detached_houses_high_2019,insulation_semi_detached_houses_low,insulation_semi_detached_houses_low_2019,insulation_semi_detached_houses_medium,insulation_semi_detached_houses_medium_2019,insulation_terraced_houses_high,insulation_terraced_houses_high_2019,insulation_terraced_houses_low,insulation_terraced_houses_low_2019,insulation_terraced_houses_medium,insulation_terraced_houses_medium_2019
1.0726211739237492e-08,2.4691377124742764e-08,1.0726211739237492e-08,2.4691377124742764e-08,5.454598022174309e-08,9.1959196285e-08,1.6842936991066463e-08,3.9186247711e-08,2.7889686869041076e-08,5.2857943589e-08,4.3412139650481764e-08,6.7716458034e-08,1.7216239930207255e-08,3.3746940823e-08,2.6336803073741265e-08,4.2931190806e-08,4.69601433014293e-08,7.2581594356e-08,1.8377140216167223e-08,3.4246157846e-08,2.8804379206270234e-08,4.3264037866e-08,5.099310460409128e-08,7.7788567228e-08,1.9700382390091035e-08,3.8836038883e-08,2.5280213526364333e-08,4.4678059143e-08
9.762057875036371e-09,2.197698212404628e-08,9.762057875036371e-09,2.197698212404628e-08,4.9844354364332316e-08,8.8855865433e-08,1.2553218528028289e-08,3.9201242535e-08,2.663343310448328e-08,4.8507394098e-08,4.017606275592715e-08,6.4490038525e-08,1.4129701347828272e-08,3.1765899583e-08,2.162112060168991e-08,4.4659863869e-08,4.308542511599687e-08,6.9653824716e-08,1.2568314408658154e-08,3.415482202e-08,2.4812122259731384e-08,4.5266757226e-08,4.7654748785284726e-08,7.5844692804e-08,1.2830062829029872e-08,3.4122571165e-08,2.273119852780489e-08,4.4146963487e-08
8.677384777810105e-09,2.3546531259548972e-08,8.677384777810105e-09,2.3546531259548972e-08,4.6606959084822394e-08,8.5963156805e-08,1.563493694655715e-08,4.2858244688e-08,2.9653341901884528e-08,5.4066878551e-08,3.7869804222436356e-08,6.2630267253e-08,1.3680892970091132e-08,3.8442371077e-08,2.368107728831073e-08,4.8934812852e-08,3.928382158027432e-08,6.7206156642e-08,1.3782348213673477e-08,4.0982884887e-08,2.8403033763548996e-08,5.1208148384e-08,4.4026426265453075e-08,7.2224704685e-08,1.3747167231998856e-08,3.8285837255e-08,2.6865874077213793e-08,5.0786012579e-08
6.427692428007485e-09,2.090787303834885e-08,6.427692428007485e-09,2.090787303834885e-08,4.712661848655027e-08,8.4881348486e-08,2.4833139362343188e-08,5.3156133997e-08,3.074770092526229e-08,6.1488570678e-08,3.706408988768471e-08,6.1159333894e-08,2.1951192215201612e-08,4.8345425687e-08,2.8632090997525384e-08,5.4735384904e-08,3.843623135148432e-08,6.8536023879e-08,2.3930075456307115e-08,5.0418597329e-08,3.240354142293458e-08,5.2709472471e-08,4.2485586828042635e-08,7.0974977165e-08,2.2237334574033292e-08,4.9238532429e-08,3.407363770815327e-08,5.9270858783e-08
1.196581900603052e-08,2.244431334416881e-08,1.196581900603052e-08,2.244431334416881e-08,4.7098429578877335e-08,8.3136898463e-08,3.9256943577736024e-08,6.6599247795e-08,3.8977453871451704e-08,6.9567245855e-08,3.6629960505100356e-08,6.0804878461e-08,3.594086157398108e-08,6.519220456e-08,3.694407504537457e-08,6.3231623934e-08,3.9946783219036176e-08,6.8046933e-08,3.592599239706265e-08,6.3047768929e-08,4.0257416543808746e-08,6.0280335973e-08,4.1917743720868024e-08,7.038732729e-08,3.5370303338357435e-08,6.1972993799e-08,4.461410938299356e-08,6.821306371e-08
6.347346272657393e-09,2.795844709124261e-08,6.347346272657393e-09,2.795844709124261e-08,4.681645628643117e-08,8.3323585599e-08,5.615284800012879e-08,7.6715956118e-08,5.4554379325166954e-08,7.8325274105e-08,3.7366633711848956e-08,6.0726376319e-08,4.80067444751618e-08,7.7608982996e-08,4.70925366119039e-08,6.7342811077e-08,3.968391031091122e-08,6.7318744262e-08,4.5619247274415854e-08,7.6650247383e-08,4.83413965209878e-08,7.4858197338e-08,4.1578823857471594e-08,6.9358918367e-08,4.8108246020056e-08,7.1836323979e-08,4.986149733842533e-08,7.1801701528e-08
1.1754106886683029e-08,2.9888019795948257e-08,1.1754106886683029e-08,2.9888019795948257e-08,4.6439461469133117e-08,8.1996528131e-08,6.633470305707522e-08,8.9793885781e-08,5.763619511833381e-08,8.0860757225e-08,3.774378547411496e-08,6.0054851445e-08,6.329533602802521e-08,8.0356689839e-08,5.1378245055885256e-08,7.3519905512e-08,3.925403742282813e-08,6.6181402033e-08,6.437567378330229e-08,8.3784757825e-08,4.9315642859541217e-08,7.6777136827e-08,4.23820716168623e-08,6.9868668521e-08,5.4555301646753954e-08,7.5611105956e-08,5.4349405504066666e-08,7.4943580988e-08
1.6146363379154805e-08,1.4516777792014396e-08,1.6146363379154805e-08,1.4516777792014396e-08,4.480974861622906e-08,7.7684904341e-08,6.939455618163115e-08,9.1663612141e-08,5.753625980077277e-08,8.4646677309e-08,3.7093255129218494e-08,5.9012544842e-08,6.718364968560579e-08,8.321256521e-08,5.7502712906099774e-08,6.9412647236e-08,3.8140737219669765e-08,6.5282064983e-08,6.634259940544058e-08,8.5293247607e-08,4.95050979620258e-08,7.5690500976e-08,4.09120807715841e-08,6.7940311352e-08,6.165047533027666e-08,8.0587178306e-08,5.4872842429132885e-08,7.4425153521e-08
2.1871187640159683e-08,1.644362139815996e-08,2.1871187640159683e-08,1.644362139815996e-08,4.08621753321904e-08,7.1920179704e-08,5.4411617229929924e-08,7.9873576717e-08,4.8078834698495314e-08,7.8001016809e-08,3.538041979692605e-08,5.7185736261e-08,5.6455600371898786e-08,7.3890059845e-08,5.270389430471603e-08,6.3101620121e-08,3.610561603324153e-08,6.2610901375e-08,5.6636598114704094e-08,7.1422887745e-08,5.241275885902636e-08,6.6150024343e-08,3.712361568242077e-08,6.4120207656e-08,5.8526403157746926e-08,7.686673385e-08,4.9350715070168555e-08,6.9026038415e-08
1.12484617490131e-08,2.998731084215801e-08,1.12484617490131e-08,2.998731084215801e-08,3.4414842772075306e-08,6.4490549351e-08,4.33251944474979e-08,6.7244024308e-08,4.01442475299455e-08,6.6413207657e-08,3.3589452175156364e-08,5.4754554493e-08,4.490852338051354e-08,5.7406865455e-08,4.2330822868110376e-08,5.6640764052e-08,3.3134173632525476e-08,5.9375216402e-08,4.2351087652687734e-08,6.1967803328e-08,4.329331475497001e-08,6.0025989421e-08,3.296672730413487e-08,6.0268870517e-08,4.6213502853559686e-08,6.5252948702e-08,3.7645554306989584e-08,5.7790748973e-08
