party,category,classification,measure,gas,unit,year,numberValue,stringValue
ROU,1.  Energy,Total for category,Emission factor information,CH4,no unit,1990,,"D,OTH"
ROU,1.  Energy,Total for category,Emission factor information,CH4,no unit,2019,,"D,OTH"
ROU,1.  Energy,Total for category,Emission factor information,CO2,no unit,1990,,"CS,D,OTH"
ROU,1.  Energy,Total for category,Emission factor information,CO2,no unit,2019,,"CS,D,OTH,PS"
ROU,1.  Energy,Total for category,Emission factor information,N2O,no unit,1990,,"D,OTH"
ROU,1.  Energy,Total for category,Emission factor information,N2O,no unit,2019,,"D,OTH"
ROU,1.  Energy,Total for category,Indirect emissions,CO2,kt,1990,,NE
ROU,1.  Energy,Total for category,Indirect emissions,CO2,kt,2019,,NE
ROU,1.  Energy,Total for category,Indirect emissions,N2O,kt,1990,,NE
ROU,1.  Energy,Total for category,Indirect emissions,N2O,kt,2019,,NE
ROU,1.  Energy,Total for category,Method,CH4,no unit,1990,,"T1,T2"
ROU,1.  Energy,Total for category,Method,CH4,no unit,2019,,"T1,T2,T3"
ROU,1.  Energy,Total for category,Method,CO2,no unit,1990,,"T1,T2"
ROU,1.  Energy,Total for category,Method,CO2,no unit,2019,,"T1,T2,T3"
ROU,1.  Energy,Total for category,Method,N2O,no unit,1990,,T1
ROU,1.  Energy,Total for category,Method,N2O,no unit,2019,,"T1,T2,T3"
ROU,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,185042.7660337269,
ROU,1.  Energy,Total for category,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,77370.89242981827,
ROU,1.  Energy,Total for category,Net emissions/removals,CH4,kt,1990,1203.259779846956,
ROU,1.  Energy,Total for category,Net emissions/removals,CH4,kt,2019,380.9225934022527,
ROU,1.  Energy,Total for category,Net emissions/removals,CO,kt,1990,1042.8092543490463,
ROU,1.  Energy,Total for category,Net emissions/removals,CO,kt,2019,881.9273420028911,
ROU,1.  Energy,Total for category,Net emissions/removals,CO2,kt,1990,150804.27336718122,
ROU,1.  Energy,Total for category,Net emissions/removals,CO2,kt,2019,66118.07977839497,
ROU,1.  Energy,Total for category,Net emissions/removals,NH3,kt,1990,,NE
ROU,1.  Energy,Total for category,Net emissions/removals,NH3,kt,2019,,NE
ROU,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,1990,145.88092563255705,
ROU,1.  Energy,Total for category,Net emissions/removals,NMVOC,kt,2019,148.5204634878893,
ROU,1.  Energy,Total for category,Net emissions/removals,NOx,kt,1990,437.29381255480484,
ROU,1.  Energy,Total for category,Net emissions/removals,NOx,kt,2019,175.77588894684416,
ROU,1.  Energy,Total for category,Net emissions/removals,N2O,kt,1990,2.06497672011671,
ROU,1.  Energy,Total for category,Net emissions/removals,N2O,kt,2019,2.21501900437824,
ROU,1.  Energy,Total for category,Net emissions/removals,SO2,kt,1990,845.32260120558,
ROU,1.  Energy,Total for category,Net emissions/removals,SO2,kt,2019,91.78541942503935,
ROU,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,1990,1203.259779846956,
ROU,1.  Energy,Total for category,unknown measure nr. 19496,CH4,kt,2019,380.9225934022527,
ROU,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,1990,2.06497672011671,
ROU,1.  Energy,Total for category,unknown measure nr. 19496,N2O,kt,2019,2.21501900437824,
ROU,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,1990,,NE
ROU,1.  Energy,Total for category,unknown measure nr. 19497,CO2,kt,2019,,NE
ROU,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Amount captured,CO2,kt,2019,,NO
ROU,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Fuel Consumption,No gas,TJ,2019,4727.0599999999995,
ROU,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Implied emission factor,CH4,kg/TJ,2019,29.26338358303047,
ROU,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Implied emission factor,CO2,t/TJ,2019,110.5420075057224,
ROU,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Implied emission factor,N2O,kg/TJ,2019,3.90093779220065,
ROU,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,531.298526815,
ROU,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Net emissions/removals,CH4,kt,2019,0.13832977,
ROU,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Net emissions/removals,CO2,kt,2019,522.5387020000001,
ROU,1.A.1  Energy Industries,Biomass,Net emissions/removals,N2O,kt,1990,,NO
ROU,1.A.1  Energy Industries,Biomass,Net emissions/removals,N2O,kt,2019,0.018439967,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Amount captured,CO2,kt,1990,,NO
ROU,1.A.1  Energy Industries,Gaseous Fuels,Amount captured,CO2,kt,2019,,NO
ROU,1.A.1  Energy Industries,Gaseous Fuels,Fuel Consumption,No gas,TJ,1990,376161.3,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Fuel Consumption,No gas,TJ,2019,108440.53158381055,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,CH4,kg/TJ,1990,1.0,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,CH4,kg/TJ,2019,0.99999999999999,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,CO2,t/TJ,1990,55.41531143041345,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,CO2,t/TJ,2019,55.78765489028644,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,N2O,kg/TJ,1990,0.1,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Implied emission factor,N2O,kg/TJ,2019,0.09999999999999,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,1990,20865.596378419184,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,Aggregate GHGs,kt CO2 equivalent,2019,6055.552961088147,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,CH4,kt,1990,0.3761613,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,CH4,kt,2019,0.10844053158381,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,CO2,kt,1990,20845.095587569183,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,CO2,kt,2019,6049.64295211683,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,N2O,kt,1990,0.03761613,
ROU,1.A.1  Energy Industries,Gaseous Fuels,Net emissions/removals,N2O,kt,2019,0.01084405315838,
ROU,1.A.1  Energy Industries,Liquid Fuels,Amount captured,CO2,kt,1990,,NO
ROU,1.A.1  Energy Industries,Liquid Fuels,Amount captured,CO2,kt,2019,,NO
ROU,1.A.1  Energy Industries,Liquid Fuels,Fuel Consumption,No gas,TJ,1990,336463.34738,
ROU,1.A.1  Energy Industries,Liquid Fuels,Fuel Consumption,No gas,TJ,2019,43070.10998504421,
ROU,1.A.1  Energy Industries,Liquid Fuels,Implied emission factor,CH4,kg/TJ,1990,2.62870593788955,
ROU,1.A.1  Energy Industries,Liquid Fuels,Implied emission factor,CH4,kg/TJ,2019,1.70829873164334,
ROU,1.A.1  Energy Industries,Liquid Fuels,Implied emission factor,CO2,t/TJ,1990,74.03112563430292,
ROU,1.A.1  Energy Industries,Liquid Fuels,Implied emission factor,CO2,t/TJ,2019,67.63967560354426,
