EmissionYear,RegionName,Regioncode,SourceName,Sourcecode,CRT_Category,CRT_Category_Description,Emission,ConvertTo,Pollutant,TES_Sector,TES_Subsector,TES_Category,LegacyIPCCCode,NCFormat
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,2.4726242216784926,GWP CO2_AR5,CH4,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.0,GWP CO2_AR5,CH4,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Business
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,19.3121361030996,GWP CO2_AR5,CO2,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.3155109269373063,GWP CO2_AR5,N2O,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.0,GWP CO2_AR5,N2O,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Business
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.6743520604577701,GWP Carbon_AR5,CH4,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.0,GWP Carbon_AR5,CH4,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Business
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,5.266946209936251,GWP Carbon_AR5,CO2,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.08604843461926537,GWP Carbon_AR5,N2O,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.0,GWP Carbon_AR5,N2O,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Business
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.08830800791708902,kilotonne,CH4,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.0,kilotonne,CH4,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Business
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,5.266946209936251,kilotonne,CO2,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.0011906072714615332,kilotonne,N2O,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Agriculture
1990,Northern Ireland,4,Agriculture - stationary combustion,2,1A4ci,Agriculture/Forestry/Fishing Stationary fuel use,0.0,kilotonne,N2O,Agriculture,Agricultural combustion,Agricultural stationary combustion,1A4ci_Agriculture/Forestry/Fishing:Stationary,Business
1990,Northern Ireland,4,Aircraft - international take off and landing,3,1D1a,International Aviation,0.03906598133265327,GWP CO2_AR5,CH4,International aviation and shipping,International aviation and shipping,International aviation,Aviation_Bunkers,Exports
1990,Northern Ireland,4,Aircraft - international take off and landing,3,1D1a,International Aviation,6.008520328489223,GWP CO2_AR5,CO2,International aviation and shipping,International aviation and shipping,International aviation,Aviation_Bunkers,Exports
1990,Northern Ireland,4,Aircraft - international take off and landing,3,1D1a,International Aviation,0.05055335199928841,GWP CO2_AR5,N2O,International aviation and shipping,International aviation and shipping,International aviation,Aviation_Bunkers,Exports
