key,share
industry_final_demand_for_other_minerals_coal,4.60748030346769E-01
industry_final_demand_for_other_transport_equipment_coal,0.00000000000000E+00
industry_final_demand_for_other_machinery_coal,0.00000000000000E+00
industry_final_demand_for_other_mining_coal,5.19034845590215E-02
industry_final_demand_for_other_food_coal,3.32630561493077E-01
industry_final_demand_for_other_paper_coal,0.00000000000000E+00
industry_final_demand_for_other_wood_products_coal,0.00000000000000E+00
industry_final_demand_for_other_construction_coal,1.84818182113051E-02
industry_final_demand_for_other_textile_coal,0.00000000000000E+00
industry_final_demand_for_other_non_specified_coal,1.36236105389828E-01
