Country,Key,Value,Unit,Year,Source
AT,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,7200,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
BE,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,18000,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
BG,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,16200,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
CY,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
CZ,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,9000,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
DE,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,79200,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
DK,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
EE,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
ES,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,10800,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
FI,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,0,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
FR,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,28800,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
UK,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,25200,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
EL,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,3600,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
HR,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,12600,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
HU,industry_chemicals_fertilizers_steam_methane_reformer_hydrogen,18000,TJ,2018,Clean Hydrogen Monitor 2020 - Figure 7 estimates of hydrogen HHV for ammonia production: https://www.esueno.com/wp-content/uploads/lib010-h2-europe-monitor.pdf
