B8130AB3F36EB92770CCF8C556228D0D
CET,CEST
,van,tot, SPT
01-01-2023 07:00,01-01-2023 06:00,01-01-2023 07:00,-3.181
01-01-2023 08:00,01-01-2023 07:00,01-01-2023 08:00,-3.253
01-01-2023 09:00,01-01-2023 08:00,01-01-2023 09:00,-3.268
01-01-2023 10:00,01-01-2023 09:00,01-01-2023 10:00,-2.992
01-01-2023 11:00,01-01-2023 10:00,01-01-2023 11:00,-2.363
01-01-2023 12:00,01-01-2023 11:00,01-01-2023 12:00,-1.809
01-01-2023 13:00,01-01-2023 12:00,01-01-2023 13:00,-1.558
01-01-2023 14:00,01-01-2023 13:00,01-01-2023 14:00,-1.479
01-01-2023 15:00,01-01-2023 14:00,01-01-2023 15:00,-1.665
01-01-2023 16:00,01-01-2023 15:00,01-01-2023 16:00,-2.095
01-01-2023 17:00,01-01-2023 16:00,01-01-2023 17:00,-2.539
01-01-2023 18:00,01-01-2023 17:00,01-01-2023 18:00,-2.634
01-01-2023 19:00,01-01-2023 18:00,01-01-2023 19:00,-2.752
01-01-2023 20:00,01-01-2023 19:00,01-01-2023 20:00,-2.841
01-01-2023 21:00,01-01-2023 20:00,01-01-2023 21:00,-2.875
01-01-2023 22:00,01-01-2023 21:00,01-01-2023 22:00,-2.951
01-01-2023 23:00,01-01-2023 22:00,01-01-2023 23:00,-2.946
02-01-2023 00:00,01-01-2023 23:00,02-01-2023 00:00,-2.976
02-01-2023 01:00,02-01-2023 00:00,02-01-2023 01:00,-3.156
02-01-2023 02:00,02-01-2023 01:00,02-01-2023 02:00,-3.229
02-01-2023 03:00,02-01-2023 02:00,02-01-2023 03:00,-3.224
02-01-2023 04:00,02-01-2023 03:00,02-01-2023 04:00,-3.322
02-01-2023 05:00,02-01-2023 04:00,02-01-2023 05:00,-3.320
02-01-2023 06:00,02-01-2023 05:00,02-01-2023 06:00,-3.237
02-01-2023 07:00,02-01-2023 06:00,02-01-2023 07:00,-3.275
02-01-2023 08:00,02-01-2023 07:00,02-01-2023 08:00,-3.254
02-01-2023 09:00,02-01-2023 08:00,02-01-2023 09:00,-3.202
02-01-2023 10:00,02-01-2023 09:00,02-01-2023 10:00,-2.898
02-01-2023 11:00,02-01-2023 10:00,02-01-2023 11:00,-2.264
02-01-2023 12:00,02-01-2023 11:00,02-01-2023 12:00,-1.671
02-01-2023 13:00,02-01-2023 12:00,02-01-2023 13:00,-1.300
02-01-2023 14:00,02-01-2023 13:00,02-01-2023 14:00,-1.320
02-01-2023 15:00,02-01-2023 14:00,02-01-2023 15:00,-1.530
02-01-2023 16:00,02-01-2023 15:00,02-01-2023 16:00,-2.008
02-01-2023 17:00,02-01-2023 16:00,02-01-2023 17:00,-2.546
02-01-2023 18:00,02-01-2023 17:00,02-01-2023 18:00,-2.732
02-01-2023 19:00,02-01-2023 18:00,02-01-2023 19:00,-2.848
02-01-2023 20:00,02-01-2023 19:00,02-01-2023 20:00,-2.908
02-01-2023 21:00,02-01-2023 20:00,02-01-2023 21:00,-3.025
02-01-2023 22:00,02-01-2023 21:00,02-01-2023 22:00,-3.074
02-01-2023 23:00,02-01-2023 22:00,02-01-2023 23:00,-3.095
03-01-2023 00:00,02-01-2023 23:00,03-01-2023 00:00,-3.238
03-01-2023 01:00,03-01-2023 00:00,03-01-2023 01:00,-3.255
03-01-2023 02:00,03-01-2023 01:00,03-01-2023 02:00,-3.318
03-01-2023 03:00,03-01-2023 02:00,03-01-2023 03:00,-3.345
03-01-2023 04:00,03-01-2023 03:00,03-01-2023 04:00,-3.401
03-01-2023 05:00,03-01-2023 04:00,03-01-2023 05:00,-3.392
03-01-2023 06:00,03-01-2023 05:00,03-01-2023 06:00,-3.441
03-01-2023 07:00,03-01-2023 06:00,03-01-2023 07:00,-3.523
03-01-2023 08:00,03-01-2023 07:00,03-01-2023 08:00,-3.513
03-01-2023 09:00,03-01-2023 08:00,03-01-2023 09:00,-3.559
03-01-2023 10:00,03-01-2023 09:00,03-01-2023 10:00,-3.270
03-01-2023 11:00,03-01-2023 10:00,03-01-2023 11:00,-2.722
03-01-2023 12:00,03-01-2023 11:00,03-01-2023 12:00,-2.247
03-01-2023 13:00,03-01-2023 12:00,03-01-2023 13:00,-1.971
03-01-2023 14:00,03-01-2023 13:00,03-01-2023 14:00,-1.883
03-01-2023 15:00,03-01-2023 14:00,03-01-2023 15:00,-2.049
03-01-2023 16:00,03-01-2023 15:00,03-01-2023 16:00,-2.476
03-01-2023 17:00,03-01-2023 16:00,03-01-2023 17:00,-2.860
03-01-2023 18:00,03-01-2023 17:00,03-01-2023 18:00,-3.113
03-01-2023 19:00,03-01-2023 18:00,03-01-2023 19:00,-3.286
03-01-2023 20:00,03-01-2023 19:00,03-01-2023 20:00,-3.368
03-01-2023 21:00,03-01-2023 20:00,03-01-2023 21:00,-3.407
03-01-2023 22:00,03-01-2023 21:00,03-01-2023 22:00,-3.458
03-01-2023 23:00,03-01-2023 22:00,03-01-2023 23:00,-3.517
04-01-2023 00:00,03-01-2023 23:00,04-01-2023 00:00,-3.549
04-01-2023 01:00,04-01-2023 00:00,04-01-2023 01:00,-3.640
04-01-2023 02:00,04-01-2023 01:00,04-01-2023 02:00,-3.626
04-01-2023 03:00,04-01-2023 02:00,04-01-2023 03:00,-3.627
04-01-2023 04:00,04-01-2023 03:00,04-01-2023 04:00,-3.696
04-01-2023 05:00,04-01-2023 04:00,04-01-2023 05:00,-3.700
04-01-2023 06:00,04-01-2023 05:00,04-01-2023 06:00,-3.705
04-01-2023 07:00,04-01-2023 06:00,04-01-2023 07:00,-3.661
04-01-2023 08:00,04-01-2023 07:00,04-01-2023 08:00,-3.635
04-01-2023 09:00,04-01-2023 08:00,04-01-2023 09:00,-3.583
04-01-2023 10:00,04-01-2023 09:00,04-01-2023 10:00,-3.250
04-01-2023 11:00,04-01-2023 10:00,04-01-2023 11:00,-2.675
04-01-2023 12:00,04-01-2023 11:00,04-01-2023 12:00,-2.210
04-01-2023 13:00,04-01-2023 12:00,04-01-2023 13:00,-1.926
04-01-2023 14:00,04-01-2023 13:00,04-01-2023 14:00,-1.915
04-01-2023 15:00,04-01-2023 14:00,04-01-2023 15:00,-2.149
04-01-2023 16:00,04-01-2023 15:00,04-01-2023 16:00,-2.457
04-01-2023 17:00,04-01-2023 16:00,04-01-2023 17:00,-2.821
04-01-2023 18:00,04-01-2023 17:00,04-01-2023 18:00,-2.966
04-01-2023 19:00,04-01-2023 18:00,04-01-2023 19:00,-3.029
04-01-2023 20:00,04-01-2023 19:00,04-01-2023 20:00,-3.191
04-01-2023 21:00,04-01-2023 20:00,04-01-2023 21:00,-3.245
04-01-2023 22:00,04-01-2023 21:00,04-01-2023 22:00,-3.326
04-01-2023 23:00,04-01-2023 22:00,04-01-2023 23:00,-3.362
05-01-2023 00:00,04-01-2023 23:00,05-01-2023 00:00,-3.353
05-01-2023 01:00,05-01-2023 00:00,05-01-2023 01:00,-3.398
05-01-2023 02:00,05-01-2023 01:00,05-01-2023 02:00,-3.445
05-01-2023 03:00,05-01-2023 02:00,05-01-2023 03:00,-3.389
05-01-2023 04:00,05-01-2023 03:00,05-01-2023 04:00,-3.410
05-01-2023 05:00,05-01-2023 04:00,05-01-2023 05:00,-3.429
05-01-2023 06:00,05-01-2023 05:00,05-01-2023 06:00,-3.412
05-01-2023 07:00,05-01-2023 06:00,05-01-2023 07:00,-3.468
05-01-2023 08:00,05-01-2023 07:00,05-01-2023 08:00,-3.474
05-01-2023 09:00,05-01-2023 08:00,05-01-2023 09:00,-3.512
05-01-2023 10:00,05-01-2023 09:00,05-01-2023 10:00,-3.202
05-01-2023 11:00,05-01-2023 10:00,05-01-2023 11:00,-2.667
05-01-2023 12:00,05-01-2023 11:00,05-01-2023 12:00,-2.208
05-01-2023 13:00,05-01-2023 12:00,05-01-2023 13:00,-1.947
05-01-2023 14:00,05-01-2023 13:00,05-01-2023 14:00,-1.838
05-01-2023 15:00,05-01-2023 14:00,05-01-2023 15:00,-1.997
05-01-2023 16:00,05-01-2023 15:00,05-01-2023 16:00,-2.384
05-01-2023 17:00,05-01-2023 16:00,05-01-2023 17:00,-2.757
05-01-2023 18:00,05-01-2023 17:00,05-01-2023 18:00,-2.918
05-01-2023 19:00,05-01-2023 18:00,05-01-2023 19:00,-3.038
05-01-2023 20:00,05-01-2023 19:00,05-01-2023 20:00,-3.113
05-01-2023 21:00,05-01-2023 20:00,05-01-2023 21:00,-3.166
05-01-2023 22:00,05-01-2023 21:00,05-01-2023 22:00,-3.187
05-01-2023 23:00,05-01-2023 22:00,05-01-2023 23:00,-3.216
06-01-2023 00:00,05-01-2023 23:00,06-01-2023 00:00,-3.247
06-01-2023 01:00,06-01-2023 00:00,06-01-2023 01:00,-3.167
06-01-2023 02:00,06-01-2023 01:00,06-01-2023 02:00,-3.132
06-01-2023 03:00,06-01-2023 02:00,06-01-2023 03:00,-3.073
06-01-2023 04:00,06-01-2023 03:00,06-01-2023 04:00,-3.091
06-01-2023 05:00,06-01-2023 04:00,06-01-2023 05:00,-3.094
06-01-2023 06:00,06-01-2023 05:00,06-01-2023 06:00,-3.107
06-01-2023 07:00,06-01-2023 06:00,06-01-2023 07:00,-3.085
06-01-2023 08:00,06-01-2023 07:00,06-01-2023 08:00,-3.139
06-01-2023 09:00,06-01-2023 08:00,06-01-2023 09:00,-3.100
06-01-2023 10:00,06-01-2023 09:00,06-01-2023 10:00,-2.720
06-01-2023 11:00,06-01-2023 10:00,06-01-2023 11:00,-2.084
06-01-2023 12:00,06-01-2023 11:00,06-01-2023 12:00,-1.576
06-01-2023 13:00,06-01-2023 12:00,06-01-2023 13:00,-1.176
06-01-2023 14:00,06-01-2023 13:00,06-01-2023 14:00,-1.149
06-01-2023 15:00,06-01-2023 14:00,06-01-2023 15:00,-1.374
06-01-2023 16:00,06-01-2023 15:00,06-01-2023 16:00,-1.817
