,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,9.47787682556346E+04,-,8.25963000000000E+03,8.04313573836362E+05,1.69074084596077E+06,5.62950680687522E+03,4.20751210000000E+05,8.21160180000000E+05,1.34833101061800E+03
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,6.71542000000000E+03,-,0.00000000000000E+00,5.82091680000000E+05,2.63397926000000E+06,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
