utc_timestamp,cet_cest_timestamp,interpolated_values,BE_solar_generation_actual
2016-01-01T00:00:00Z,2016-01-01T01:00:00+0100,,0
2016-01-01T01:00:00Z,2016-01-01T02:00:00+0100,,0
2016-01-01T02:00:00Z,2016-01-01T03:00:00+0100,,0
2016-01-01T03:00:00Z,2016-01-01T04:00:00+0100,,0
2016-01-01T04:00:00Z,2016-01-01T05:00:00+0100,,0
2016-01-01T05:00:00Z,2016-01-01T06:00:00+0100,,0
2016-01-01T06:00:00Z,2016-01-01T07:00:00+0100,,0
2016-01-01T07:00:00Z,2016-01-01T08:00:00+0100,,0.24
2016-01-01T08:00:00Z,2016-01-01T09:00:00+0100,,120.54
2016-01-01T09:00:00Z,2016-01-01T10:00:00+0100,,324.98
2016-01-01T10:00:00Z,2016-01-01T11:00:00+0100,,559.09
2016-01-01T11:00:00Z,2016-01-01T12:00:00+0100,,551.73
2016-01-01T12:00:00Z,2016-01-01T13:00:00+0100,,431.87
2016-01-01T13:00:00Z,2016-01-01T14:00:00+0100,,222.87
2016-01-01T14:00:00Z,2016-01-01T15:00:00+0100,,91.82
2016-01-01T15:00:00Z,2016-01-01T16:00:00+0100,,8.77
2016-01-01T16:00:00Z,2016-01-01T17:00:00+0100,,0
2016-01-01T17:00:00Z,2016-01-01T18:00:00+0100,,0
2016-01-01T18:00:00Z,2016-01-01T19:00:00+0100,,0
2016-01-01T19:00:00Z,2016-01-01T20:00:00+0100,,0
2016-01-01T20:00:00Z,2016-01-01T21:00:00+0100,,0
2016-01-01T21:00:00Z,2016-01-01T22:00:00+0100,,0
2016-01-01T22:00:00Z,2016-01-01T23:00:00+0100,GB_load_entsoe_power_statistics | IE_load_entsoe_power_statistics | IS_load_entsoe_power_statistics | PT_load_entsoe_power_statistics,0
2016-01-01T23:00:00Z,2016-01-02T00:00:00+0100,,0
2016-01-02T00:00:00Z,2016-01-02T01:00:00+0100,,0
2016-01-02T01:00:00Z,2016-01-02T02:00:00+0100,,0
2016-01-02T02:00:00Z,2016-01-02T03:00:00+0100,,0
2016-01-02T03:00:00Z,2016-01-02T04:00:00+0100,,0
2016-01-02T04:00:00Z,2016-01-02T05:00:00+0100,,0
2016-01-02T05:00:00Z,2016-01-02T06:00:00+0100,,0
2016-01-02T06:00:00Z,2016-01-02T07:00:00+0100,,0
2016-01-02T07:00:00Z,2016-01-02T08:00:00+0100,,0
2016-01-02T08:00:00Z,2016-01-02T09:00:00+0100,,27.51
2016-01-02T09:00:00Z,2016-01-02T10:00:00+0100,,177.57
2016-01-02T10:00:00Z,2016-01-02T11:00:00+0100,,423.71
2016-01-02T11:00:00Z,2016-01-02T12:00:00+0100,,588.3
2016-01-02T12:00:00Z,2016-01-02T13:00:00+0100,,478.15
2016-01-02T13:00:00Z,2016-01-02T14:00:00+0100,,190.9
2016-01-02T14:00:00Z,2016-01-02T15:00:00+0100,,57.38
2016-01-02T15:00:00Z,2016-01-02T16:00:00+0100,,3.22
2016-01-02T16:00:00Z,2016-01-02T17:00:00+0100,,0
2016-01-02T17:00:00Z,2016-01-02T18:00:00+0100,,0
2016-01-02T18:00:00Z,2016-01-02T19:00:00+0100,,0
2016-01-02T19:00:00Z,2016-01-02T20:00:00+0100,,0
2016-01-02T20:00:00Z,2016-01-02T21:00:00+0100,,0
2016-01-02T21:00:00Z,2016-01-02T22:00:00+0100,,0
2016-01-02T22:00:00Z,2016-01-02T23:00:00+0100,,0
2016-01-02T23:00:00Z,2016-01-03T00:00:00+0100,,0
2016-01-03T00:00:00Z,2016-01-03T01:00:00+0100,,0
2016-01-03T01:00:00Z,2016-01-03T02:00:00+0100,,0
2016-01-03T02:00:00Z,2016-01-03T03:00:00+0100,,0
2016-01-03T03:00:00Z,2016-01-03T04:00:00+0100,,0
2016-01-03T04:00:00Z,2016-01-03T05:00:00+0100,,0
