,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption incl. refineries,,,,,,,,,
Chemical and petrochemical,8.19245640881525E+03,-,2.16838500000000E+03,1.35946584075518E+05,2.21625317272106E+05,2.50084285450568E+02,4.99474150000000E+04,1.47541955000000E+05,5.12803676827331E+02
Total non-energetic final consumption incl. refineries,,,,,,,,,
   Memo: Feedstock use in petrochemical industry,8.44185000000000E+02,-,0.00000000000000E+00,5.51529300000000E+04,4.55578585000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
