utc_timestamp,cet_cest_timestamp,interpolated_values,DK_load_entsoe_power_statistics,DK_load_entsoe_transparency,DK_solar_generation_actual,DK_wind_offshore_generation_actual,DK_wind_onshore_generation_actual,DK_1_load_entsoe_power_statistics,DK_1_price_day_ahead,DK_1_solar_generation_actual,DK_1_wind_generation_actual,DK_2_price_day_ahead,DK_2_solar_generation_actual,DK_2_wind_generation_actual
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,3209,3210.98,0,976.7,1487.8,,18.29,0,1832.1,18.29,0,632.4
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,,3075,3100.02,0,903.3,1448.4,,16.04,0,1766.6,16.04,0,585.1
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,,2935,2980.39,0,831.6,1549.4,,14.6,0,1885.5,14.6,0,495.5
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,,2871,2933.49,0.01,915.8,1709.8,,14.95,0,2133.6,14.95,0,492
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,,2898,2941.54,0.01,1055.9,2078.3,,14.5,0,2543.6,14.5,0,590.6
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,,3020,2999.89,0.01,1067.5,2243.7,,10.76,0,2656.9,10.76,0,654.3
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,,3152,3176.8,0.01,1140,2415.9,,12.01,0,2896.2,12.01,0,659.6
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,,3262,3292.27,0.03,1161.8,2597.4,,12.39,0,3059.1,12.39,0,700.1
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,,3465,3378.64,1.5,1189.5,2717.6,,14.04,1,3157.6,14.04,1,749.5
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,,3594,3562.9,6.18,1163.4,2770.2,,14.68,2,3184.2,14.68,4,749.4
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,,3761,3736.05,8.42,1152.2,2816.3,,16.08,4,3183.3,16.08,4,785.1
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,,3835,3837.81,8.23,1105.6,2831.9,,16.08,5,3171.2,16.08,3,766.3
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,,3868,3878.28,6.17,1130.6,2761.8,,16.05,4,3068.5,25.42,2,823.9
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,,3887,3856.4,2.2,1035.7,2612,,16.04,1,2903.3,26.78,1,744.4
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,,4001,3985.15,0.19,1023.3,2559.5,,16.1,0,2886.7,27.51,0,696.2
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,,4254,4262.07,0.01,1067.9,2624.7,,23.93,0,2985,28.32,0,707.7
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,,4510,4495.76,0.01,1168.1,2724.3,,26.9,0,3128.7,28.36,0,763.6
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,,4453,4491.8,0.01,1204.7,2901.8,,26.36,0,3285.9,28.18,0,820.6
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,,4235,4290.82,0.01,1215.5,3071.5,,23.98,0,3430.7,27.81,0,856.3
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,,4028,4047.51,0,1215.3,3177.1,,16.09,0,3515.7,16.09,0,876.7
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,,3852,3857.01,0,1223.8,3214.2,,14.08,0,3539.9,14.08,0,898.2
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,,3617,3588.33,0,1224.3,3231.8,,12.44,0,3553.9,12.44,0,902.2
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,,3552,3412.59,0,1223.4,3189.7,,0.04,0,3519.9,0.04,0,893.1
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,,3344,3212.1,0,845.4,3138.9,,-12.11,0,3086.3,-12.11,0,898
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,,3191,2996.22,0,654.7,2662.6,,-19.63,0,2426.4,-19.63,0,890.9
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,,3151,2942.88,0,649.6,2647.8,,-19.37,0,2395.8,-19.37,0,901.7
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,,3157,2944.18,0,646.6,2635.6,,-31.41,0,2374.7,-31.41,0,907.5
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,,3184,3019.46,0.01,643,2610.6,,-31.41,0,2347.6,-31.41,0,906
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,,3286,3104.17,0.01,795.5,2733.8,,-13.48,0,2596.2,-13.48,0,933
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,,3627,3523.94,0.01,1216.2,3138.9,,0.08,0,3412,0.08,0,943.1
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,EE_solar_generation_actual | EE_wind_onshore_generation_actual,3974,3868.58,0.01,1220.6,3187.2,,10.06,0,3469.9,28.37,0,937.9
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,EE_solar_generation_actual | EE_wind_onshore_generation_actual,4304,4190.57,0.06,1215.2,3196.3,,14.25,0,3478.3,28.37,0,933.2
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,,4486,4337.33,4.76,1207.7,3204.3,,14.56,3,3469.8,28.32,2,942.2
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,,4589,4515.6,29.04,1205.3,3154.7,,14.64,22,3418.4,28.3,8,941.5
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,,4551,4523.41,70.3,1194.3,3139,,15.08,50,3404.7,28.39,20,928.6
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,,4469,4474.24,77.66,1127.5,3134.8,,15.41,53,3407.2,28.3,21,855
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,,4448,4449.32,68.74,1145.5,3126.4,,14.52,43,3373.5,28.24,23,898.3
