Key,Value,Source
country,nl,
base_year,2014,
detailed_analysis,yes,
fertilizers_energetic_final_demand_coal,0,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
fertilizers_energetic_final_demand_network_gas,26500,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
fertilizers_energetic_final_demand_crude_oil,0,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
fertilizers_energetic_final_demand_wood_pellets,0,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
fertilizers_energetic_final_demand_heat,0,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
fertilizers_energetic_final_demand_electricity,2500,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
fertilizers_non_energetic_final_demand_coal,0,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
fertilizers_non_energetic_final_demand_network_gas,66500,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
fertilizers_non_energetic_final_demand_crude_oil,0,CBS (http://statline.cbs.nl/Statweb/publication/?DM=SLNL&PA=83141NED&D1=0-2&D2=a&D3=44&D4=2&HDR=T&STB=G3;G2;G1&VW=T)
