Year,Coal,Lignite,Natural gas,Crude oil,Uranium oxide,Bio-residues
2.01000000000000E+03,4.08262149800000E+05,7.67310879600000E+05,1.27999601000000E+06,1.41686962000000E+06,1.10581355500000E+06,5.92066049700000E+04
2.01100000000000E+03,3.90043554900000E+05,7.72495412500000E+05,1.25164856900000E+06,1.38259051600000E+06,1.05315576700000E+06,6.05262172600000E+04
2.01200000000000E+03,3.39528359900000E+05,7.98418077400000E+05,1.22330112700000E+06,1.34831141200000E+06,1.00049797800000E+06,6.18458295600000E+04
2.01300000000000E+03,3.05575523900000E+05,8.13971676300000E+05,1.19495368600000E+06,1.32545867600000E+06,9.55362731100000E+05,6.32534160100000E+04
2.01400000000000E+03,2.72450805900000E+05,8.34709808200000E+05,1.16660624400000E+06,1.29117957300000E+06,9.02704942800000E+05,6.45730283000000E+04
2.01500000000000E+03,2.39326087800000E+05,8.50263407100000E+05,1.13825880300000E+06,1.25690046900000E+06,8.57569695700000E+05,6.58926406000000E+04
2.01600000000000E+03,1.85498421000000E+05,8.55447940100000E+05,1.11863365100000E+06,1.22262136500000E+06,7.40970307200000E+05,6.73002270500000E+04
2.01700000000000E+03,1.34983226000000E+05,8.55447940100000E+05,1.09900849900000E+06,1.18834226200000E+06,6.27379935200000E+05,6.87078134900000E+04
2.01800000000000E+03,5.82995037500000E+04,8.76186071900000E+05,1.08156392000000E+06,1.16548952600000E+06,5.14541817400000E+05,7.01153999400000E+04
2.01900000000000E+03,0.00000000000000E+00,8.86555137900000E+05,1.06193876800000E+06,1.12892514900000E+06,4.00951445400000E+05,7.15229863900000E+04
2.02000000000000E+03,0.00000000000000E+00,8.55447940100000E+05,1.04231361600000E+06,1.09693131800000E+06,2.87361073500000E+05,7.29305728400000E+04
2.02100000000000E+03,0.00000000000000E+00,8.55447940100000E+05,1.02268846500000E+06,8.77545054700000E+05,2.25676235700000E+05,7.39862626700000E+04
2.02200000000000E+03,0.00000000000000E+00,8.50263407100000E+05,1.00524388500000E+06,6.58158791000000E+05,1.50450823800000E+05,7.50419525100000E+04
2.02300000000000E+03,0.00000000000000E+00,8.50263407100000E+05,9.85618733400000E+05,4.38772527400000E+05,7.52254119000000E+04,7.61856165000000E+04
2.02400000000000E+03,0.00000000000000E+00,8.50263407100000E+05,9.68174154000000E+05,2.19386263700000E+05,0.00000000000000E+00,7.72413063300000E+04
