FLOW,Total net production,Total energy industry,  Coal mines,  Oil and gas extraction,  Patent fuel plants,  Coke ovens,  BKB plants,  Gas works,  Blast furnaces,  Oil refineries,  Coal liquefaction plants,  Liquefaction (LNG) / regasification plants,  Gasification plants for biogases,  Gas-to-liquids (GTL) plants,  Charcoal production plants,  Not elsewhere specified - energy,Total industry,  Iron and steel,  Chemical and petrochemical,  Non-ferrous metals,  Non-metallic minerals,  Transport equipment,  Machinery,  Mining and quarrying,  Food and tobacco,"  Paper, pulp, and printing",  Wood and wood products,  Construction,  Textile and leather,  Not elsewhere specified - industry,Total transport,  Rail,  Pipeline transport,  Not elsewhere specified - transport,Other,  Commercial and public service,  Residential,  Agriculture,  Fishing,  Not elsewhere specified - other
PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoproducer electricity plants,2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,88,365,0,0,0,0,0,0,0,13,2,0,2,0,0,0,0,1825,668,177,980,0,0
Autoproducer CHP plants,21134,1962,0,31,0,0,0,0,0,1931,0,0,0,0,0,0,4203,260,1673,0,24,0,0,88,1271,862,6,0,19,0,0,0,0,0,14969,4024,0,10945,0,0
Autoproducer heat plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Total autoproducer plants,23429,1962,0,31,0,0,0,0,0,1931,0,0,0,0,0,0,4673,348,2038,0,24,0,0,88,1271,862,19,2,19,2,0,0,0,0,16794,4692,177,11925,0,0
Autoproducer electricity plants,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Autoproducer CHP plants,29039,7080,0,0,0,0,0,0,0,7080,0,0,0,0,0,0,6189,0,4159,0,0,0,0,0,720,1310,0,0,0,0,0,0,0,0,15770,15770,0,0,0,0
Autoproducer heat plants,5471,3470,0,0,0,0,0,0,0,3470,0,0,0,0,0,0,2001,0,1051,0,0,0,0,0,200,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total autoproducer plants,34510,10550,0,0,0,0,0,0,0,10550,0,0,0,0,0,0,8190,0,5210,0,0,0,0,0,920,2060,0,0,0,0,0,0,0,0,15770,15770,0,0,0,0
