PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. bio,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. bio,Other Kerosene,Gas/diesel oil excl. bio,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2405569.02,x,47439.71,15663.99,0,11681.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35568.16,27946.64,45827.21,12451.63,c,43549,0,0,0,0,0,42716.79,374.47,494.92,914.56,1068.81,0,17938.43,529.3,0,0,2709733.89,158187.18
Imports,x,x,7500.82,116863.01,494161.56,0,759.99,29.31,4588.48,0,3812.92,0,0,0,0,0,0,782547.25,x,2127869.09,343639.98,0,55693.27,0,0,0,101383.99,526371.99,44,0,113778.01,9331,802754.38,1328280.01,764807.99,32176.81,45906,14274.02,3960,0,66759.99,0,5504.93,4325.17,18940.37,0,5480.98,0,0,0,1919.98,0,0,0,0,0,0,0,0,0,0,115782.44,0,7899247.74,31846.27
Exports,x,x,-5654.9,-688.1,-333249.39,0,0,-29.31,-142.52,0,-670.39,0,0,0,0,0,0,-1812064.16,x,-20752.21,-748.01,0,-59210.19,0,0,0,-72450.02,-855491.98,-2244,0,-249098.98,-18704.99,-1271269.19,-1127599.99,-535259.98,-24459.62,-66696.02,-18447,-5200.01,0,-61679.98,0,-1286.77,-1011.82,-8515.37,0,c,-32707.99,0,0,-1830.01,0,0,0,0,0,0,0,0,0,0,-54175.35,0,-6641338.25,-44340.14
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-66754.21,-493479.99,0,0,-1554.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-561788.22,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-141427.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-141427.01,0
Stock changes,x,x,556.72,2523.05,50511.77,0,39.98,0,2308.52,0,41.91,0,0,0,0,0,0,-3565.69,x,11571.69,-3123.98,0,-276.33,0,0,0,-873.99,-8315.99,88.01,0,43,1633.98,-15591.6,-9760.02,-1188,566.81,1386,-350.98,-80.01,0,-359.98,0,0,0,0,0,-270.01,-2034.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25479.86,-2305
Total primary energy supply,x,x,2402.6,118697.96,211423.98,0,800.01,0,6754.48,0,3184.4,0,0,0,0,0,0,1372486.46,x,2166128.32,355431.98,0,7887.97,0,0,0,28060.02,-337435.98,-2111.99,0,-276704.98,-7740.01,-550860.58,-302559.98,228360,8284,-20957.99,-4524,-1320.01,0,4719.99,0,39786.36,31259.99,56252.17,12451.63,5211.02,8806.01,0,0,90.02,0,0,42716.79,374.47,494.92,914.56,1068.81,0,17938.43,529.3,61607.09,0,3289908.18,143388.4
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-5764.51,5808.01,-33996.82,-6003.91,0,14404.52,0,11040.01,203895.99,0,0,-2967.02,-11137.01,-255.6,-42120,-117039.98,43.58,2184,-78,80.01,0,-5159.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12933.28,0
Statistical differences,x,x,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,7655.98,-9816.58,0,0,1188,0,-13570,-88.01,0,0,0,3569,-255.6,0,-10603.99,1089.99,-1302.01,78,0,0,280.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21773.83,0
