,,BIODIESEL,BIOMASS,BIOMASS GASIFICATION,COAL,COMPRESSED AIR,HYDROGEN,NATURAL GAS,OIL,OTHER,OTHER GAS,SOLAR,STEAM,URANIUM,WASTE,WASTE GAS,WATER,WIND
Power,Other,,0,0,0,,,0,0,500,0,,0,0,0,,55,0
,Combined Cycle,,,,600,,,3046,,,359,,,,,,,
,Fuel Cell Electroche,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,,,0,,,,2000,,14.43,,,,,,,
,Geothermal Steam Tur,,,,,,,,,,,,,,,,,
,Hydro,,,,,,,,,,,,,,,,20544.28,
,Internal Combustion,,,,,,,,156,,2.66,,,,,,,
,Nuclear,,,,,,,,,,,,,67352,,,,
,Pumped Storage,,,,,,,,,,,,,,,,5469.92,
,Solar,,,,,,,,,,,2589.52,,,,,,
,Steam Turbine,,117.24,,6241,,,1360,5236,,15.96,,,,138.06,,,
,Wind Turbine,,,,,,,,,,,,,,,,,5209.18
,,,,,,,,,,,,,,,,,,
CHP,Other,,16.9,12,,,,4.98,0,,,,,,,,,
,Combined Cycle,,,,,,,1060,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Gas Combustion Turbi,,,4,5.5,,,1819.15,,,,,,,,,,
,Geothermal Steam Tur,,,,,,,,,,,,1.5,,,,,
,,,,,,,,,,,,,,,,,,
,Internal Combustion,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Steam Turbine,,80.78,,,,,121.17,,,,,,,18.17,,,
,,,,,,,,,,,,,,,,,,
