# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   FH,    T
# 
  260,19870101,    1,   36,   61
  260,19870101,    2,   31,   55
  260,19870101,    3,   31,   51
  260,19870101,    4,   15,   45
  260,19870101,    5,   10,   43
  260,19870101,    6,   10,   42
  260,19870101,    7,    5,   39
  260,19870101,    8,    5,   39
  260,19870101,    9,   10,   44
  260,19870101,   10,   15,   44
  260,19870101,   11,   26,   41
  260,19870101,   12,   36,   39
  260,19870101,   13,   41,   38
  260,19870101,   14,   46,   38
  260,19870101,   15,   41,   37
  260,19870101,   16,   46,   37
  260,19870101,   17,   41,   41
  260,19870101,   18,   31,   46
  260,19870101,   19,   31,   49
  260,19870101,   20,   15,   51
  260,19870101,   21,   15,   63
  260,19870101,   22,   41,   80
  260,19870101,   23,   57,   80
  260,19870101,   24,   62,   73
  260,19870102,    1,   62,   69
  260,19870102,    2,   72,   68
  260,19870102,    3,   62,   71
  260,19870102,    4,   62,   67
  260,19870102,    5,   62,   66
  260,19870102,    6,   62,   70
  260,19870102,    7,   57,   70
  260,19870102,    8,   51,   68
  260,19870102,    9,   51,   67
  260,19870102,   10,   46,   67
  260,19870102,   11,   46,   64
  260,19870102,   12,   41,   65
  260,19870102,   13,   41,   30
  260,19870102,   14,   51,   17
  260,19870102,   15,   57,    4
  260,19870102,   16,   67,    0
  260,19870102,   17,   72,   -3
  260,19870102,   18,   77,   -8
  260,19870102,   19,   77,  -10
  260,19870102,   20,   72,  -15
  260,19870102,   21,   62,  -20
  260,19870102,   22,   57,  -23
  260,19870102,   23,   57,  -27
  260,19870102,   24,   57,  -29
  260,19870103,    1,   62,  -30
  260,19870103,    2,   51,  -29
  260,19870103,    3,   31,  -30
  260,19870103,    4,   21,  -34
  260,19870103,    5,   15,  -43
  260,19870103,    6,   15,  -45
  260,19870103,    7,   10,  -50
  260,19870103,    8,    5,  -50
