Key,Value,Source
country,de,
base_year,2012,
pp_share_coal_us,0.41,Optimized to match fuel use
pp_share_coal_us_ccs,0,No CCS in place
pp_share_coal_cc,0,No IGCC in place
pp_share_coal_cc_ccs,0,No CCS in place
pp_share_lignite_us,1,No CCS in place
pp_share_lignite_us_ccs,0,
pp_share_gas_turbine,0.04,Optimzed to match fuel use
pp_share_gas_cc,0.8,Optimzed to match fuel use
pp_share_gas_cc_ccs,0,No CCS in place
pp_share_gas_engine,0.05,Optimzed to match fuel use
pp_share_gas_us,0.11,Optimzed to match fuel use
pp_share_nuclear_2,1,
pp_share_nuclear_3,0,No 3rd generation nuclear plants yet
pp_share_hydro_river,0.216458168971683,Estimate based on Ecofys analysis
pp_share_hydro_mountain,0.783541831028317,Estimate based on Ecofys analysis
pp_share_wind_coastal,0.104,Wind on and offshore I.xlsx
pp_share_wind_offshore,0.013,Wind on and offshore I.xlsx
pp_share_wind_inland,0.883,Wind on and offshore I.xlsx
pp_flh_coal_us_co,4050,Optimized to match BNA list of German power plants: see source analysis
pp_flh_coal_supercritical,3600,Optimized to match BNA list of German power plants: see source analysis
pp_flh_coal_us,5000,Optimized to match BNA list of German power plants: see source analysis
pp_flh_coal_us_ccs,6000,Not relevant
pp_flh_coal_cc,4600,Not relevant
pp_flh_coal_cc_ccs,4500,Not relevant
pp_flh_lignite_us,6500,Optimized to match BNA list of German power plants: see source analysis
pp_flh_lignite_us_ccs,7000,Not relevant
pp_flh_gas_turbine,375,Optimized to match BNA list of German power plants: see source analysis
pp_flh_gas_cc,4400,Optimized to match BNA list of German power plants: see source analysis
pp_flh_gas_cc_ccs,4000,Not relevant
pp_flh_gas_engine,4500,Optimized to match BNA list of German power plants: see source analysis
pp_flh_gas_us,700,Optimized to match BNA list of German power plants: see source analysis
pp_flh_nuclear_2,7875,Optimized to match BNA list of German power plants: see source analysis
pp_flh_nuclear_3,8000,Not relevant
pp_flh_hydro_river,1279,Optimized based on Ecofys production estimate and BNA power plant list
pp_flh_hydro_mountain,2046,Optimized based on Ecofys production estimate and BNA power plant list. This contains pumped storage too; which has lower FLH than conventional Speicherwasser
pp_flh_solar_pv,894,See source_analyses/eu/2012/2_power_and_heat_plant/solar_source_analysis.xlsx
pp_flh_residential_solar_pv,894,See source_analyses/eu/2012/2_power_and_heat_plant/solar_source_analysis.xlsx
pp_flh_caps_solar_pv,894,See source_analyses/eu/2012/2_power_and_heat_plant/solar_source_analysis.xlsx
pp_flh_solar_csp,894,See source_analyses/eu/2012/2_power_and_heat_plant/solar_source_analysis.xlsx
pp_flh_wind_coastal,2400,Wind on and offshore I.xlsx
pp_flh_wind_offshore,3500,Wind on and offshore I.xlsx
pp_flh_wind_inland,1658,Wind on and offshore I.xlsx
pp_flh_oil_us,3550,Optimized to match BNA list of German power plants: see source analysis
pp_flh_diesel,7900,Optimized to match BNA list of German power plants: see source analysis
pp_flh_waste,7550,Optimized to match BNA list of German power plants: see source analysis
pp_flh_geothermal,3200,Optimized to match BNA list of German power plants: see source analysis
pp_flh_hydrogen_turbine,500,no hydrogen electricity production
pp_demand_hydrogen_turbine,0,no hydrogen electricity production
pp_demand_hydrogen_smr,0,no hydrogen production
pp_demand_hydrogen_smr_ccs,0,no hydrogen production
pp_flh_hydrogen_smr,7500,
pp_flh_hydrogen_smr_ccs,7500,
pp_demand_hydrogen_biomass_gasification,0,no hydrogen production
pp_demand_hydrogen_biomass_gasification_ccs,0,no hydrogen production
pp_flh_hydrogen_biomass_gasification,7884,
pp_flh_hydrogen_biomass_gasification_ccs,7884,
pp_demand_hydrogen_offshore_wind,0,no hydrogen electricity production
pp_demand_hydrogen_offshore_wind_p2g,0,no hydrogen electricity production
pp_flh_hydrogen_offshore_wind,3500,same as offshore wind
pp_flh_hydrogen_offshore_wind_p2g,3500,ASSUMPTION: equal to offshore wind
pp_demand_hydrogen_solar_pv,0,no hydrogen production
pp_demand_hydrogen_solar_pv_p2g,0,no hydrogen production
pp_flh_hydrogen_solar_pv,894,same as central solar
pp_flh_hydrogen_solar_pv_p2g,1791.61504958,see source_analysis: nl/2015/energy/power_and_heat_plant_analysis/hydrogen_solar_pv_p2g
pp_share_solar_pv_p2g,0.921752859316,see source_analysis: nl/2015/energy/power_and_heat_plant_analysis/hydrogen_solar_pv_p2g
pp_share_solar_pv_curtailed,0.078247140684,see source_analysis: nl/2015/energy/power_and_heat_plant_analysis/hydrogen_solar_pv_p2g
