nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,2484665.276,0.0,356175.266,1102781.341,0.0,397998.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41333.97,0.0,0.0,891.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143467.244,7050.298,0.0,54384.332,2558.423,3008.736,1050.398,259932.674,0.0,12498.053,4271.453,5445.549,0.0,35533.431,0.0,0.0,0.0,83.547,10681.037,28436.507,16143.686,0.0,939.322,0.0
Recovered and recycled products,13421.625,0.0,0.0,11036.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2385.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,2651376.937,6328.283,101970.159,304429.412,0.0,2290.905,519.912,5280.66,0.0,28.969,716.837,0.0,0.0,0.0,0.0,0.0,0.0,1131355.346,0.0,14339.39,3214.878,0.0,0.0,0.0,120188.8,17088.673,23.804,0.0,1009.425,10.32,0.0,193328.903,642.913,1640.624,10643.052,7537.764,1823.2,3180.45,7907.743,605689.346,0.0,0.0,0.0,0.0,0.0,0.0,30011.451,0.0,0.0,0.0,1671.435,678.78,11547.959,1951.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64325.977
Exports,637151.481,0.0,76323.84,46902.236,0.0,1165.376,595.196,172959.024,0.0,13147.08,16.917,0.0,0.0,0.0,0.0,0.0,0.0,9996.352,0.0,0.0,0.0,0.0,0.0,0.0,22036.898,10590.255,1385.736,0.0,10857.844,0.0,23818.256,2528.185,93348.885,2267.505,16477.44,18398.835,435.648,519.036,14495.117,46045.007,0.0,0.0,0.0,0.0,0.0,0.0,13768.27,0.0,0.0,0.0,21.33,0.0,12967.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26083.267
Change in stock,-176965.346,267.676,-15595.893,-121565.474,0.0,-94.765,135.73,-5977.051,0.0,-87.397,1.271,0.0,0.0,0.0,0.0,0.0,0.0,-3223.695,0.0,-2000.047,-770.362,0.0,0.0,0.0,40.204,-1637.182,46.948,0.0,-661.813,-1.806,0.0,-2262.359,1113.026,-583.237,10.164,144.417,-94.912,161.574,270.957,-23681.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.202,0.0,-988.603,0.0,0.0,0.0,0.551,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,4335347.012,6595.959,366225.691,1249779.488,0.0,399029.158,60.446,-173655.415,0.0,-13205.508,701.19,0.0,0.0,0.0,0.0,0.0,0.0,1159469.27,0.0,12339.343,3336.132,0.0,0.0,0.0,98192.106,4861.236,-1314.984,0.0,-10510.232,8.514,-23818.256,188538.359,-91592.946,-1210.118,-3439.044,-10716.654,1292.64,2822.988,-6316.417,679430.115,7050.298,0.0,54384.332,2558.423,3008.736,1050.398,276175.855,0.0,12498.053,4271.453,7163.856,678.78,33124.842,1951.565,0.0,0.0,84.098,10681.037,28436.507,16143.686,0.0,939.322,38242.71
International maritime bunkers,11550.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8254.71,3295.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,4323796.363,6595.959,366225.691,1249779.488,0.0,399029.158,60.446,-173655.415,0.0,-13205.508,701.19,0.0,0.0,0.0,0.0,0.0,0.0,1159469.27,0.0,12339.343,3336.132,0.0,0.0,0.0,98192.106,4861.236,-1314.984,0.0,-10510.232,8.514,-23818.256,180283.649,-94888.884,-1210.118,-3439.044,-10716.654,1292.64,2822.988,-6316.417,679430.115,7050.298,0.0,54384.332,2558.423,3008.736,1050.398,276175.855,0.0,12498.053,4271.453,7163.856,678.78,33124.842,1951.565,0.0,0.0,84.098,10681.037,28436.507,16143.686,0.0,939.322,38242.71
International aviation,45054.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.672,0.0,45052.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,4278741.699,6595.959,366225.691,1249779.488,0.0,399029.158,60.446,-173655.415,0.0,-13205.508,701.19,0.0,0.0,0.0,0.0,0.0,0.0,1159469.27,0.0,12339.343,3336.132,0.0,0.0,0.0,98192.106,4861.236,-1316.656,0.0,-55563.224,8.514,-23818.256,180283.649,-94888.884,-1210.118,-3439.044,-10716.654,1292.64,2822.988,-6316.417,679430.115,7050.298,0.0,54384.332,2558.423,3008.736,1050.398,276175.855,0.0,12498.053,4271.453,7163.856,678.78,33124.842,1951.565,0.0,0.0,84.098,10681.037,28436.507,16143.686,0.0,939.322,38242.71
