nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,141583.867,0.0,0.0,0.0,0.0,37317.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.354,10.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.958,16125.826,0.0,22.14,1090.94,443.298,620.89,22932.039,0.0,929.681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.078,2597.206,0.0,57576.874,0.0,0.0
Recovered and recycled products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,283159.497,0.0,0.0,285.48,7768.688,0.0,0.0,910.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4751.393,28547.797,20.554,0.0,13455.515,2.593,0.0,139711.471,12407.213,86.895,2786.002,3063.78,2289.833,0.0,196.792,30624.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.42,3596.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32476.583
Exports,132280.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.739,10.31,0.0,0.0,0.0,0.0,0.0,318.436,11411.963,0.0,0.0,11519.639,0.0,0.0,68485.72,5637.008,2.161,1064.709,0.0,95.212,0.0,28.526,71.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33623.384
Change in stock,-2953.865,0.0,0.0,12.278,-1418.299,-231.453,0.0,-4.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,-0.535,0.0,0.0,0.0,0.0,0.0,-102.784,147.424,0.0,0.0,-784.504,0.735,0.0,-779.878,0.0,0.994,-57.1,0.0,6.478,0.0,2.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,289509.221,0.0,0.0,297.758,6350.389,37086.285,0.0,906.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4330.174,17283.258,20.554,0.0,1151.372,3.327,0.0,70445.873,6770.205,85.729,1664.193,3063.78,2201.099,0.0,170.272,30798.713,16125.826,0.0,22.14,1090.94,443.298,620.89,22932.039,0.0,929.681,0.0,0.0,177.42,3851.541,0.0,0.0,0.0,0.0,1659.078,2597.206,0.0,57576.874,0.0,-1146.802
International maritime bunkers,7973.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.45,6770.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,281535.566,0.0,0.0,297.758,6350.389,37086.285,0.0,906.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4330.174,17283.258,20.554,0.0,1151.372,3.327,0.0,69242.423,0.0,85.729,1664.193,3063.78,2201.099,0.0,170.272,30798.713,16125.826,0.0,22.14,1090.94,443.298,620.89,22932.039,0.0,929.681,0.0,0.0,177.42,3851.541,0.0,0.0,0.0,0.0,1659.078,2597.206,0.0,57576.874,0.0,-1146.802
International aviation,1151.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,280384.194,0.0,0.0,297.758,6350.389,37086.285,0.0,906.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4330.174,17283.258,20.554,0.0,0.0,3.327,0.0,69242.423,0.0,85.729,1664.193,3063.78,2201.099,0.0,170.272,30798.713,16125.826,0.0,22.14,1090.94,443.298,620.89,22932.039,0.0,929.681,0.0,0.0,177.42,3851.541,0.0,0.0,0.0,0.0,1659.078,2597.206,0.0,57576.874,0.0,-1146.802
