nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,118412.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7587.194,0.0,554.396,11.293,2.736,0.0,102785.328,0.0,3376.039,257.223,23.236,0.0,3192.457,0.0,0.0,0.0,0.0,42.5,107.58,395.109,0.0,0.0,0.0
Recovered and recycled products,314.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.234,0.0,0.0,0.0,42.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,179642.955,7.05,0.0,1929.068,0.0,0.0,0.0,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.736,0.0,0.0,8068.458,8464.885,4.221,0.0,6628.803,0.562,0.0,67771.55,1778.442,57.446,2068.411,2208.95,0.033,409.316,177.092,46208.893,0.0,0.0,0.0,0.0,0.0,0.0,13480.474,215.28,0.0,770.38,282.606,0.0,1220.718,0.0,0.0,0.0,0.0,0.0,255.325,1026.74,0.0,0.0,16598.74
Exports,88813.387,0.027,0.0,114.779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4585.924,1041.298,0.0,0.0,0.0,0.259,0.0,13511.82,0.0,9.889,1217.859,0.121,0.0,1.045,200.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52204.511,353.88,0.0,0.0,8.603,0.0,2976.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12573.659
Change in stock,-2718.183,-7.023,0.0,-170.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.153,0.0,0.0,0.0,0.0,0.0,0.079,0.0,0.0,-49.684,-10.641,0.176,0.0,1.685,0.0,0.0,-395.03,42.833,-0.241,-5.025,-4.221,0.0,-39.919,-4.424,-14.881,0.0,0.0,0.0,0.0,0.0,0.0,-1734.47,-26.43,0.0,-93.888,8.683,0.0,-193.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,206838.436,0.0,0.0,1643.839,0.0,0.0,0.0,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.258,0.0,0.0,0.0,0.0,0.0,8.814,0.0,0.0,3432.851,7412.946,4.397,0.0,6630.488,0.302,0.0,53864.7,1821.275,47.315,1117.761,2204.608,0.033,368.353,15.061,46194.012,7587.194,0.0,554.396,11.293,2.736,0.0,62326.821,-165.03,3376.039,933.715,305.922,0.0,1243.222,0.0,0.0,0.0,0.0,42.5,362.905,1421.849,0.0,0.0,4025.081
International maritime bunkers,12249.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10523.116,1726.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,194588.562,0.0,0.0,1643.839,0.0,0.0,0.0,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.258,0.0,0.0,0.0,0.0,0.0,8.814,0.0,0.0,3432.851,7412.946,4.397,0.0,6630.488,0.302,0.0,43341.585,94.517,47.315,1117.761,2204.608,0.033,368.353,15.061,46194.012,7587.194,0.0,554.396,11.293,2.736,0.0,62326.821,-165.03,3376.039,933.715,305.922,0.0,1243.222,0.0,0.0,0.0,0.0,42.5,362.905,1421.849,0.0,0.0,4025.081
International aviation,6568.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,6568.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,188020.209,0.0,0.0,1643.839,0.0,0.0,0.0,0.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.258,0.0,0.0,0.0,0.0,0.0,8.814,0.0,0.0,3432.851,7412.946,4.353,0.0,62.179,0.302,0.0,43341.585,94.517,47.315,1117.761,2204.608,0.033,368.353,15.061,46194.012,7587.194,0.0,554.396,11.293,2.736,0.0,62326.821,-165.03,3376.039,933.715,305.922,0.0,1243.222,0.0,0.0,0.0,0.0,42.5,362.905,1421.849,0.0,0.0,4025.081
