nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Gross inland consumption (Europe 2020-2030),2359652.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary energy consumption (Europe 2020-2030),2056093.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Final energy consumption (Europe 2020-2030),1497185.153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformation input - energy use,2767268.077,7092.038,46471.494,38986.262,0.0,0.0,0.0,42889.327,0.0,0.0,0.0,0.0,55.44,19059.8,1303.3,0.0,0.0,1450793.357,0.0,79460.124,0.0,6408.0,212.85,0.0,837.2,11114.4,0.0,0.0,0.0,38.7,43885.6,32354.7,4.0,1839.92,0.0,7819.5,0.0,0.0,169788.0,162326.52,1087.2,0.0,35012.16,15289.2,0.0,112.5,27876.7,0.0,5629.178,15596.8,5418.38,0.0,14947.926,0.0,0.0,0.0,803.01,0.0,6253.4,14652.8,474803.091,22861.28,4183.92
Transformation input - electricity and heat generation - energy use,807789.755,0.0,0.0,391.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44,19059.8,1303.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.85,0.0,41.4,0.0,0.0,0.0,0.0,38.7,0.0,157.62,4.0,0.0,0.0,0.0,0.0,0.0,0.0,162326.52,1087.2,0.0,35012.16,15289.2,0.0,112.5,27876.7,0.0,5617.3,15596.8,0.0,0.0,49.013,0.0,0.0,0.0,803.01,0.0,6253.4,14652.8,474803.091,22861.28,4183.92
Transformation input - electricity and heat generation - main activity producer electricity only - energy use,655169.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.44,19059.8,1303.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88020.45,1087.2,0.0,34764.84,16.2,0.0,0.0,19533.0,0.0,558.0,6640.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9224.6,474803.091,0.0,0.0
Transformation input - electricity and heat generation - main activity producer combined heat and power - energy use,70077.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45635.22,0.0,0.0,0.0,0.0,0.0,0.0,2296.3,0.0,2069.1,8576.2,0.0,0.0,0.0,0.0,0.0,0.0,795.47,0.0,5208.6,5424.4,0.0,0.0,0.0
Transformation input - electricity and heat generation - main activity producer heat only - energy use,120.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,112.5,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0
Transformation input - electricity and heat generation - autoproducer electricity only - energy use,17476.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.35,0.0,0.0,247.32,15273.0,0.0,0.0,0.0,0.0,243.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.88,0.0
Transformation input - electricity and heat generation - autoproducer combined heat and power - energy use,50860.334,0.0,0.0,391.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.85,0.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,4.26,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28417.32,0.0,0.0,0.0,0.0,0.0,0.0,6047.4,0.0,2747.1,375.5,0.0,0.0,49.013,0.0,0.0,0.0,7.54,0.0,1044.8,0.0,0.0,11517.4,0.0
