nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,1386739.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31885.969,5822.872,0.0,10256.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002477.337,267.055,0.0,41428.537,19442.066,1180.0,5563.916,60305.822,0.0,14913.297,32153.267,0.0,0.0,72827.604,0.0,0.0,0.0,1673.028,10882.906,0.0,28513.274,38112.859,9032.4,0.0
Recovered and recycled products,19955.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13861.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6093.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,8413255.556,155.495,123164.721,151015.043,0.0,195.36,0.0,1491.917,0.0,0.0,862.6,0.0,0.0,0.0,0.0,0.0,0.0,2457590.601,213284.676,0.0,37545.646,0.0,0.0,0.0,149505.033,312436.38,0.0,0.0,149849.968,17298.121,1009495.344,553467.511,480093.586,84111.143,64693.475,14593.645,58874.848,5849.923,635293.933,1778943.55,0.0,0.0,0.0,0.0,0.0,0.0,15501.094,270.0,0.0,8033.666,9063.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7124.194,0.0,0.0,73450.278
Exports,6057862.853,0.0,0.0,0.0,0.0,0.0,0.0,2064.908,0.0,87.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16765.899,3872.484,0.0,17440.551,0.0,0.0,0.0,94885.976,1112989.421,2072.18,0.0,352848.454,17734.369,523242.456,1057760.472,396966.866,62673.16,76694.364,20756.465,44486.109,4459.265,683873.945,1430147.098,0.0,0.0,0.0,0.0,0.0,0.0,10777.373,0.0,0.0,1706.6,0.0,798.624,47192.727,3680.4,0.0,0.0,0.0,0.0,0.0,1513.4,0.0,0.0,70371.432
Change in stock,-99176.966,0.0,-1317.427,-3521.279,0.0,6.96,0.0,-956.66,0.0,10.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45323.531,11084.392,0.0,2930.978,0.0,0.0,0.0,2369.764,5774.801,-139.7,0.0,-8421.433,514.39,-6571.488,-30244.423,-3543.071,760.161,2304.323,-434.335,-81.242,-509.22,-17104.774,-7078.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.613,0.0,141.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross available energy,3662909.949,155.495,121847.294,147493.764,0.0,202.32,0.0,-1529.652,0.0,-77.129,862.6,0.0,0.0,0.0,0.0,0.0,0.0,2427387.14,226319.456,0.0,33292.913,0.0,13861.449,0.0,56988.822,-794778.239,-2211.88,0.0,-211419.919,78.143,479681.4,-534537.385,79583.65,22198.144,-9696.567,-6597.155,14307.497,881.438,-59591.071,1344195.329,267.055,0.0,41428.537,19442.066,1180.0,5563.916,65029.543,270.0,14913.297,38480.333,9235.417,-798.624,25776.847,-3680.4,0.0,0.0,1673.028,10882.906,0.0,34124.068,38112.859,9032.4,3078.846
International maritime bunkers,478316.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84791.85,385225.13,0.0,3828.576,0.0,0.0,0.0,0.0,2489.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,3184593.313,155.495,121847.294,147493.764,0.0,202.32,0.0,-1529.652,0.0,-77.129,862.6,0.0,0.0,0.0,0.0,0.0,0.0,2427387.14,226319.456,0.0,33292.913,0.0,13861.449,0.0,56988.822,-794778.239,-2211.88,0.0,-211419.919,78.143,479681.4,-619329.235,-305641.48,22198.144,-13525.142,-6597.155,14307.497,881.438,-59591.071,1341706.043,267.055,0.0,41428.537,19442.066,1180.0,5563.916,65029.543,270.0,14913.297,38480.333,9235.417,-798.624,25776.847,-5662.195,0.0,0.0,1673.028,10882.906,0.0,34124.068,38112.859,9032.4,3078.846
International aviation,166290.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166290.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,3018303.116,155.495,121847.294,147493.764,0.0,202.32,0.0,-1529.652,0.0,-77.129,862.6,0.0,0.0,0.0,0.0,0.0,0.0,2427387.14,226319.456,0.0,33292.913,0.0,13861.449,0.0,56988.822,-794778.239,-2211.88,0.0,-377710.117,78.143,479681.4,-619329.235,-305641.48,22198.144,-13525.142,-6597.155,14307.497,881.438,-59591.071,1341706.043,267.055,0.0,41428.537,19442.066,1180.0,5563.916,65029.543,270.0,14913.297,38480.333,9235.417,-798.624,25776.847,-5662.195,0.0,0.0,1673.028,10882.906,0.0,34124.068,38112.859,9032.4,3078.846
Gross inland consumption (Europe 2020-2030),3164678.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary energy consumption (Europe 2020-2030),2659345.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Final energy consumption (Europe 2020-2030),2079321.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformation input - energy use,5431300.54,0.0,121542.89,146631.291,0.0,0.0,0.0,48270.514,0.0,0.0,0.0,0.0,1886.208,21757.778,0.0,0.0,0.0,2464950.671,287080.376,304516.332,29994.747,0.0,120539.497,0.0,53920.824,607.405,2.024,0.0,1762.882,10752.692,810644.78,13060.26,130373.957,81330.571,4281.485,87.278,0.0,556.895,39495.151,472024.087,267.055,0.0,41428.537,19442.066,0.0,0.0,36904.805,0.0,9888.607,36643.421,9235.417,0.0,25776.847,0.0,0.0,0.0,0.0,0.0,0.0,32495.109,38112.859,15035.22,0.0
