nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Primary production,85387.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.772,0.0,1672.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243.44,0.0,5397.84,327.96,0.0,0.0,52203.0,0.0,1632.0,747.0,459.0,0.0,6179.0,0.0,0.0,0.0,0.0,1076.0,706.0,751.0,0.0,12639.6,0.0
Recovered and recycled products,416.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imports,613199.484,0.0,0.0,7161.712,0.0,0.0,0.0,503.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.74,0.0,404715.807,0.0,6533.651,2168.348,0.0,0.0,0.0,3513.6,1933.8,17.916,0.0,1938.944,0.0,0.0,22115.76,4899.597,0.0,1457.4,2720.074,0.0,779.61,0.0,96189.025,0.0,0.0,0.0,0.0,0.0,0.0,5712.0,200.2,0.0,0.0,218.7,62.1,1406.0,418.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47764.44
Exports,361421.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.574,0.0,1588.621,0.0,0.0,4.186,0.0,0.0,0.0,13052.475,101744.25,0.0,0.0,11434.576,0.0,0.0,111144.552,61507.016,0.0,3889.2,12262.366,0.0,659.67,195.902,18157.345,0.0,0.0,0.0,0.0,0.0,0.0,6219.0,77.0,0.0,0.0,40.5,291.6,4010.8,987.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14127.48
Change in stock,-2848.101,0.0,0.0,-595.344,29.517,0.0,0.0,-8.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.27,0.0,-4891.943,0.0,-93.036,16.744,0.0,0.0,0.0,-109.8,-109.875,0.0,0.0,-121.184,0.0,0.0,968.636,1020.419,0.0,-100.8,196.294,0.0,-23.988,47.976,27.003,0.0,0.0,0.0,0.0,0.0,0.0,1136.0,-30.8,0.0,8.0,0.0,0.0,-266.4,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0
Gross available energy,334734.56,0.0,0.0,6566.368,29.517,0.0,0.0,495.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.208,0.0,399907.919,0.0,6440.615,2180.906,0.0,0.0,0.0,-9648.675,-99920.325,17.916,0.0,-9616.816,0.0,0.0,-88060.156,-55170.098,0.0,-2532.6,-9345.998,0.0,95.952,-147.926,78058.684,1243.44,0.0,5397.84,327.96,0.0,0.0,52832.0,92.4,1632.0,755.0,637.2,-229.5,3307.8,-569.8,0.0,0.0,0.0,1076.0,714.0,755.0,0.0,12639.6,33636.96
International maritime bunkers,8142.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3381.654,4760.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross inland consumption,326592.276,0.0,0.0,6566.368,29.517,0.0,0.0,495.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.208,0.0,399907.919,0.0,6440.615,2180.906,0.0,0.0,0.0,-9648.675,-99920.325,17.916,0.0,-9616.816,0.0,0.0,-91441.81,-59930.727,0.0,-2532.6,-9345.998,0.0,95.952,-147.926,78058.684,1243.44,0.0,5397.84,327.96,0.0,0.0,52832.0,92.4,1632.0,755.0,637.2,-229.5,3307.8,-569.8,0.0,0.0,0.0,1076.0,714.0,755.0,0.0,12639.6,33636.96
International aviation,5163.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5163.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total energy supply,321428.972,0.0,0.0,6566.368,29.517,0.0,0.0,495.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.208,0.0,399907.919,0.0,6440.615,2180.906,0.0,0.0,0.0,-9648.675,-99920.325,17.916,0.0,-14780.12,0.0,0.0,-91441.81,-59930.727,0.0,-2532.6,-9345.998,0.0,95.952,-147.926,78058.684,1243.44,0.0,5397.84,327.96,0.0,0.0,52832.0,92.4,1632.0,755.0,637.2,-229.5,3307.8,-569.8,0.0,0.0,0.0,1076.0,714.0,755.0,0.0,12639.6,33636.96
