nrg_bal,Total,Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,Brown coal briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat and peat products,Oil shale and oil sands,Crude oil,Natural gas liquids,Refinery feedstocks,Additives and oxygenates (excluding biofuel portion),Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases,Motor gasoline (excluding biofuel portion),Aviation gasoline,Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Naphtha,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Bitumen,Petroleum coke,Paraffin waxes,Other oil products,Natural gas,Hydro,"Tide, wave, ocean",Wind,Solar photovoltaic,Solar thermal,Geothermal,Primary solid biofuels,Charcoal,Biogases,Renewable municipal waste,Pure biogasoline,Blended biogasoline,Pure biodiesels,Blended biodiesels,Pure bio jet kerosene,Blended bio jet kerosene,Other liquid biofuels,Ambient heat (heat pumps),Industrial waste (non-renewable),Non-renewable municipal waste,Nuclear heat,Heat,Electricity
Gross inland consumption (Europe 2020-2030),2012679.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary energy consumption (Europe 2020-2030),1916556.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Final energy consumption (Europe 2020-2030),1320601.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformation input - energy use,2402204.394,0.0,44940.0,14047.5,0.0,0.0,0.0,33639.84,0.0,0.0,0.0,0.0,569.7,6244.0,1351.0,5218.202,0.0,706702.682,0.0,87912.828,162.864,7820.0,16850.493,0.0,2507.786,0.0,0.0,0.0,6134.4,42.4,21826.363,2492.514,27548.235,0.0,0.0,0.0,0.0,0.0,96822.383,4828.551,235335.6,0.0,71449.2,2444.4,0.0,0.0,186009.0,0.0,625.0,36373.0,7013.688,0.0,41714.592,0.0,0.0,0.0,3052.72,11740.0,744.0,33575.0,679894.452,0.0,4572.0
Transformation input - electricity and heat generation - energy use,1288132.98,0.0,0.0,4101.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.7,6244.0,1351.0,5218.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.088,0.0,0.0,0.0,0.0,42.4,0.0,2492.514,1373.6,0.0,0.0,0.0,0.0,0.0,0.0,4570.804,235335.6,0.0,71449.2,2444.4,0.0,0.0,186009.0,0.0,625.0,36373.0,0.0,0.0,0.0,0.0,0.0,0.0,3052.72,8003.0,744.0,33575.0,679894.452,0.0,4572.0
Transformation input - electricity and heat generation - main activity producer electricity only - energy use,989272.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,0.0,84.492,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235317.6,0.0,71449.2,2444.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679894.452,0.0,0.0
Transformation input - electricity and heat generation - main activity producer combined heat and power - energy use,176553.606,0.0,0.0,4101.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,4115.0,783.0,4930.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.102,363.6,0.0,0.0,0.0,0.0,0.0,0.0,4317.92,0.0,0.0,0.0,0.0,0.0,0.0,90322.0,0.0,333.0,33332.0,0.0,0.0,0.0,0.0,0.0,0.0,610.544,0.0,744.0,30768.0,0.0,0.0,0.0
Transformation input - electricity and heat generation - main activity producer heat only - energy use,50665.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,213.0,0.0,258.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.044,0.0,0.0,0.0,0.0,0.0,0.0,802.674,484.8,0.0,0.0,0.0,0.0,0.0,0.0,99.894,0.0,0.0,0.0,0.0,0.0,0.0,32143.0,0.0,292.0,3041.0,0.0,0.0,0.0,0.0,0.0,0.0,2442.176,8003.0,0.0,2807.0,0.0,0.0,0.0
Transformation input - electricity and heat generation - autoproducer electricity only - energy use,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformation input - electricity and heat generation - autoproducer combined heat and power - energy use,67050.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.3,1916.0,568.0,29.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.044,0.0,0.0,0.0,0.0,0.0,0.0,42.246,484.8,0.0,0.0,0.0,0.0,0.0,0.0,152.99,0.0,0.0,0.0,0.0,0.0,0.0,63544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformation input - electricity and heat generation - autoproducer heat only - energy use,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transformation input - electricity and heat generation - electrically driven heat pumps,3718.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3718.8
Transformation input - electricity and heat generation - electric boilers,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0
Transformation input - electricity and heat generation - electricity for pumped storage,115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.2
