,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Transformation,,,,,,,,,
Blast furnaces,-4.27960000000000E+04,-7.17360000000000E+04,4.58041800000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Coke ovens,-1.07333019538222E+05,7.17360000000000E+04,1.60863543463339E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
Energy industry own use,,,,,,,,,
Coke ovens,0.00000000000000E+00,-,1.03502961435257E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.75550702028081E+00,0.00000000000000E+00
Blast furnaces,-,-,-,-,-,-,-,-,-
Total final consumption,,,,,,,,,
Industry - Steel,0.00000000000000E+00,-,2.74393229511209E+04,1.63312948574000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.91380382525726E+04,0.00000000000000E+00
Industry - Aluminium,0.00000000000000E+00,-,0.00000000000000E+00,1.41926666666667E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.64141680000000E+04,0.00000000000000E+00
Industry - Other metals,5.00338688553551E+04,-,-,2.83704776717631E+04,2.00919000000000E+03,0.00000000000000E+00,2.81498237734995E+02,2.92270537474274E+04,0.00000000000000E+00
