,Coal (TJ),Cokes (TJ),Coal gas (TJ),Network gas (TJ),Crude oil (TJ),Wood pellets (TJ),Heat (TJ),Electricity (TJ),Other (TJ)
Total energetic final consumption,,,,,,,,,
Chemical and petrochemical industry,6.19416000000000E+03,-,0.00000000000000E+00,8.07043000000000E+04,1.09332380000000E+05,2.08461000000000E+03,0.00000000000000E+00,8.21559900000000E+04,7.84360000000000E+02
Total non-energetic final consumption,,,,,,,,,
Feedstock use in petrochemical industry,0.00000000000000E+00,-,0.00000000000000E+00,3.31240400000000E+04,2.89831220000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
