key,demand,full_load_hours
energy_chp_local_engine_network_gas,2.78535570988864E+03,3.99545551617510E+03
energy_chp_local_engine_biogas,5.47914400000000E+03,8.00000000000000E+03
energy_chp_local_wood_pellets,7.22218499424703E+03,6.00000000000000E+03
industry_chp_turbine_gas_power_fuelmix,3.63666042036628E+04,6.00000000000000E+03
industry_chp_engine_gas_power_fuelmix,0.00000000000000E+00,6.00000000000000E+03
industry_chp_combined_cycle_gas_power_fuelmix,1.79517784937048E+04,6.00000000000000E+03
industry_chp_ultra_supercritical_coal,2.13225125644416E+04,7.00000000000000E+03
industry_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
energy_chp_combined_cycle_network_gas,8.53028571428571E+04,4.50000000000000E+03
energy_chp_ultra_supercritical_cofiring_coal,0.00000000000000E+00,4.50000000000000E+03
energy_chp_ultra_supercritical_coal,0.00000000000000E+00,4.50000000000000E+03
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,7.00000000000000E+03
energy_chp_supercritical_waste_mix,2.51733333333333E+04,6.00000000000000E+03
