PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13791.36,12339.63,16354.85,58122.83,7911.46,6500.13,11111.18,942.49,0,0,0,0,465291.02,1368.25,139.96,9520.11,778.87,0,13275.59,0,0,8497.36,625945.11,122010.51
Imports,x,x,16293.9,70287.75,58105.33,0,0,426.72,2022.27,0,6432.68,6783.7,0,0,0,0,0,638716.1,x,1160950.24,16272,113497.2,0,0,0,0,80178.02,27764.01,132.01,0,66263.02,3569,513202.2,210800.02,147928.02,305.22,23981.99,5070.01,0,8832.01,1760.01,0,0,0,26258.94,0,188.03,1217.65,37.68,0,263.68,0,0,0,0,0,0,0,0,0,0,62085.97,0,3269625.36,27965.98
Exports,x,x,-10611.65,-818.98,-3496.82,0,0,-274.32,-10375.02,0,0,0,0,0,0,0,0,-33056.59,x,0,0,-113917.55,0,0,0,0,-33672,-170456.02,0,0,-71079.01,-1892.01,-469068.6,-191200.02,-15707.99,-2005.6,-22806,-15171,0,-4768.01,-26319.98,0,0,0,0,0,-4673.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27375.73,0,-1228746.54,-4673.64
International marine bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,-21512.99,-236239.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-257752.97,0
International aviation bunkers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,-53319.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53319.99,0
Stock changes,x,x,-72.85,5557.52,3260.22,0,0,-91.44,-2139.5,0,0,20.68,0,0,0,0,0,-3127.5,x,378.32,-1220.41,-1639.38,576.15,0,0,0,46.01,-528,0,0,-1892.01,214.99,-18871.79,-1599.99,616,0,294,818.98,0,-1695.99,80.01,0,0,0,0,0,0,190.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20825.73,190.25
Total primary energy supply,x,x,5609.39,75026.24,57868.69,0,0,60.96,-10492.25,0,6432.68,6804.39,0,0,0,0,0,602532.02,x,1161328.56,15051.59,-2059.78,576.15,0,0,0,46551.98,-143220,132.01,0,-60027.99,1892.01,3748.82,-218240.01,132835.99,-1700.39,1469.99,-9282.01,0,2368.01,-24480.01,13791.36,12339.63,16354.85,84381.77,7911.46,2014.52,12519.12,980.21,0,263.68,0,0,465291.02,1368.25,139.96,9520.11,778.87,0,13275.59,0,34710.25,8497.36,2334925.06,145493.18
Transfers,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,148807.45,0,0,0,0,0,6732,0,0,-2708.99,43,-25986,28840.02,-132.01,2049.19,83.99,-116.98,0,0,-150120.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7491.65,0
Statistical differences,x,x,1408.4,409.51,-210.18,0,0,30.48,351.69,0,0,-103.41,0,74.69,594.9,0,0,-7.2,x,294.25,0,42.04,-576.15,0,0,0,-1287.99,2595.98,0,0,-171.99,-86,3791.4,1399.98,307.98,0,83.99,156,0,-31.99,959.99,0,0,0,-1,-1,0,-190.25,-37.68,0,0,0,0,0,0,0,0,0,0,0,0,-3395.41,1898.63,8299.66,-229.94
