crt_code,crt_category,co2,other_ghg,total_ghg,unit
1.C.2.b,Storage,,,,kton CO2-eq
1.C.3,Other (please specify),,,,kton CO2-eq
1.D.1,International bunkers,58412.53594464,549.9694746215999,58962.50541926159,kton CO2-eq
1.D.1.a,Aviation,,,,kton CO2-eq
1.D.1.b,Navigation,58412.53594464,549.9694746215999,58962.50541926159,kton CO2-eq
1.D.2,Multilateral operations,,,,kton CO2-eq
1.D.3,CO2 emissions from biomass,1999.4,,1999.4,kton CO2-eq
1.D.4,CO2 captured,,,,kton CO2-eq
2,Total industrial processes,155.20002728468137,1043.8899321684994,1199.0899594531809,kton CO2-eq
2.A,Mineral industry,,,,kton CO2-eq
2.A.1,Cement production,,,,kton CO2-eq
2.A.2,Lime production,,,,kton CO2-eq
2.A.3,Glass production,,,,kton CO2-eq
2.A.4,Other process uses of carbonates,,,,kton CO2-eq
2.B,Chemical industry,145.52552260370044,0.3696844821084823,145.89520708580892,kton CO2-eq
2.B.1,Ammonia production,,,,kton CO2-eq
2.B.10,Other,8.3895437542146,0.3696844821085001,8.7592282363231,kton CO2-eq
2.B.2,Nitric acid production,,,,kton CO2-eq
2.B.3,Adipic acid production,,,,kton CO2-eq
2.B.4,"Caprolactam, glyoxal and glyoxylic acid production",,,,kton CO2-eq
2.B.5,Carbide production,,,,kton CO2-eq
2.B.6,Titanium dioxide production,,,,kton CO2-eq
2.B.7,Soda ash production,,,,kton CO2-eq
2.B.8,Petrochemical and carbon black production,137.13597884948584,0.0,137.13597884948584,kton CO2-eq
2.B.8.b,Ethylene,137.13597884948584,,,kton CO2-eq
2.B.9,Fluorochemical production,,,,kton CO2-eq
2.C,Metal industry,,,,kton CO2-eq
2.C.1,Iron and steel production,,,,kton CO2-eq
2.C.2,Ferroalloys production,,,,kton CO2-eq
2.C.3,Aluminium production,,,,kton CO2-eq
2.C.4,Magnesium production,,,,kton CO2-eq
2.C.5,Lead production,,,,kton CO2-eq
2.C.6,Zinc production,,,,kton CO2-eq
2.C.7,Other,,,,kton CO2-eq
2.D,Non-energy products from fuels and solvent use,0.2320965084722634,0.0,0.2320965084722634,kton CO2-eq
2.D.1,Lubricant use,0.2320965084722634,0.0,0.2320965084722634,kton CO2-eq
2.D.2,Paraffin wax use,,,,kton CO2-eq
2.D.3,Other,,,,kton CO2-eq
2.E,Electronics industry,,903.4816670393622,903.4816670393622,kton CO2-eq
2.E.1,Integrated circuit or semiconductor,,903.4816670393622,903.4816670393622,kton CO2-eq
2.E.2,TFT flat panel display,,,,kton CO2-eq
2.E.3,Photovoltaics,,,,kton CO2-eq
2.E.4,Heat transfer fluid,,,,kton CO2-eq
2.E.5,Other,,,,kton CO2-eq
2.F,Product uses as substitutes for ODS,,137.46777904604318,137.46777904604318,kton CO2-eq
2.F.1,Refrigeration and air conditioning,,137.15999325464807,137.15999325464807,kton CO2-eq
2.F.2,Foam blowing agents,,2.5618979728134e-05,2.5618979728134e-05,kton CO2-eq
2.F.3,Fire protection,,0.12350819640293,0.12350819640293,kton CO2-eq
2.F.4,Aerosols,,0.1842519760124644,0.1842519760124644,kton CO2-eq
2.F.5,Solvents,,,,kton CO2-eq
2.F.6,Other applications,,,,kton CO2-eq
2.G,Other product manufacture and use,,2.5708016009852215,2.5708016009852215,kton CO2-eq
2.G.1,Electrical equipment,,2.5708016009852215,2.5708016009852215,kton CO2-eq
2.G.2,SF6 and PFCs from other product use,,,,kton CO2-eq
2.G.3,N2O from product uses,,,,kton CO2-eq
2.G.4,Other,,,,kton CO2-eq
2.H,Other,9.442408172508664,0.0,9.442408172508664,kton CO2-eq
2.H.1,Pulp and paper,,,,kton CO2-eq
2.H.2,Food and beverages industry,,,,kton CO2-eq
2.H.3,Other (please specify),9.442408172508664,0.0,9.442408172508664,kton CO2-eq
3,Total agriculture,0.110074,6.969715,7.079789,kton CO2-eq
3.A,Enteric fermentation,,0.756,0.756,kton CO2-eq
3.A.1,Cattle,,0.756,0.756,kton CO2-eq
3.A.1.a,Dairy cattle,,0.756,0.756,kton CO2-eq
3.A.1.b,Non-dairy cattle,,,,kton CO2-eq
3.A.2,Sheep,,,,kton CO2-eq
3.A.3,Swine,,,,kton CO2-eq
3.A.4,Other livestock,,,,kton CO2-eq
3.B,Manure management,,3.741,3.741,kton CO2-eq
3.B.1,Cattle,,,,kton CO2-eq
3.B.1.a,Dairy cattle,,,,kton CO2-eq
3.B.1.b,Non-dairy cattle,,,,kton CO2-eq
3.B.2,Sheep,,,,kton CO2-eq
3.B.3,Swine,,,,kton CO2-eq
3.B.4,Other livestock,,3.741,3.741,kton CO2-eq
3.B.5,Indirect N2O emissions,,,,kton CO2-eq
3.C,Rice cultivation,,,,kton CO2-eq
3.D,"Agricultural soils(4,5)",,2.472715,2.472715,kton CO2-eq
3.D.1,Direct N2O emissions from managed soils,,1.71985,1.71985,kton CO2-eq
3.D.1.a,Inorganic N fertilizers,,0.05035,0.05035,kton CO2-eq
3.D.1.b,Organic N fertilizers,,1.6695,1.6695,kton CO2-eq
3.D.1.c,Urine and dung deposited by grazing animals,,,,kton CO2-eq
3.D.1.d,Crop residues,,,,kton CO2-eq
3.D.1.e,Mineralization/immobilization associated,,0.010865,0.010865,kton CO2-eq
3.D.1.f,Cultivation of organic soils (i.e. histosols),,,,kton CO2-eq
3.D.1.g,Other,,,,kton CO2-eq
3.D.2,Indirect N2O Emissions from managed soils,,0.742,0.742,kton CO2-eq
3.E,Prescribed burning of savannahs,,,,kton CO2-eq
3.F,Field burning of agricultural residues,,,,kton CO2-eq
3.G,Liming,0.11,0.0,0.11,kton CO2-eq
3.H,Urea application,7.4e-05,0.0,7.4e-05,kton CO2-eq
