utc_timestamp,cet_cest_timestamp,ES_wind_onshore_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,6378
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,5890
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,5461
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,5238
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,4935
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,4618
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,4397
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,3992
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,3629
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,3073
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,2683
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,2771
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,2906
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,2923
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,2945
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,2709
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,2552
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,2699
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,2764
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,2913
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,3118
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,3373
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,3508
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,3527
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,3360
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,3088
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,3014
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,2821
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,2928
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,3119
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,3157
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,3289
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,3102
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,2838
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,2272
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,1795
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,1413
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,1347
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,1345
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,1487
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,1648
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,1857
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,1864
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,1813
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,1731
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,1816
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,1960
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,1912
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,1854
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,1982
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,2221
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,2383
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,2611
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,2793
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,3042
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,3246
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,3297
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,3469
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,3409
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,3167
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,2952
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,3134
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,3403
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,3594
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,3875
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,4392
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,4841
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,4963
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,5073
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,5205
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,5121
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,5115
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,5185
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,5020
2015-01-04T01:00:00Z,2015-01-04T02:00:00+0100,5073
2015-01-04T02:00:00Z,2015-01-04T03:00:00+0100,5099
2015-01-04T03:00:00Z,2015-01-04T04:00:00+0100,5229
2015-01-04T04:00:00Z,2015-01-04T05:00:00+0100,5163
2015-01-04T05:00:00Z,2015-01-04T06:00:00+0100,5198
2015-01-04T06:00:00Z,2015-01-04T07:00:00+0100,5089
2015-01-04T07:00:00Z,2015-01-04T08:00:00+0100,4988
2015-01-04T08:00:00Z,2015-01-04T09:00:00+0100,4739
2015-01-04T09:00:00Z,2015-01-04T10:00:00+0100,4356
2015-01-04T10:00:00Z,2015-01-04T11:00:00+0100,4042
2015-01-04T11:00:00Z,2015-01-04T12:00:00+0100,3855
2015-01-04T12:00:00Z,2015-01-04T13:00:00+0100,3729
2015-01-04T13:00:00Z,2015-01-04T14:00:00+0100,3592
2015-01-04T14:00:00Z,2015-01-04T15:00:00+0100,3447
2015-01-04T15:00:00Z,2015-01-04T16:00:00+0100,3264
2015-01-04T16:00:00Z,2015-01-04T17:00:00+0100,3305
2015-01-04T17:00:00Z,2015-01-04T18:00:00+0100,3685
2015-01-04T18:00:00Z,2015-01-04T19:00:00+0100,3769
2015-01-04T19:00:00Z,2015-01-04T20:00:00+0100,3579
2015-01-04T20:00:00Z,2015-01-04T21:00:00+0100,3155
2015-01-04T21:00:00Z,2015-01-04T22:00:00+0100,2691
2015-01-04T22:00:00Z,2015-01-04T23:00:00+0100,2023
2015-01-04T23:00:00Z,2015-01-05T00:00:00+0100,1539
2015-01-05T00:00:00Z,2015-01-05T01:00:00+0100,1237
2015-01-05T01:00:00Z,2015-01-05T02:00:00+0100,1154
2015-01-05T02:00:00Z,2015-01-05T03:00:00+0100,1152
2015-01-05T03:00:00Z,2015-01-05T04:00:00+0100,1078
2015-01-05T04:00:00Z,2015-01-05T05:00:00+0100,1036
2015-01-05T05:00:00Z,2015-01-05T06:00:00+0100,1204
2015-01-05T06:00:00Z,2015-01-05T07:00:00+0100,1393
2015-01-05T07:00:00Z,2015-01-05T08:00:00+0100,1583
2015-01-05T08:00:00Z,2015-01-05T09:00:00+0100,1599
2015-01-05T09:00:00Z,2015-01-05T10:00:00+0100,1485
2015-01-05T10:00:00Z,2015-01-05T11:00:00+0100,1326
2015-01-05T11:00:00Z,2015-01-05T12:00:00+0100,1242
2015-01-05T12:00:00Z,2015-01-05T13:00:00+0100,1304
2015-01-05T13:00:00Z,2015-01-05T14:00:00+0100,1352
2015-01-05T14:00:00Z,2015-01-05T15:00:00+0100,1340
2015-01-05T15:00:00Z,2015-01-05T16:00:00+0100,1360
2015-01-05T16:00:00Z,2015-01-05T17:00:00+0100,1432
2015-01-05T17:00:00Z,2015-01-05T18:00:00+0100,1639
2015-01-05T18:00:00Z,2015-01-05T19:00:00+0100,1774
2015-01-05T19:00:00Z,2015-01-05T20:00:00+0100,1775
2015-01-05T20:00:00Z,2015-01-05T21:00:00+0100,1754
2015-01-05T21:00:00Z,2015-01-05T22:00:00+0100,1833
2015-01-05T22:00:00Z,2015-01-05T23:00:00+0100,2102
2015-01-05T23:00:00Z,2015-01-06T00:00:00+0100,2358
2015-01-06T00:00:00Z,2015-01-06T01:00:00+0100,2697
2015-01-06T01:00:00Z,2015-01-06T02:00:00+0100,2815
2015-01-06T02:00:00Z,2015-01-06T03:00:00+0100,3008
2015-01-06T03:00:00Z,2015-01-06T04:00:00+0100,3205
2015-01-06T04:00:00Z,2015-01-06T05:00:00+0100,3287
2015-01-06T05:00:00Z,2015-01-06T06:00:00+0100,3382
2015-01-06T06:00:00Z,2015-01-06T07:00:00+0100,3281
2015-01-06T07:00:00Z,2015-01-06T08:00:00+0100,3309
2015-01-06T08:00:00Z,2015-01-06T09:00:00+0100,3188
2015-01-06T09:00:00Z,2015-01-06T10:00:00+0100,2542
2015-01-06T10:00:00Z,2015-01-06T11:00:00+0100,2002
2015-01-06T11:00:00Z,2015-01-06T12:00:00+0100,1762
2015-01-06T12:00:00Z,2015-01-06T13:00:00+0100,1769
2015-01-06T13:00:00Z,2015-01-06T14:00:00+0100,1847
2015-01-06T14:00:00Z,2015-01-06T15:00:00+0100,1736
2015-01-06T15:00:00Z,2015-01-06T16:00:00+0100,1661
2015-01-06T16:00:00Z,2015-01-06T17:00:00+0100,1535
2015-01-06T17:00:00Z,2015-01-06T18:00:00+0100,1640
2015-01-06T18:00:00Z,2015-01-06T19:00:00+0100,1895
2015-01-06T19:00:00Z,2015-01-06T20:00:00+0100,2309
2015-01-06T20:00:00Z,2015-01-06T21:00:00+0100,2649
2015-01-06T21:00:00Z,2015-01-06T22:00:00+0100,2653
2015-01-06T22:00:00Z,2015-01-06T23:00:00+0100,2611
2015-01-06T23:00:00Z,2015-01-07T00:00:00+0100,2387
2015-01-07T00:00:00Z,2015-01-07T01:00:00+0100,1971
2015-01-07T01:00:00Z,2015-01-07T02:00:00+0100,1531
2015-01-07T02:00:00Z,2015-01-07T03:00:00+0100,1082
2015-01-07T03:00:00Z,2015-01-07T04:00:00+0100,768
2015-01-07T04:00:00Z,2015-01-07T05:00:00+0100,660
2015-01-07T05:00:00Z,2015-01-07T06:00:00+0100,693
2015-01-07T06:00:00Z,2015-01-07T07:00:00+0100,915
2015-01-07T07:00:00Z,2015-01-07T08:00:00+0100,1218
2015-01-07T08:00:00Z,2015-01-07T09:00:00+0100,1140
2015-01-07T09:00:00Z,2015-01-07T10:00:00+0100,742
2015-01-07T10:00:00Z,2015-01-07T11:00:00+0100,505
2015-01-07T11:00:00Z,2015-01-07T12:00:00+0100,425
2015-01-07T12:00:00Z,2015-01-07T13:00:00+0100,378
2015-01-07T13:00:00Z,2015-01-07T14:00:00+0100,335
2015-01-07T14:00:00Z,2015-01-07T15:00:00+0100,306
2015-01-07T15:00:00Z,2015-01-07T16:00:00+0100,329
2015-01-07T16:00:00Z,2015-01-07T17:00:00+0100,443
2015-01-07T17:00:00Z,2015-01-07T18:00:00+0100,706
2015-01-07T18:00:00Z,2015-01-07T19:00:00+0100,822
2015-01-07T19:00:00Z,2015-01-07T20:00:00+0100,861
2015-01-07T20:00:00Z,2015-01-07T21:00:00+0100,806
2015-01-07T21:00:00Z,2015-01-07T22:00:00+0100,857
2015-01-07T22:00:00Z,2015-01-07T23:00:00+0100,885
2015-01-07T23:00:00Z,2015-01-08T00:00:00+0100,1015
2015-01-08T00:00:00Z,2015-01-08T01:00:00+0100,1235
2015-01-08T01:00:00Z,2015-01-08T02:00:00+0100,1443
2015-01-08T02:00:00Z,2015-01-08T03:00:00+0100,1579
2015-01-08T03:00:00Z,2015-01-08T04:00:00+0100,1692
2015-01-08T04:00:00Z,2015-01-08T05:00:00+0100,1904
2015-01-08T05:00:00Z,2015-01-08T06:00:00+0100,2029
2015-01-08T06:00:00Z,2015-01-08T07:00:00+0100,1942
2015-01-08T07:00:00Z,2015-01-08T08:00:00+0100,2008
2015-01-08T08:00:00Z,2015-01-08T09:00:00+0100,1959
2015-01-08T09:00:00Z,2015-01-08T10:00:00+0100,2273
2015-01-08T10:00:00Z,2015-01-08T11:00:00+0100,1895
2015-01-08T11:00:00Z,2015-01-08T12:00:00+0100,1959
2015-01-08T12:00:00Z,2015-01-08T13:00:00+0100,2200
2015-01-08T13:00:00Z,2015-01-08T14:00:00+0100,2348
2015-01-08T14:00:00Z,2015-01-08T15:00:00+0100,2395
2015-01-08T15:00:00Z,2015-01-08T16:00:00+0100,1986
2015-01-08T16:00:00Z,2015-01-08T17:00:00+0100,1985
2015-01-08T17:00:00Z,2015-01-08T18:00:00+0100,2306
2015-01-08T18:00:00Z,2015-01-08T19:00:00+0100,3096
2015-01-08T19:00:00Z,2015-01-08T20:00:00+0100,3564
2015-01-08T20:00:00Z,2015-01-08T21:00:00+0100,4139
2015-01-08T21:00:00Z,2015-01-08T22:00:00+0100,4849
2015-01-08T22:00:00Z,2015-01-08T23:00:00+0100,5212
2015-01-08T23:00:00Z,2015-01-09T00:00:00+0100,5059
2015-01-09T00:00:00Z,2015-01-09T01:00:00+0100,4281
2015-01-09T01:00:00Z,2015-01-09T02:00:00+0100,3729
2015-01-09T02:00:00Z,2015-01-09T03:00:00+0100,3170
2015-01-09T03:00:00Z,2015-01-09T04:00:00+0100,3196
2015-01-09T04:00:00Z,2015-01-09T05:00:00+0100,3216
2015-01-09T05:00:00Z,2015-01-09T06:00:00+0100,3492
2015-01-09T06:00:00Z,2015-01-09T07:00:00+0100,3688
2015-01-09T07:00:00Z,2015-01-09T08:00:00+0100,3506
2015-01-09T08:00:00Z,2015-01-09T09:00:00+0100,3450
2015-01-09T09:00:00Z,2015-01-09T10:00:00+0100,3438
2015-01-09T10:00:00Z,2015-01-09T11:00:00+0100,3330
2015-01-09T11:00:00Z,2015-01-09T12:00:00+0100,3209
2015-01-09T12:00:00Z,2015-01-09T13:00:00+0100,3190
2015-01-09T13:00:00Z,2015-01-09T14:00:00+0100,3150
2015-01-09T14:00:00Z,2015-01-09T15:00:00+0100,3065
2015-01-09T15:00:00Z,2015-01-09T16:00:00+0100,3057
2015-01-09T16:00:00Z,2015-01-09T17:00:00+0100,3041
2015-01-09T17:00:00Z,2015-01-09T18:00:00+0100,3262
2015-01-09T18:00:00Z,2015-01-09T19:00:00+0100,3555
2015-01-09T19:00:00Z,2015-01-09T20:00:00+0100,3761
2015-01-09T20:00:00Z,2015-01-09T21:00:00+0100,3841
2015-01-09T21:00:00Z,2015-01-09T22:00:00+0100,3614
2015-01-09T22:00:00Z,2015-01-09T23:00:00+0100,3546
2015-01-09T23:00:00Z,2015-01-10T00:00:00+0100,3557
2015-01-10T00:00:00Z,2015-01-10T01:00:00+0100,3653
2015-01-10T01:00:00Z,2015-01-10T02:00:00+0100,3909
2015-01-10T02:00:00Z,2015-01-10T03:00:00+0100,4027
2015-01-10T03:00:00Z,2015-01-10T04:00:00+0100,4134
2015-01-10T04:00:00Z,2015-01-10T05:00:00+0100,4450
2015-01-10T05:00:00Z,2015-01-10T06:00:00+0100,4818
2015-01-10T06:00:00Z,2015-01-10T07:00:00+0100,5087
2015-01-10T07:00:00Z,2015-01-10T08:00:00+0100,5060
2015-01-10T08:00:00Z,2015-01-10T09:00:00+0100,4665
2015-01-10T09:00:00Z,2015-01-10T10:00:00+0100,4013
2015-01-10T10:00:00Z,2015-01-10T11:00:00+0100,3177
2015-01-10T11:00:00Z,2015-01-10T12:00:00+0100,2758
2015-01-10T12:00:00Z,2015-01-10T13:00:00+0100,2259
2015-01-10T13:00:00Z,2015-01-10T14:00:00+0100,2109
2015-01-10T14:00:00Z,2015-01-10T15:00:00+0100,2133
2015-01-10T15:00:00Z,2015-01-10T16:00:00+0100,2131
2015-01-10T16:00:00Z,2015-01-10T17:00:00+0100,2759
2015-01-10T17:00:00Z,2015-01-10T18:00:00+0100,3581
2015-01-10T18:00:00Z,2015-01-10T19:00:00+0100,4108
2015-01-10T19:00:00Z,2015-01-10T20:00:00+0100,4527
2015-01-10T20:00:00Z,2015-01-10T21:00:00+0100,4894
2015-01-10T21:00:00Z,2015-01-10T22:00:00+0100,5053
2015-01-10T22:00:00Z,2015-01-10T23:00:00+0100,5397
2015-01-10T23:00:00Z,2015-01-11T00:00:00+0100,5638
2015-01-11T00:00:00Z,2015-01-11T01:00:00+0100,5609
2015-01-11T01:00:00Z,2015-01-11T02:00:00+0100,6008
2015-01-11T02:00:00Z,2015-01-11T03:00:00+0100,6537
2015-01-11T03:00:00Z,2015-01-11T04:00:00+0100,7079
2015-01-11T04:00:00Z,2015-01-11T05:00:00+0100,7560
2015-01-11T05:00:00Z,2015-01-11T06:00:00+0100,7602
2015-01-11T06:00:00Z,2015-01-11T07:00:00+0100,7891
2015-01-11T07:00:00Z,2015-01-11T08:00:00+0100,8123
2015-01-11T08:00:00Z,2015-01-11T09:00:00+0100,8033
2015-01-11T09:00:00Z,2015-01-11T10:00:00+0100,7744
2015-01-11T10:00:00Z,2015-01-11T11:00:00+0100,7326
2015-01-11T11:00:00Z,2015-01-11T12:00:00+0100,6917
2015-01-11T12:00:00Z,2015-01-11T13:00:00+0100,6613
2015-01-11T13:00:00Z,2015-01-11T14:00:00+0100,6145
2015-01-11T14:00:00Z,2015-01-11T15:00:00+0100,5623
2015-01-11T15:00:00Z,2015-01-11T16:00:00+0100,5313
2015-01-11T16:00:00Z,2015-01-11T17:00:00+0100,4949
2015-01-11T17:00:00Z,2015-01-11T18:00:00+0100,4851
2015-01-11T18:00:00Z,2015-01-11T19:00:00+0100,4656
2015-01-11T19:00:00Z,2015-01-11T20:00:00+0100,4461
2015-01-11T20:00:00Z,2015-01-11T21:00:00+0100,4059
2015-01-11T21:00:00Z,2015-01-11T22:00:00+0100,3687
2015-01-11T22:00:00Z,2015-01-11T23:00:00+0100,3739
2015-01-11T23:00:00Z,2015-01-12T00:00:00+0100,3895
2015-01-12T00:00:00Z,2015-01-12T01:00:00+0100,4029
2015-01-12T01:00:00Z,2015-01-12T02:00:00+0100,4247
2015-01-12T02:00:00Z,2015-01-12T03:00:00+0100,4734
2015-01-12T03:00:00Z,2015-01-12T04:00:00+0100,5033
2015-01-12T04:00:00Z,2015-01-12T05:00:00+0100,5162
2015-01-12T05:00:00Z,2015-01-12T06:00:00+0100,5449
2015-01-12T06:00:00Z,2015-01-12T07:00:00+0100,5784
2015-01-12T07:00:00Z,2015-01-12T08:00:00+0100,6124
2015-01-12T08:00:00Z,2015-01-12T09:00:00+0100,6305
2015-01-12T09:00:00Z,2015-01-12T10:00:00+0100,6227
2015-01-12T10:00:00Z,2015-01-12T11:00:00+0100,5981
2015-01-12T11:00:00Z,2015-01-12T12:00:00+0100,6090
2015-01-12T12:00:00Z,2015-01-12T13:00:00+0100,6416
2015-01-12T13:00:00Z,2015-01-12T14:00:00+0100,6412
2015-01-12T14:00:00Z,2015-01-12T15:00:00+0100,6284
2015-01-12T15:00:00Z,2015-01-12T16:00:00+0100,5929
2015-01-12T16:00:00Z,2015-01-12T17:00:00+0100,6003
