Key,Value,Source
country,eu,
residences_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,0.0509914764359327,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,0.0867010196792274,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,0.0630299679745636,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_apartments_2005_present_in_useful_demand_for_space_heating,0.0326259341208693,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,0.0926109739373945,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,0.0413858852806986,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,0.145158915966018,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,0.0983907560474513,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,0.0498773122394164,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,0,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,0,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,0,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,0,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,0,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,0.033003249921217,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,0.0626921409371479,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,0.105083898649485,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,0.0726476273312289,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
residences_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,0.0392219757960872,Used eu2019 value; see /eu_datasets/additional_data/ENTSO Datasets additional source data.xlsx
