group,subgroup,key,unit
households,households_applications,households_final_demand_electricity_households_final_demand_for_cooking_electricity_parent_share,%
households,households_applications,households_final_demand_electricity_households_final_demand_for_cooling_electricity_parent_share,%
households,households_applications,households_final_demand_electricity_households_final_demand_for_hot_water_electricity_parent_share,%
households,households_applications,households_final_demand_electricity_households_final_demand_for_lighting_electricity_parent_share,%
households,households_applications,households_final_demand_electricity_households_final_demand_for_space_heating_electricity_parent_share,%
households,households_applications,households_final_demand_electricity_households_final_demand_for_appliances_electricity_parent_share,%
households,households_applications,households_final_demand_network_gas_households_final_demand_for_cooking_network_gas_parent_share,%
households,households_applications,households_final_demand_network_gas_households_final_demand_for_hot_water_network_gas_parent_share,%
households,households_applications,households_final_demand_network_gas_households_final_demand_for_space_heating_network_gas_parent_share,%
households,households_applications,households_final_demand_network_gas_households_final_demand_for_cooling_network_gas_parent_share,%
households,households_applications,households_final_demand_steam_hot_water_households_final_demand_for_hot_water_steam_hot_water_parent_share,%
households,households_applications,households_final_demand_steam_hot_water_households_final_demand_for_space_heating_steam_hot_water_parent_share,%
households,households_applications,households_final_demand_wood_pellets_households_final_demand_for_hot_water_wood_pellets_parent_share,%
households,households_applications,households_final_demand_wood_pellets_households_final_demand_for_space_heating_wood_pellets_parent_share,%
households,households_applications,households_final_demand_wood_pellets_households_final_demand_for_cooking_wood_pellets_parent_share,%
households,households_applications,households_final_demand_crude_oil_households_final_demand_for_space_heating_crude_oil_parent_share,%
households,households_applications,households_final_demand_crude_oil_households_final_demand_for_hot_water_crude_oil_parent_share,%
households,households_applications,households_final_demand_coal_households_final_demand_for_space_heating_coal_parent_share,%
households,households_applications,households_final_demand_coal_households_final_demand_for_hot_water_coal_parent_share,%
households,households_applications,households_final_demand_for_space_heating_network_gas_households_space_heater_combined_network_gas_parent_share,%
households,households_applications,households_final_demand_for_space_heating_network_gas_households_space_heater_network_gas_parent_share,%
households,households_applications,households_final_demand_for_space_heating_network_gas_households_space_heater_hybrid_heatpump_air_water_electricity_parent_share,%
households,households_applications,households_final_demand_for_space_heating_electricity_households_space_heater_electricity_parent_share,%
households,households_applications,households_final_demand_for_space_heating_electricity_households_space_heater_heatpump_air_water_electricity_parent_share,%
households,households_applications,households_final_demand_for_space_heating_electricity_households_space_heater_hybrid_heatpump_air_water_electricity_parent_share,%
households,households_applications,households_final_demand_for_space_heating_electricity_households_space_heater_heatpump_ground_water_electricity_parent_share,%
households,households_applications,households_final_demand_for_cooking_electricity_households_cooker_halogen_electricity_parent_share,%
households,households_applications,households_final_demand_for_cooking_electricity_households_cooker_induction_electricity_parent_share,%
households,households_applications,households_final_demand_for_cooking_electricity_households_cooker_resistive_electricity_parent_share,%
households,households_applications,households_final_demand_for_lighting_electricity_households_lighting_incandescent_electricity_parent_share,%
households,households_applications,households_final_demand_for_lighting_electricity_households_lighting_efficient_fluorescent_electricity_parent_share,%
households,households_applications,households_final_demand_for_lighting_electricity_households_lighting_led_electricity_parent_share,%
households,households_applications,households_final_demand_for_appliances_electricity_households_appliances_clothes_dryer_electricity_parent_share,%
households,households_applications,households_final_demand_for_appliances_electricity_households_appliances_computer_media_electricity_parent_share,%
households,households_applications,households_final_demand_for_appliances_electricity_households_appliances_dishwasher_electricity_parent_share,%
households,households_applications,households_final_demand_for_appliances_electricity_households_appliances_fridge_freezer_electricity_parent_share,%
households,households_applications,households_final_demand_for_appliances_electricity_households_appliances_other_electricity_parent_share,%
households,households_applications,households_final_demand_for_appliances_electricity_households_appliances_television_electricity_parent_share,%
households,households_applications,households_final_demand_for_appliances_electricity_households_appliances_vacuum_cleaner_electricity_parent_share,%
households,households_applications,households_final_demand_for_appliances_electricity_households_appliances_washing_machine_electricity_parent_share,%
households,households_applications,households_final_demand_for_cooling_electricity_households_cooling_airconditioning_electricity_parent_share,%
households,households_applications,households_final_demand_for_cooling_electricity_households_cooling_heatpump_ground_water_electricity_parent_share,%
households,households_applications,households_final_demand_for_cooling_electricity_households_cooling_heatpump_air_water_electricity_parent_share,%
households,households_energy_demand,households_final_demand_electricity_demand,TJ
households,households_energy_demand,households_final_demand_network_gas_demand,TJ
households,households_energy_demand,households_final_demand_steam_hot_water_demand,TJ
households,households_energy_demand,households_final_demand_wood_pellets_demand,TJ
households,households_energy_demand,households_final_demand_coal_demand,TJ
households,households_energy_demand,input_households_final_demand_crude_oil_demand,TJ
households,households_energy_demand,households_final_demand_solar_thermal_demand,TJ
households,households_energy_demand,input_percentage_of_diesel_households_final_demand_crude_oil,%
households,households_energy_demand,input_percentage_of_biodiesel_households_final_demand_crude_oil,%
households,households_energy_demand,input_percentage_of_kerosene_households_final_demand_crude_oil,%
households,households_energy_demand,input_percentage_of_bio_kerosene_households_final_demand_crude_oil,%
households,households_energy_demand,input_percentage_of_lpg_households_final_demand_crude_oil,%
households,households_energy_demand,input_percentage_of_bio_oil_households_final_demand_crude_oil,%
households,households_energy_demand,input_percentage_of_crude_oil_households_final_demand_crude_oil,%
households,households_energy_supply,input_households_solar_pv_demand,TJ
households,households_energy_supply,households_final_demand_solar_thermal_demand,TJ
households,households_housing_stock,number_of_inhabitants,#
households,households_housing_stock,number_of_residences,#
households,households_housing_stock,residences_roof_surface_available_for_pv,km2
households,households_housing_stock,input_percentage_of_apartments,%
households,households_housing_stock,input_percentage_of_terraced_houses,%
households,households_housing_stock,input_percentage_of_corner_houses,%
households,households_housing_stock,input_percentage_of_semi_detached_houses,%
households,households_housing_stock,input_percentage_of_detached_houses,%
households,households_housing_stock,input_households_apartments_heat_demand_reduction,%
households,households_housing_stock,input_households_terraced_houses_heat_demand_reduction,%
households,households_housing_stock,input_households_corner_houses_heat_demand_reduction,%
households,households_housing_stock,input_households_semi_detached_houses_heat_demand_reduction,%
households,households_housing_stock,input_households_detached_houses_heat_demand_reduction,%
households,households_housing_stock,heat_share_of_apartments_with_block_heating,%
