key,value
present_number_of_residences,7.93194000000000E+06
present_number_of_apartments_before_1945,5.40306000000000E+05
present_number_of_apartments_1945_1964,3.89149000000000E+05
present_number_of_apartments_1965_1984,7.64098000000000E+05
present_number_of_apartments_1985_2004,6.19418000000000E+05
present_number_of_apartments_2005_present,4.87283000000000E+05
present_number_of_detached_houses_before_1945,2.85107000000000E+05
present_number_of_detached_houses_1945_1964,1.43081000000000E+05
present_number_of_detached_houses_1965_1984,2.30912000000000E+05
present_number_of_detached_houses_1985_2004,2.52508000000000E+05
present_number_of_detached_houses_2005_present,1.17683000000000E+05
present_number_of_semi_detached_houses_before_1945,3.03172000000000E+05
present_number_of_semi_detached_houses_1945_1964,2.98688000000000E+05
present_number_of_semi_detached_houses_1965_1984,5.65545000000000E+05
present_number_of_semi_detached_houses_1985_2004,3.79666000000000E+05
present_number_of_semi_detached_houses_2005_present,1.78343000000000E+05
present_number_of_terraced_houses_before_1945,3.42512000000000E+05
present_number_of_terraced_houses_1945_1964,3.09270000000000E+05
present_number_of_terraced_houses_1965_1984,8.74897000000000E+05
present_number_of_terraced_houses_1985_2004,6.00539000000000E+05
present_number_of_terraced_houses_2005_present,2.49763000000000E+05
present_share_of_apartments_before_1945_in_useful_demand_for_space_heating,5.91790000000000E-02
present_share_of_apartments_1945_1964_in_useful_demand_for_space_heating,3.73060000000000E-02
present_share_of_apartments_1965_1984_in_useful_demand_for_space_heating,6.39880000000000E-02
present_share_of_apartments_1985_2004_in_useful_demand_for_space_heating,4.53560000000000E-02
present_share_of_apartments_2005_present_in_useful_demand_for_space_heating,2.89690000000000E-02
present_share_of_detached_houses_before_1945_in_useful_demand_for_space_heating,6.71740000000000E-02
present_share_of_detached_houses_1945_1964_in_useful_demand_for_space_heating,3.23810000000000E-02
present_share_of_detached_houses_1965_1984_in_useful_demand_for_space_heating,5.22870000000000E-02
present_share_of_detached_houses_1985_2004_in_useful_demand_for_space_heating,5.02270000000000E-02
present_share_of_detached_houses_2005_present_in_useful_demand_for_space_heating,2.12450000000000E-02
present_share_of_semi_detached_houses_before_1945_in_useful_demand_for_space_heating,5.75530000000000E-02
present_share_of_semi_detached_houses_1945_1964_in_useful_demand_for_space_heating,4.68780000000000E-02
present_share_of_semi_detached_houses_1965_1984_in_useful_demand_for_space_heating,8.58060000000000E-02
present_share_of_semi_detached_houses_1985_2004_in_useful_demand_for_space_heating,5.09640000000000E-02
present_share_of_semi_detached_houses_2005_present_in_useful_demand_for_space_heating,1.92100000000000E-02
present_share_of_terraced_houses_before_1945_in_useful_demand_for_space_heating,5.12560000000000E-02
present_share_of_terraced_houses_1945_1964_in_useful_demand_for_space_heating,3.84700000000000E-02
present_share_of_terraced_houses_1965_1984_in_useful_demand_for_space_heating,1.06973000000000E-01
present_share_of_terraced_houses_1985_2004_in_useful_demand_for_space_heating,6.35480000000000E-02
present_share_of_terraced_houses_2005_present_in_useful_demand_for_space_heating,2.12300000000000E-02
